#Blocks Estimate Error
1 3.14547 0
2 3.14112 0.00435056
3 3.14179 0.00259845
4 3.14328 0.0023689
5 3.14362 0.00186534
6 3.14399 0.00156879
7 3.14327 0.0015103
8 3.1431 0.0013192
9 3.14347 0.00122175
10 3.14324 0.00111628
11 3.14274 0.00112801
12 3.14269 0.00103108
13 3.14256 0.000956721
14 3.14214 0.000982477
15 3.14181 0.000971473
16 3.14183 0.000908959
17 3.14189 0.000856141
18 3.14227 0.000892762
19 3.14222 0.000846301
20 3.14215 0.000805367
21 3.14208 0.000769916
22 3.14212 0.000735604
23 3.14224 0.000712829
24 3.14236 0.000692475
25 3.14249 0.00067774
26 3.14249 0.000651177
27 3.14246 0.000627261
28 3.14231 0.000623979
29 3.14233 0.000602788
30 3.14247 0.000598223
31 3.1424 0.000583459
32 3.14233 0.000568488
33 3.14243 0.000559359
34 3.14252 0.000549486
35 3.14251 0.000533557
36 3.1424 0.000531833
37 3.14252 0.00053108
38 3.14258 0.00052099
39 3.14242 0.000531774
40 3.14237 0.000520781
41 3.1425 0.000523565
42 3.14231 0.000544766
43 3.14226 0.000534494
44 3.14217 0.000529609
45 3.14217 0.000517722
46 3.14214 0.000507227
47 3.14213 0.00049666
48 3.14212 0.000486239
49 3.14208 0.000478092
50 3.14206 0.000468665
51 3.14203 0.000460874
52 3.14205 0.000452797
53 3.14206 0.000444319
54 3.14201 0.000439052
55 3.14211 0.000441035
56 3.14196 0.000457176
57 3.14179 0.000481389
58 3.1418 0.000473316
59 3.14184 0.000466572
60 3.14184 0.00045873
61 3.14165 0.00048842
62 3.14161 0.000482444
63 3.14156 0.000477501
64 3.14162 0.00047426
65 3.14157 0.000469795
66 3.14157 0.000462631
67 3.14165 0.000462785
68 3.14172 0.000460433
69 3.1416 0.000467381
70 3.14161 0.000460715
71 3.14163 0.000454699
72 3.14157 0.000452173
73 3.1416 0.000446849
74 3.14165 0.000443625
75 3.14168 0.000438442
76 3.14177 0.000442753
77 3.14181 0.000438924
78 3.14178 0.000434655
79 3.14177 0.000429317
80 3.14174 0.000424648
81 3.1417 0.000421043
82 3.14175 0.000418624
83 3.14179 0.000415273
84 3.14178 0.000410429
85 3.14181 0.000406878
86 3.14182 0.000402142
87 3.14183 0.000397803
88 3.14187 0.000395005
89 3.14181 0.000395433
90 3.14177 0.000393312
91 3.14179 0.000389824
92 3.14178 0.000385691
93 3.14175 0.00038302
94 3.14176 0.000379065
95 3.14176 0.000375072
96 3.14177 0.000371277
97 3.14178 0.000367483
98 3.14175 0.000364443
99 3.14178 0.000362038
100 3.14178 0.000358453
