N1 N2 N10 N100
-48.1131 -0.684366 1.60807 1.22662
0.918428 -6.53377 -0.244419 0.204534
0.530074 -1.87947 0.244639 1.84061
-1.50693 0.861622 1.06714 1.96738
-1.87164 1.01372 -2.36647 18.0657
-3.93983 -9.76869 0.192109 -0.133973
-0.586535 5.64032 0.564426 0.458276
47.7824 -15.556 0.742809 -1.89727
6.19833 -0.14994 -0.701949 0.513365
0.508096 0.852191 1.30562 -0.643781
-0.585295 -2.31692 -1.00625 1.97335
-0.940941 -0.371006 9.32115 -0.890164
2.5011 1.18584 -0.745333 1.39897
2.44205 -0.421711 -5.31504 1.61009
-14.3707 0.207658 0.513466 0.793661
1.00419 0.210672 -3.10217 0.13324
-3.33766 -0.613094 -0.0453065 -3.46276
-1.35348 3.50991 -10.5693 -2.48887
-0.0789904 -0.400498 -0.304531 -1.97772
-2.43098 -1.27377 -15.1932 -0.616947
-0.267423 17.033 9.1502 0.243636
-12.0151 -2.56947 0.971201 -0.0765268
2.36873 -1.49437 -17.5449 -0.285818
-1.44043 -1.11409 6.56885 -4.04878
-0.286513 0.00989566 2.08902 2.72007
-0.278875 -0.349474 -0.815594 -0.812734
-2.47049 0.977161 -0.350724 -0.0468236
1.71132 -0.204465 11.3094 0.0687011
-0.530241 -0.997756 -1.36582 -1.17602
0.875971 0.726845 0.976996 4.91249
0.142872 2.96089 -2.09202 5.38591
0.37328 1.2155 0.0468598 -0.935429
-0.951779 -0.582694 -0.682615 -3.25482
2.08825 2.25254 0.749116 -0.105699
0.374146 -0.420588 -16.9177 0.527344
-0.942313 3.5673 -2.55425 -3.42651
0.951248 0.633971 2.23862 0.202853
0.865443 -1.0416 -0.0160423 -0.549462
-2.09046 -2.3088 1.75955 -0.138001
-0.731609 6.45384 -0.618463 -7.94645
-0.0961278 -0.00495704 -0.0386835 -0.623893
-0.506165 -2.65513 2.4142 0.356967
-2.03174 -0.0423435 -1.13756 0.123458
2.06776 -0.132206 2.60511 -1.69406
0.0509455 0.0497315 2.66971 1.19102
-0.33205 0.202496 1.58554 -0.133041
0.0809012 -0.622313 0.711508 1.18759
-3.73985 -0.318557 -0.838285 -0.977844
-0.612973 0.0981957 0.593634 -2.56479
0.272297 0.743173 -0.627939 0.58541
0.772663 63.9937 -0.843356 1.60318
-2.06318 0.844944 -0.721855 3.16316
2.20083 4.17739 -2.16333 -4.63423
-1.86007 -4.4478 -3.75196 -0.452886
-2.25209 -1.00654 0.284367 -3.36126
0.297898 2.32073 3.31498 -1.00833
1.09079 0.883394 -2.11689 -1.14617
3.05848 -1.78026 0.207023 0.164995
1.78163 0.0926023 1.36314 -1.05901
2.22758 -0.189538 0.52569 0.952114
0.0403259 0.0451111 -0.417991 -2.78879
5.294 -1.85338 1.59145 -15.941
-3.43515 2.33564 -0.0205674 -13.666
-2.82879 1.09255 -2.11399 7.52061
-1.13723 0.0384536 0.84233 1.06579
45.1074 0.970766 1.76308 1.13952
0.706381 35.8031 -1.09418 -4.87916
1.82845 -0.575507 -4.74117 0.0187116
-5.33992 -0.0799989 -0.250298 3.01329
-0.655581 0.356845 -2.01678 -0.816943
-10.7973 -1.69808 1.89528 1.62268
0.114876 0.174482 -0.251523 -3.27031
-0.328343 -0.0820314 -3.40281 -1.89249
1.49815 1.47649 0.232485 0.752028
0.508982 -1.09666 -2.69228 0.527512
2754.42 -0.590586 -0.751498 -0.636194
-0.522476 4.70563 0.0217357 0.786397
-0.476958 -0.595174 -66.5686 -1.22267
-6.72856 2.0799 -0.64189 -7.26891
1.52041 -0.149784 -0.711629 3.95387
2.84087 -0.646713 -0.949062 -0.156689
-2.36858 0.15743 0.908186 0.788056
-0.273494 2.82734 0.110509 -0.308784
2.6325 -0.393296 -30.3146 1.52224
-0.434244 -0.999436 0.392276 -0.74573
2.12951 2.27166 -1.44752 4.73563
0.808653 75.3609 -0.354176 -1.43535
-0.81543 1.55381 -0.793485 -0.29332
1.70211 19.7898 -0.403203 -1.26814
-0.558473 -0.0255317 0.736068 -1.40468
-0.450162 0.361022 9.27477 -0.213469
5.56171 0.242251 -1.92648 2.42704
0.615811 -0.827746 5.03471 60.2197
0.407776 -1.13965 2.87864 0.252531
19.173 5.10193 -0.56832 -1.82745
-44.3168 -0.295848 2.50529 -1.76113
1.5674 -0.349732 19.718 18.6402
10.0592 -1.10172 -35.097 -5.4365
-0.18166 2.62366 -2.54658 -0.175773
-0.434806 -0.555672 -0.728848 0.442991
0.654769 33.1451 1.78693 0.145418
0.553758 -0.166355 -1.7719 -1.18305
-2.59239 -1.16082 2.72986 2.09317
