attempts chi2
0 100.66
1 80.76
2 84.32
3 89.84
4 96.12
5 91.62
6 98.6
7 93.04
8 120.3
9 92.16
10 106.14
11 103.04
12 109.94
13 77.9
14 117.4
15 97.22
16 103.82
17 92.02
18 84.84
19 119.92
20 96.76
21 77.24
22 113.24
23 114.02
24 113.78
25 120.38
26 90.78
27 90.8
28 117.88
29 130.32
30 97.28
31 76.96
32 89.9
33 113.58
34 100.52
35 92.1
36 90.12
37 112.34
38 104.96
39 78.84
40 120.98
41 89.62
42 94.72
43 107.32
44 95.28
45 107.52
46 105.94
47 111.16
48 94.76
49 109.4
50 125.26
51 100.32
52 89.62
53 94.34
54 81.6
55 102.24
56 99.02
57 110.52
58 94.34
59 102.14
60 105.76
61 82.48
62 108.16
63 106.24
64 105.98
65 100.84
66 100.86
67 82.68
68 97.24
69 101.86
70 84.78
71 123.68
72 85.68
73 94.78
74 99.46
75 119.92
76 102.04
77 95.44
78 122.96
79 122.98
80 103.54
81 89.8
82 83.54
83 92.36
84 82.22
85 88.78
86 88.5
87 103.48
88 111.3
89 109.48
90 90.4
91 88.02
92 94.8
93 95.2
94 84.1
95 89.42
96 112.1
97 95.44
98 104.26
99 111.52
