N1 N2 N10 N100
1.9358 0.574123 0.909115 0.817723
1.80655 0.46835 1.22731 0.970164
0.689101 0.900003 0.946352 1.07667
2.15043 1.12316 1.41741 1.11592
1.27749 1.15763 1.01941 0.955835
0.31106 0.631279 0.79903 0.978601
0.818087 1.87142 1.59806 0.995564
0.0833582 0.859281 0.862353 1.05371
0.0770828 1.27486 0.891014 0.785482
0.0164145 1.68015 1.0724 0.931434
0.629348 1.22878 0.747671 1.06966
0.116429 0.624182 0.697127 1.01413
0.394619 1.73832 1.24365 0.946047
0.339589 1.25811 0.513239 1.31096
0.223514 1.44237 1.68436 1.06258
0.754354 0.269967 0.938431 1.02112
1.02907 1.17877 0.475761 0.958879
0.682167 1.59045 0.699719 0.995471
0.0615821 0.50517 0.918436 1.0196
2.83079 1.04152 1.84091 1.08936
0.0262686 0.61244 1.34161 1.12848
0.613232 0.176094 1.10682 0.954495
0.813764 0.489295 1.34263 0.982418
0.336961 0.626673 0.795416 1.01188
1.75863 0.18 1.1062 0.875781
0.473004 0.491659 0.912214 1.15199
1.73578 0.116592 0.758555 0.912285
1.53829 1.2074 0.645071 0.865126
2.08239 0.542819 1.18507 1.08108
0.514767 0.663292 1.08956 0.978864
0.428244 0.700224 0.751824 1.00321
0.669559 1.79121 0.739943 0.926318
0.558417 0.152883 0.623092 1.10422
0.261271 2.00462 0.713334 1.0449
1.71866 0.494153 0.749639 1.21896
2.18426 0.587627 0.723833 1.06738
0.375041 0.700538 0.937561 1.15865
2.40229 1.09857 1.21899 1.01369
1.56353 0.71921 0.719277 1.05574
0.59374 0.70364 1.35387 0.97289
2.27043 0.280698 1.0154 1.03272
1.24593 0.498471 0.537387 0.983869
2.24813 0.504288 0.859894 1.03125
0.131507 0.204777 1.52844 1.30958
0.707077 0.717318 1.62322 0.887969
4.14778 1.35516 0.791273 1.09747
0.674236 2.722 0.635963 1.15366
2.12992 0.808539 0.951657 0.82307
2.67763 0.510014 1.01527 1.04513
2.81731 0.919046 1.10098 1.18656
1.14276 0.750786 1.58472 1.0593
0.275091 0.345057 1.11395 0.973682
0.679094 0.86347 0.987565 0.824837
2.91724 1.54822 1.21949 0.966098
0.872155 2.27722 1.16769 0.983963
0.237705 0.512541 0.671968 0.942019
0.944015 1.00856 1.19048 1.06336
0.429524 0.756499 0.916502 1.04951
0.19298 1.45379 0.525948 0.837198
0.823909 1.29999 0.560171 1.09048
1.87587 1.51769 0.840647 0.939938
3.34338 0.137838 1.60507 0.972469
1.05682 1.10429 0.968977 0.992169
1.55626 0.168468 1.29583 0.96034
0.230092 0.967834 0.948787 1.04388
0.181318 2.16589 0.641875 1.13796
0.62847 0.340873 0.954114 1.09005
1.62828 0.51402 1.15137 0.908625
0.414506 0.831061 0.628289 1.05616
1.32492 1.31463 1.34205 0.931169
1.24996 0.661514 0.717298 0.992306
0.269362 0.105282 0.978413 1.03354
0.958343 0.535217 0.858965 0.92186
0.494133 0.191458 1.34663 1.0252
0.456079 0.693234 1.0417 1.07341
0.311487 0.459645 1.23167 0.924178
0.71503 0.844804 1.52179 0.905885
1.34742 0.468211 1.19157 1.17967
0.671089 0.766042 0.787602 0.981913
0.563903 1.36144 0.936388 1.09772
0.0762868 1.04432 0.813816 1.13441
0.529717 0.555383 1.68073 0.952588
0.0835936 1.8939 1.20323 1.17804
0.161049 0.151387 0.914295 0.858481
0.548642 0.770522 1.22927 1.07118
1.49237 0.305121 0.79159 0.925995
0.972724 0.739187 1.03112 1.0236
2.13487 1.52104 0.706109 1.03397
0.198344 1.11894 1.0986 1.09271
0.0502326 0.498842 0.947074 0.967106
1.63657 1.57157 0.498157 0.984104
0.230346 1.47784 0.761808 0.934185
3.40722 1.34453 0.786355 0.926487
4.07765 0.125982 0.725997 1.14861
0.0488071 0.130046 0.828536 0.949997
0.545496 0.428601 1.39903 0.93493
1.14999 0.17446 1.28299 1.04399
2.30025 0.609251 0.91369 0.903022
0.206788 0.977203 1.07403 1.10029
0.511802 1.28831 0.934814 1.11735
0.0660947 3.50627 0.912061 0.875035
1.52126 0.370084 0.675286 0.914438
1.30339 0.288443 0.55523 1.17829
0.306039 1.59399 0.730836 1.00634
0.584476 0.118883 0.835493 1.00584
0.541589 0.788935 0.923369 0.982652
2.65257 0.573598 0.435332 1.05925
0.628645 1.84601 0.968461 1.22138
1.66089 2.48768 0.631356 0.940186
0.737306 1.0229 1.91615 1.04773
0.251639 1.17837 0.792453 1.00532
0.76869 0.527449 0.75384 1.05444
3.57935 0.646191 1.74481 1.24098
0.137562 0.668097 1.13902 0.993384
0.761799 0.433251 0.85738 0.890896
0.996644 1.09397 0.980083 0.98495
0.255945 0.549048 0.799297 0.873513
1.14448 1.22655 1.12055 1.08031
0.141251 2.22134 0.628965 0.970865
0.428762 1.79117 0.71096 1.0701
1.09171 0.568001 0.65726 1.02211
1.50436 1.85714 1.27644 1.09143
0.11084 0.763442 0.708325 1.14986
2.58101 0.794184 1.00897 0.948067
0.955442 0.888918 0.914307 1.10904
1.50564 1.22422 0.475802 1.02922
0.460855 0.901477 1.65674 1.16675
0.580329 0.933484 0.682126 1.03256
0.391989 1.63098 1.0109 1.07105
0.0949434 0.374858 1.08357 1.11532
0.701301 0.844358 0.692118 1.04055
1.08921 0.712987 0.886878 0.973834
1.35654 1.09254 0.709442 1.00851
4.74722 0.875771 1.6938 1.08547
0.498096 0.455292 1.45197 1.07151
0.321499 0.964225 1.64942 1.10733
5.43017 0.743433 2.06918 1.03294
0.0746485 0.95029 1.08573 1.07414
1.15022 2.00658 1.2996 1.1438
1.45891 0.288251 0.634983 1.04067
0.0322964 0.23124 0.729445 0.939478
1.42918 0.802849 1.43497 1.01237
0.0654204 1.38762 0.714749 1.09894
0.312473 0.143653 0.895803 1.05477
0.24469 1.63295 0.676801 1.1765
0.758972 1.03484 0.958166 0.890855
0.0166331 1.14051 0.985963 1.12155
0.909764 0.453505 0.948286 0.912609
1.69594 1.30335 1.17279 1.1027
0.353138 2.21401 1.00015 1.10299
0.999653 0.331181 1.15808 0.995766
0.853428 0.77218 0.976547 0.969885
1.69884 0.508079 0.832033 0.943886
1.08911 0.874121 0.848402 1.01424
1.00877 0.77799 0.983611 0.922332
3.34416 0.902883 0.840728 0.880084
0.330542 0.794908 0.745163 1.2012
0.102552 0.466133 0.7475 1.00227
0.642535 1.88391 0.961937 0.848009
0.752673 1.92469 0.849977 1.08685
0.150113 0.270074 0.706425 1.11816
0.116143 0.841582 1.18119 0.932947
0.436306 0.249614 0.739217 1.0023
1.9041 0.944218 0.88212 1.05545
0.209269 1.64923 0.89386 0.968434
0.0983644 0.275449 0.960841 1.11116
1.131 0.584731 0.615528 0.901114
0.646217 0.161828 0.922841 0.889511
0.205844 0.991158 1.14674 1.11405
4.42373 1.41119 0.989413 1.17254
0.940709 0.642915 0.524919 0.752928
0.241891 0.201841 1.33133 0.874323
1.30428 0.911843 0.825322 1.03055
0.117205 1.56588 0.938222 1.13827
0.405256 1.31469 1.04617 1.17247
0.266968 1.00324 0.656758 1.24118
0.85576 1.16406 1.18751 1.00114
1.71552 0.761765 0.588271 0.893432
0.040234 0.680718 0.61948 0.928435
0.0345155 1.06663 0.462557 1.06529
2.26894 1.32327 1.00273 1.00322
1.24117 1.47673 1.10576 0.980275
0.63907 0.381199 1.4275 0.874839
3.72303 0.495601 1.36736 1.22941
0.55861 2.53053 1.08104 1.07199
0.250835 1.07203 0.848527 0.82607
1.48741 1.2052 1.53416 0.922765
0.579699 0.89153 1.01337 0.819745
1.14531 0.829335 0.865307 0.907502
0.535861 0.647943 0.846633 0.928996
3.6443 1.34712 1.06233 0.920032
1.19625 1.44801 1.42734 0.862598
0.412585 1.80414 1.2179 0.92137
0.825267 0.719128 0.774045 1.19994
0.441379 0.727442 1.63283 0.889865
0.595503 0.330616 1.01196 0.949119
0.0364808 1.6729 1.13301 1.09326
0.882858 0.75652 0.646063 0.962313
0.668095 1.72833 1.30971 0.915469
1.84841 0.311341 1.41166 0.987037
0.533494 0.61763 0.488642 1.11764
0.874105 0.606266 1.64592 0.901499
0.336362 0.455813 0.838788 1.08924
0.467539 1.2912 1.06508 0.993084
0.0988188 0.501093 0.855101 0.902392
0.0408264 0.175052 1.00953 1.02214
0.538318 0.152909 1.05618 1.05893
2.56891 0.555069 0.849853 1.10436
0.0514228 0.329519 1.20151 1.16213
0.226669 1.45699 0.786157 1.03327
0.939556 1.72975 0.948398 0.902626
0.754336 0.803491 0.9533 1.04257
0.580046 1.05308 0.644208 0.88978
0.943501 1.94741 1.35592 0.951361
0.433047 1.09411 0.612137 0.947983
0.285936 0.878624 0.819465 0.950016
0.816593 1.00581 0.886593 0.878426
0.477898 0.84587 1.40021 0.963515
1.36412 0.172624 0.575743 0.821611
0.356378 0.517664 1.7873 0.984267
0.391615 0.51418 1.26339 1.19442
0.833185 1.28138 0.529766 0.987876
3.78161 0.801917 0.613934 1.12172
