block pi pi_error
1 3.1224 nan
2 3.1224 nan
3 3.1224 nan
4 3.1224 nan
5 3.1224 nan
6 3.1224 nan
7 3.1224 nan
8 3.1224 nan
9 3.1224 nan
10 3.1224 nan
11 3.1224 1.52867e-08
12 3.1224 nan
13 3.1224 nan
14 3.1224 nan
15 3.1224 nan
16 3.1224 nan
17 3.1224 nan
18 3.1224 nan
19 3.1224 nan
20 3.1224 nan
21 3.1224 nan
22 3.1224 nan
23 3.1224 nan
24 3.1224 nan
25 3.1224 nan
26 3.1224 nan
27 3.1224 nan
28 3.1224 nan
29 3.1224 nan
30 3.1224 nan
31 3.1224 nan
32 3.1224 nan
33 3.1224 nan
34 3.1224 nan
35 3.1224 nan
36 3.1224 nan
37 3.1224 nan
38 3.1224 nan
39 3.1224 nan
40 3.1224 nan
41 3.1224 nan
42 3.1224 nan
43 3.1224 nan
44 3.1224 nan
45 3.1224 nan
46 3.1224 nan
47 3.1224 nan
48 3.1224 nan
49 3.1224 nan
50 3.1224 nan
51 3.1224 nan
52 3.1224 nan
53 3.1224 nan
54 3.1224 nan
55 3.1224 nan
56 3.1224 nan
57 3.1224 nan
58 3.1224 nan
59 3.1224 nan
60 3.1224 nan
61 3.1224 nan
62 3.1224 nan
63 3.1224 nan
64 3.1224 nan
65 3.1224 nan
66 3.1224 2.60989e-09
67 3.1224 2.59034e-09
68 3.1224 2.57122e-09
69 3.1224 nan
70 3.1224 4.54573e-09
71 3.1224 4.5136e-09
72 3.1224 4.48215e-09
73 3.1224 4.45134e-09
74 3.1224 7.55136e-09
75 3.1224 7.50085e-09
76 3.1224 7.45134e-09
77 3.1224 7.4028e-09
78 3.1224 7.35519e-09
79 3.1224 9.40843e-09
80 3.1224 9.34944e-09
81 3.1224 9.29155e-09
82 3.1224 5.45866e-09
83 3.1224 7.92784e-09
84 3.1224 7.88051e-09
85 3.1224 7.83402e-09
86 3.1224 7.78834e-09
87 3.1224 7.74345e-09
88 3.1224 7.69932e-09
89 3.1224 9.4749e-09
90 3.1224 9.42211e-09
91 3.1224 9.3702e-09
92 3.1224 9.31913e-09
93 3.1224 9.2689e-09
94 3.1224 9.21946e-09
95 3.1224 1.06441e-08
96 3.1224 1.05885e-08
97 3.1224 1.05338e-08
98 3.1224 1.04799e-08
99 3.1224 1.04268e-08
100 3.1224 9.47985e-09
