N1 N2 N10 N100
0.264464 0.559578 0.472117 0.451011
0.534136 0.17103 0.591528 0.465472
0.304792 0.569385 0.528416 0.497813
0.896646 0.12758 0.48988 0.519242
0.769676 0.32641 0.45687 0.495323
0.731583 0.665976 0.492347 0.480936
0.381963 0.398074 0.299718 0.485621
0.761421 0.979415 0.353166 0.498105
0.119384 0.44058 0.451392 0.527233
0.787018 0.269974 0.374753 0.497862
0.838311 0.352611 0.525074 0.464862
0.833507 0.456338 0.544863 0.462961
0.309439 0.215843 0.275322 0.506594
0.629472 0.655318 0.52351 0.479448
0.569876 0.552199 0.572305 0.480353
0.884496 0.360035 0.468176 0.516065
0.772969 0.423777 0.531846 0.457723
0.727285 0.391394 0.552437 0.477545
0.0586439 0.141922 0.357379 0.485847
0.93099 0.730599 0.461479 0.480252
0.161739 0.163928 0.479429 0.495009
0.821174 0.42768 0.373365 0.484886
0.091981 0.831402 0.448123 0.483357
0.243824 0.655223 0.701981 0.488269
0.988548 0.6628 0.712305 0.427332
0.955813 0.0639161 0.579564 0.501405
0.673691 0.599478 0.314417 0.522359
0.707564 0.121129 0.598469 0.533197
0.620856 0.516934 0.453358 0.481367
0.326099 0.830302 0.515799 0.482387
0.0541692 0.667848 0.303232 0.47014
0.176195 0.334011 0.528252 0.544924
0.3334 0.309308 0.388093 0.502568
0.910645 0.545979 0.520255 0.498634
0.96236 0.443322 0.419802 0.480951
0.419963 0.144968 0.623252 0.463729
0.800032 0.238375 0.690781 0.491916
0.48314 0.339098 0.559854 0.489253
0.153329 0.577806 0.462463 0.51056
0.00692787 0.540277 0.531174 0.531967
0.991496 0.471698 0.373689 0.505827
0.499037 0.295746 0.520416 0.484557
0.923041 0.695056 0.429696 0.519948
0.653308 0.842192 0.594165 0.535903
0.123957 0.250252 0.500323 0.508149
0.833724 0.794558 0.474699 0.426079
0.386079 0.59375 0.54752 0.465701
0.258124 0.575939 0.361056 0.516716
0.469396 0.516422 0.328814 0.481263
0.3384 0.553275 0.589994 0.556417
0.130841 0.580204 0.52007 0.525749
0.964959 0.545977 0.379292 0.47504
0.608655 0.522463 0.589843 0.505137
0.776992 0.474439 0.445737 0.514649
0.897367 0.546216 0.364834 0.530859
0.528242 0.639014 0.435843 0.486858
0.414959 0.313082 0.464728 0.548188
0.663564 0.479156 0.540805 0.541918
0.671169 0.335768 0.348002 0.52048
0.270874 0.775143 0.506894 0.567547
0.752938 0.794794 0.336402 0.534092
0.743019 0.547097 0.548028 0.502708
0.026992 0.498776 0.388658 0.544386
0.678047 0.742193 0.545642 0.540189
0.836892 0.747178 0.473922 0.518697
0.912876 0.461799 0.325117 0.513741
0.632536 0.683411 0.569469 0.489915
0.758966 0.290068 0.535382 0.456233
0.402686 0.851024 0.527691 0.468086
0.991301 0.554727 0.459973 0.505601
0.946051 0.455873 0.605057 0.501724
0.709972 0.686827 0.34784 0.481152
0.519022 0.672 0.417812 0.481966
0.273221 0.748525 0.494416 0.470525
0.694147 0.355591 0.61872 0.512611
0.0221421 0.239586 0.498786 0.542111
0.923835 0.424886 0.564594 0.518171
0.815601 0.556285 0.651881 0.499591
0.546853 0.404672 0.417593 0.518435
0.292362 0.291404 0.445849 0.523791
0.366532 0.443842 0.523417 0.478488
0.0441421 0.473584 0.446957 0.507201
0.334104 0.315886 0.501998 0.548233
0.824415 0.588204 0.626613 0.494696
0.432055 0.602724 0.443449 0.510409
0.922517 0.415326 0.470809 0.511518
0.458782 0.818495 0.475673 0.555607
0.257032 0.272837 0.424992 0.529329
0.802274 0.782351 0.481446 0.533272
0.573796 0.94918 0.556977 0.494875
0.111773 0.693637 0.431029 0.525058
0.446681 0.649679 0.454956 0.478969
0.676717 0.497887 0.490516 0.532603
0.0500228 0.448435 0.70473 0.484313
0.209089 0.440809 0.471674 0.445526
0.588024 0.253107 0.574509 0.540205
0.149605 0.420496 0.704595 0.477803
0.724574 0.753566 0.577604 0.502821
0.343101 0.456982 0.619334 0.523715
0.904469 0.564734 0.538711 0.508218
0.463856 0.507036 0.600027 0.542816
0.503517 0.755449 0.345842 0.517713
0.631589 0.485139 0.563121 0.515041
0.421397 0.312998 0.355131 0.510954
0.194085 0.856277 0.496284 0.516365
0.343797 0.693241 0.583772 0.472479
0.290402 0.477209 0.487114 0.486217
0.48815 0.947389 0.642693 0.538095
0.227428 0.618699 0.631116 0.530016
0.210768 0.533073 0.584537 0.558366
0.647704 0.827694 0.611348 0.418581
0.390339 0.838909 0.677137 0.529933
0.809704 0.490988 0.396449 0.4931
0.0449471 0.134229 0.370631 0.485702
0.728374 0.391305 0.568071 0.496381
0.0468195 0.686126 0.532434 0.538313
0.520311 0.529569 0.447848 0.500497
0.133452 0.0290233 0.652261 0.503378
0.5033 0.83589 0.588228 0.492314
0.276847 0.607928 0.734286 0.504499
0.666189 0.53645 0.51243 0.471946
0.747521 0.49042 0.647176 0.486832
0.425828 0.548462 0.584219 0.529775
0.220253 0.522804 0.503411 0.524481
0.796057 0.7342 0.540434 0.441998
0.421833 0.524248 0.493229 0.50617
