#step r error
0 0 0
1 1 nan
2 1.4094 0.00408349
3 1.72948 0.0056109
4 2.00002 0.00709235
5 2.2345 0.00859509
6 2.44203 0.00909053
7 2.64141 0.00910221
8 2.82803 0.0100741
9 3.00499 0.0107426
10 3.16573 0.0115657
11 3.31548 0.0134106
12 3.47354 0.014659
13 3.62001 0.0158031
14 3.76098 0.0156694
15 3.88824 0.015917
16 4.0062 0.0159211
17 4.12033 0.0161779
18 4.24459 0.0169098
19 4.35597 0.0184015
20 4.47253 0.0192265
21 4.57891 0.0194761
22 4.68832 0.0198294
23 4.7911 0.0198068
24 4.89643 0.0199434
25 4.98568 0.0210196
26 5.07283 0.0208931
27 5.16444 0.021964
28 5.25828 0.0217748
29 5.34969 0.0225181
30 5.44299 0.0236371
31 5.52872 0.0248925
32 5.62471 0.0253359
33 5.71359 0.0260265
34 5.80637 0.0261239
35 5.89593 0.0251943
36 5.9893 0.0260843
37 6.06357 0.0259718
38 6.14853 0.0261524
39 6.2301 0.0259953
40 6.30996 0.0251543
41 6.38084 0.0249417
42 6.46544 0.0251604
43 6.54519 0.0253696
44 6.61782 0.0268985
45 6.68974 0.0265229
46 6.76276 0.0263609
47 6.8324 0.0263308
48 6.89739 0.0270417
49 6.96373 0.0269089
50 7.03441 0.0265201
51 7.10061 0.0267273
52 7.16445 0.0270089
53 7.24087 0.0270352
54 7.31585 0.0260894
55 7.37398 0.0270354
56 7.44695 0.0277701
57 7.51825 0.0276352
58 7.58084 0.0269095
59 7.65497 0.0273814
60 7.71998 0.0277061
61 7.7887 0.0285446
62 7.84911 0.0282161
63 7.91854 0.0290447
64 7.98401 0.0289493
65 8.04737 0.0291121
66 8.12151 0.029306
67 8.17769 0.0297913
68 8.23707 0.0304544
69 8.29896 0.0309499
70 8.35852 0.0307054
71 8.41639 0.031007
72 8.47266 0.0311156
73 8.53225 0.0317154
74 8.59026 0.0322859
75 8.64585 0.0325145
76 8.70671 0.0324456
77 8.75888 0.0316794
78 8.81681 0.032153
79 8.86789 0.0327793
80 8.91811 0.03335
81 8.9817 0.0343761
82 9.04351 0.0346032
83 9.10156 0.0351847
84 9.15194 0.0362069
85 9.19687 0.0366312
86 9.24855 0.0358336
87 9.30841 0.0352791
88 9.35486 0.0351195
89 9.41242 0.0350568
90 9.45952 0.0351873
91 9.52257 0.034709
92 9.57498 0.0350305
93 9.62996 0.0350212
94 9.6854 0.0356504
95 9.7459 0.0366605
96 9.79216 0.0367714
97 9.83453 0.0375711
98 9.88848 0.037551
99 9.93532 0.0381676
