#Blocks Estimate Error
1 1.00094 0
2 1.00083 0.000103085
3 1.00162 0.000793287
4 1.00121 0.000698053
5 1.00077 0.000694467
6 1.00042 0.000669715
7 1.00046 0.000567977
8 1.00024 0.000540424
9 1.00024 0.000476623
10 1.00016 0.000433862
11 1.00019 0.000393528
12 1.00005 0.000387907
13 1.00006 0.00035726
14 1.00016 0.000344131
15 1.00025 0.000334357
16 1.00018 0.0003209
17 1.0001 0.000313089
18 1.00015 0.000300559
19 1.00014 0.000284727
20 1.00012 0.000271059
21 1.0001 0.000258378
22 0.999984 0.000271916
23 0.999996 0.000260102
24 0.999894 0.000269127
25 0.999906 0.000258411
26 0.999914 0.000248394
27 0.999889 0.000240236
28 0.99992 0.000233466
29 0.999936 0.000225895
30 0.999999 0.000226905
31 1.00003 0.000221113
32 1.00002 0.00021414
33 1.00001 0.000207952
34 0.999997 0.000202066
35 1.00005 0.000202977
36 1.00001 0.000201196
37 1.00001 0.000195761
38 0.999995 0.000191576
39 0.999996 0.000186606
40 0.999974 0.000183245
41 0.999969 0.000178784
42 0.999956 0.000174992
43 0.999954 0.000170887
44 0.99996 0.000167066
45 0.999948 0.000163699
46 1 0.000169527
47 1.00001 0.000165919
48 1.00003 0.000164649
49 1.00001 0.000162465
50 1 0.000159665
51 0.999956 0.000163224
52 0.999983 0.000162316
53 0.999926 0.000169069
54 0.999963 0.000169953
55 0.999942 0.000168119
56 0.999946 0.000165126
57 0.999965 0.000163362
58 0.999932 0.000163907
59 0.999959 0.000163374
60 0.999972 0.00016111
61 1.00001 0.000162609
62 1.00002 0.000160301
63 1.00002 0.000157848
64 0.999986 0.000160153
65 1.00001 0.000158979
66 1.00001 0.000156561
67 1 0.00015438
68 1.00001 0.000152277
69 1.00002 0.000150358
70 1.00002 0.000148195
71 1.00001 0.000146322
72 1 0.000144457
73 1.00001 0.00014263
74 1.00002 0.000141101
75 1.00002 0.000139247
76 1.00002 0.000137403
77 1.00002 0.000135618
78 1 0.000134481
79 0.99999 0.00013353
80 0.999993 0.00013188
81 1.00001 0.000131865
82 0.999981 0.000134175
83 0.999947 0.000136802
84 0.999936 0.000135686
85 0.999916 0.000135433
86 0.99992 0.000133886
87 0.999901 0.000133576
88 0.999929 0.000134821
89 0.999966 0.000138542
90 0.999978 0.000137462
91 0.999988 0.000136322
92 0.999966 0.00013652
93 0.999955 0.00013552
94 0.999976 0.000135701
95 1 0.000136317
96 1.00001 0.000135168
97 0.999983 0.000136176
98 0.999969 0.000135525
99 0.999988 0.000135497
100 0.999987 0.000134136
