x y z
0.538909 0.523221 0.660164
-0.120029 -0.933581 0.337669
-0.979412 0.141811 -0.143669
-0.156346 -0.538513 0.827986
-0.325766 -0.486013 -0.810967
-0.511283 0.534305 -0.673133
0.0468738 -0.283841 0.957725
0.485771 0.861996 -0.144877
-0.181876 0.979035 -0.0917158
0.980245 0.106984 -0.166357
0.79057 0.340006 -0.509307
0.0834236 0.785343 0.613414
-0.858151 0.0365453 -0.512095
-0.991356 0.130697 0.0114806
-0.0423018 0.852224 0.521464
-0.97004 0.17372 -0.169834
-0.732865 -0.661066 -0.160937
0.632356 0.368386 0.681482
0.783569 -0.357563 -0.508103
-0.307838 -0.0035935 0.951432
-0.377744 -0.888275 0.261299
-0.473827 -0.669301 0.572297
-0.258896 -0.535954 0.803571
0.676153 0.642667 -0.360274
-0.648477 -0.342147 -0.68001
0.941457 0.324057 0.092985
0.0335914 -0.338035 -0.940534
0.0218978 0.144784 -0.989221
0.414969 -0.232033 -0.879751
0.102806 -0.244771 0.964115
0.300102 0.335286 0.893041
-0.143558 -0.613614 0.776446
0.975319 -0.0892575 0.201956
-0.123602 0.858746 0.49727
-0.874397 -0.213706 0.435615
-0.151949 0.0177138 0.98823
0.058239 0.258396 0.964282
0.749641 0.654691 -0.0970442
-0.0394001 0.693844 0.719047
0.560127 -0.394919 0.728215
0.0488789 0.746662 -0.663405
-0.0074211 -0.960487 -0.278225
0.220725 0.697441 0.681804
-0.222769 -0.436746 0.871566
-0.758657 0.55184 0.346283
0.94614 -0.0806892 0.313542
-0.307991 0.128966 0.942608
0.565267 -0.823208 -0.0529277
-0.627692 -0.324922 -0.707409
-0.214686 -0.685078 -0.696116
-0.091198 0.478984 -0.873074
0.502133 -0.156967 -0.850425
0.669302 -0.613465 0.41916
0.041832 -0.205742 0.977712
0.334032 -0.605561 -0.722301
-0.0503169 -0.701945 0.710452
-0.0459056 0.699248 -0.713404
-0.541538 -0.167719 0.823776
-0.82488 -0.508369 -0.247255
-0.128172 -0.436938 -0.890313
-0.465044 0.716409 -0.520089
0.944492 0.238813 -0.225619
0.229578 0.973262 0.00742792
0.0922137 -0.148375 -0.984622
0.502282 0.186447 0.844364
0.449012 0.272871 -0.850841
0.166499 -0.600344 0.782218
-0.439037 0.63452 -0.636106
-0.454745 0.174971 -0.873265
0.373761 -0.217417 0.901683
0.783194 0.417336 0.460909
0.76483 -0.538419 -0.353751
0.430309 -0.854059 -0.292264
0.335541 0.80909 0.482479
0.62898 0.24942 0.736325
0.966673 0.0788913 0.243555
0.171676 0.241076 -0.955201
0.380598 -0.759127 -0.528083
0.620952 -0.0216596 -0.783549
-0.845727 0.297233 -0.443168
-0.704222 -0.500958 0.503103
0.0519164 -0.993506 0.101248
-0.631771 0.0166387 -0.774976
-0.449423 0.550261 0.703727
0.243901 -0.866115 0.436299
0.359475 -0.924043 -0.130085
-0.312454 -0.927921 -0.203309
-0.0450844 -0.955076 -0.292913
0.949741 0.000388382 -0.313035
-0.272312 0.908184 -0.317879
-0.685435 -0.679351 -0.262032
0.601799 0.500513 -0.622353
-0.382636 0.249513 -0.889569
-0.151282 -0.661495 -0.734532
0.585934 -0.520264 0.621295
0.852665 -0.165798 0.495453
-0.343612 0.607935 -0.715783
0.12983 -0.414641 -0.900676
-0.525823 -0.482362 0.700598
-0.879933 -0.218301 0.421976
-0.93787 -0.241771 0.248891
-0.386125 -0.633586 0.67043
0.0755623 0.168189 0.982854
-0.334742 0.16798 0.927217
0.0910601 0.34335 0.934783
-0.373329 0.717483 0.588085
-0.994975 -0.0792026 0.0612469
-0.970482 -0.124503 -0.206551
0.936304 0.323177 -0.137449
0.30004 -0.207344 0.93112
-0.25948 0.947193 -0.1884
0.109855 0.743552 0.659592
0.573411 0.295227 0.764225
0.981018 0.103996 0.163671
0.650903 0.686013 -0.325132
-0.452579 0.661905 0.59754
0.273699 0.115044 0.95491
-0.939345 -0.339786 0.0466573
0.000943039 -0.104214 0.994554
-0.272028 0.223944 -0.935869
-0.784352 0.178915 0.593954
0.41902 -0.888581 0.18667
0.607437 -0.264546 0.749024
0.489938 -0.192556 -0.850225
-0.631661 -0.500499 -0.592034
-0.145969 0.587222 -0.796155
-0.407296 0.913177 0.0147628
-0.0717567 -0.891603 0.447097
-0.533654 0.845677 0.00666123
0.0762949 -0.996476 -0.034864
-0.725183 -0.304117 0.617756
-0.457438 -0.799 0.390319
0.63528 0.664286 -0.393883
-0.994782 0.0623371 -0.0807671
-0.867748 0.377057 -0.323793
-0.901153 -0.0407261 -0.431584
-0.475345 0.401973 0.782601
0.954413 0.0911526 0.28423
0.141243 0.983961 0.108958
-0.633585 0.716268 0.292455
-0.486273 0.318397 0.813733
0.874076 -0.364611 -0.321014
0.145966 -0.93612 -0.319957
0.599522 0.529867 0.599846
-0.786157 -0.576643 0.22235
-0.598174 -0.271524 0.753965
-0.0362199 -0.972725 -0.229117
0.29524 -0.950747 -0.0944086
0.944904 0.0588874 0.322006
-0.863305 -0.190921 0.467176
-0.327544 0.927099 -0.182218
0.905954 -0.25624 -0.33703
0.490045 -0.00741225 0.871666
0.206674 -0.969149 -0.134297
-0.802586 0.553126 0.2234
0.357888 0.646869 0.673406
0.654098 -0.653611 0.38072
0.562218 0.7083 -0.426873
0.660159 -0.599181 -0.452959
-0.456805 -0.885237 0.0876588
0.331047 -0.437742 -0.835936
-0.503235 -0.571698 0.648009
-0.365898 0.238249 0.899642
0.670831 -0.663032 -0.332227
0.234373 0.281326 0.930551
0.350548 0.0965071 -0.931559
0.563929 -0.775262 -0.284522
0.31411 -0.786593 0.531607
-0.0867668 0.863543 0.496754
0.820013 -0.540762 -0.187499
0.721169 0.532062 0.443649
0.53275 0.756624 0.379074
0.144106 -0.509258 -0.848463
0.684833 0.317953 -0.655675
-0.515479 -0.303272 -0.801441
0.0192529 0.438728 -0.898414
-0.605097 0.282216 -0.744454
0.401106 0.566711 -0.71969
-0.037101 -0.238831 -0.970352
0.202857 -0.933253 -0.296457
-0.184397 0.970284 -0.156673
0.424088 -0.0993564 -0.900154
-0.974179 -0.0631741 0.216758
-0.461117 0.80044 -0.382972
-0.694147 0.185019 -0.695649
-0.364767 -0.930879 -0.0202153
0.881333 -0.453854 -0.13141
-0.617766 -0.167812 0.768248
-0.66204 -0.66422 -0.347152
0.55136 -0.0998822 -0.828267
-0.424982 -0.0740144 -0.902171
0.189924 0.502543 -0.843433
0.666882 0.508089 -0.545082
-0.559818 0.192032 0.806057
-0.186858 -0.967991 0.167563
-0.970193 -0.0616938 0.23435
0.100807 0.540949 -0.834992
0.0726561 0.799414 0.596371
-0.541129 0.80299 0.249774
0.234505 -0.0234729 -0.971831
0.0497109 0.821809 -0.56759
0.645618 -0.427033 0.633103
0.211556 0.550311 0.807714
0.934501 -0.21884 -0.280744
0.525132 -0.841348 -0.127943
0.952007 0.0831001 0.294581
-0.387042 -0.915462 0.110122
-0.44368 -0.843242 0.303465
-0.49629 0.164351 0.852458
0.95712 -0.10773 0.268917
-0.0961256 -0.0576029 -0.993701
0.980157 -0.197032 -0.0217056
0.999189 -0.0153188 0.0372403
-0.0772921 0.633541 0.769839
0.344017 -0.425223 0.837161
0.645605 0.761547 0.0569258
-0.643439 -0.244739 0.72532
0.840898 0.482855 0.244421
0.564439 0.29358 -0.771504
-0.558841 0.65119 -0.513466
-0.105283 0.877241 0.468363
-0.308956 -0.530382 -0.789456
-0.557007 -0.65646 0.508727
0.771517 0.320615 -0.549516
-0.999184 0.0403 0.00275237
0.335148 0.659095 -0.673253
0.660192 -0.431772 0.614588
-0.202503 0.977356 0.0613795
-0.642991 -0.734522 0.216888
-0.919404 -0.0703989 0.386964
0.904162 -0.133487 -0.405798
