#Block Call_Ave Call_Error Put_Ave Put_Error
1 19.6029 0 3.96449 0
2 19.9873 0.384393 5.85277 1.88828
3 20.9902 1.02716 5.48001 1.15217
4 19.4056 1.74315 6.06356 1.00213
5 16.4116 3.28433 7.68594 1.79852
6 15.7718 2.75691 7.47165 1.48404
7 16.2121 2.37124 7.58145 1.25904
8 16.8228 2.14246 6.63377 1.44464
9 15.3852 2.37423 7.13746 1.37001
10 15.1109 2.14122 7.17669 1.226
11 15.6178 2.00205 7.34318 1.12138
12 15.5221 1.83012 7.17138 1.038
13 15.6505 1.68835 7.19342 0.955072
14 15.8374 1.57425 7.22645 0.884841
15 15.6043 1.48398 7.05839 0.840711
16 15.9428 1.42882 6.88683 0.804909
17 16.5409 1.46937 6.56467 0.821854
18 15.7533 1.59356 6.59735 0.775541
19 15.5845 1.51678 6.50974 0.738801
20 15.7502 1.44845 6.21562 0.760098
21 15.2198 1.4763 6.28809 0.72662
22 14.8711 1.45016 6.40019 0.701816
23 15.4595 1.50543 6.33972 0.673329
24 15.217 1.46159 6.30989 0.645353
25 15.1366 1.40421 6.27387 0.620048
26 14.8864 1.37212 6.13755 0.61112
27 14.7346 1.32903 6.2906 0.60764
28 14.2857 1.35708 6.3708 0.591004
29 14.3726 1.31233 6.54837 0.597265
30 14.2165 1.27741 6.44433 0.586316
31 14.209 1.23554 6.31621 0.58138
32 14.6924 1.29026 6.28883 0.563584
33 14.7901 1.25436 6.11108 0.574432
34 14.7774 1.21697 6.01657 0.565237
35 14.9851 1.1998 5.90475 0.560126
36 15.2086 1.18723 5.91593 0.544459
37 15.4282 1.17538 5.84816 0.533858
38 15.3762 1.14521 5.88289 0.520778
39 15.3024 1.11789 5.90289 0.507643
40 15.2118 1.09335 5.86793 0.496023
41 15.2652 1.06769 5.77324 0.492954
42 15.2232 1.0428 5.8315 0.484589
43 15.1747 1.01942 5.92196 0.481754
44 15.1621 0.996058 5.86335 0.474313
45 14.9559 0.99526 5.96109 0.473844
46 14.8407 0.980178 5.98637 0.464118
47 14.7813 0.960935 6.07498 0.462699
48 14.9834 0.962152 6.03978 0.454323
49 15.062 0.945586 5.94341 0.45527
50 15.0579 0.92649 5.9289 0.446307
51 14.9531 0.914172 6.01011 0.444943
52 14.9365 0.896573 6.00328 0.436356
53 14.8308 0.885824 6.07684 0.434318
54 14.8978 0.871844 6.05653 0.426683
55 14.9711 0.858974 6.11934 0.423536
56 14.8589 0.850924 6.10523 0.416144
57 14.8429 0.836016 6.07774 0.4097
58 14.8184 0.821838 6.06886 0.402673
59 14.809 0.807844 6.05202 0.396147
60 14.6694 0.806428 6.08591 0.39096
61 14.5388 0.803788 6.13463 0.387572
62 14.4142 0.800467 6.19546 0.386091
63 14.4582 0.788885 6.11844 0.387642
64 14.349 0.784101 6.15204 0.383013
65 14.2677 0.776214 6.21741 0.382699
66 14.3484 0.768611 6.24724 0.378035
67 14.275 0.760598 6.26175 0.372633
68 14.381 0.75679 6.2527 0.367223
69 14.4738 0.751494 6.17479 0.370154
70 14.4409 0.741412 6.16272 0.365028
71 14.4194 0.73121 6.16171 0.359851
72 14.4845 0.723911 6.11588 0.357765
73 14.5397 0.716055 6.0582 0.357513
74 14.5185 0.70663 6.0567 0.352652
75 14.4329 0.702377 6.00757 0.351369
76 14.5202 0.698549 5.9682 0.348943
77 14.5581 0.690461 5.96003 0.344479
78 14.5119 0.683118 5.93659 0.340841
79 14.4677 0.675861 5.92549 0.336682
80 14.5695 0.675071 5.90769 0.332923
81 14.4792 0.672773 5.88261 0.329742
82 14.491 0.664624 5.83606 0.329005
83 14.5417 0.658519 5.84236 0.325078
84 14.5309 0.650721 5.83668 0.321235
85 14.5512 0.643339 5.82814 0.317548
86 14.5836 0.636637 5.82199 0.313895
87 14.5635 0.629596 5.79085 0.311824
88 14.5117 0.624555 5.81485 0.309194
89 14.6255 0.627898 5.81665 0.305705
90 14.6566 0.621659 5.78753 0.303689
91 14.7314 0.61933 5.76349 0.301293
92 14.7291 0.612566 5.72304 0.300734
93 14.6974 0.606771 5.71003 0.297767
94 14.8268 0.614072 5.68023 0.296086
95 14.8833 0.610197 5.6513 0.294378
96 14.816 0.607548 5.63375 0.291823
97 14.8994 0.607009 5.63314 0.2888
98 14.9154 0.600997 5.67441 0.288802
99 14.8992 0.595118 5.64134 0.287775
100 14.8501 0.591173 5.61652 0.285963
