#VELOCITY:     AVE_POFV:     PROGR_AVE_POVF:        ERROR:
   0.0942809  0.00100201  0.00100201           0
    0.282843   0.0010213   0.0010213           0
    0.471405  0.00586944  0.00586944           0
    0.659966   0.0157648   0.0157648           0
    0.848528   0.0166222   0.0166222           0
     1.03709   0.0389435   0.0389435           0
     1.22565   0.0573667   0.0573667           0
     1.41421   0.0666806   0.0666806           0
     1.60278   0.0609213   0.0609213           0
     1.79134   0.0729852   0.0729852           0
      1.9799   0.0815954   0.0815954           0
     2.16846   0.0762648   0.0762648           0
     2.35702   0.0702657   0.0702657           0
     2.54558   0.0813556   0.0813556           0
     2.73415   0.0660556   0.0660556           0
     2.92271   0.0527194   0.0527194           0
     3.11127   0.0550667   0.0550667           0
     3.29983   0.0449111   0.0449111           0
     3.48839   0.0292815   0.0292815           0
     3.67696   0.0246583   0.0246583           0
     3.86552   0.0227796   0.0227796           0
     4.05408   0.0163676   0.0163676           0
     4.24264   0.0162111   0.0162111           0
      4.4312  0.00952407  0.00952407           0
     4.61976   0.0049787   0.0049787           0
     4.80833  0.00264444  0.00264444           0
     4.99689  0.00172037  0.00172037           0
     5.18545  0.00118056  0.00118056           0
     5.37401 0.000818519 0.000818519           0
     5.56257  0.00126204  0.00126204           0
   0.0942809  0.00101308  0.00100755 0.000422689
    0.282843  0.00651481  0.00376806    0.209763
    0.471405   0.0100472  0.00795833    0.159523
    0.659966   0.0264509   0.0211079    0.408036
    0.848528   0.0292056   0.0229139    0.480479
     1.03709   0.0461852   0.0425644    0.276514
     1.22565   0.0567722   0.0570694   0.0226981
     1.41421   0.0553704   0.0610255    0.431865
     1.60278   0.0706963   0.0658088    0.373246
     1.79134   0.0575509   0.0652681    0.589338
      1.9799   0.0710639   0.0763296    0.402132
     2.16846   0.0751343   0.0756995   0.0431689
     2.35702   0.0689806   0.0696231   0.0490732
     2.54558   0.0636306   0.0724931    0.676807
     2.73415   0.0635278   0.0647917   0.0965201
     2.92271   0.0478824   0.0503009    0.184696
     3.11127   0.0482537   0.0516602    0.260145
     3.29983   0.0381843   0.0415477    0.256857
     3.48839   0.0306296   0.0299556   0.0514774
     3.67696   0.0323148   0.0284866    0.292353
     3.86552   0.0199269   0.0213532     0.10893
     4.05408    0.025175   0.0207713      0.3363
     4.24264    0.017725   0.0169681    0.057806
      4.4312   0.0121037   0.0108139      0.0985
     4.61976  0.00863981  0.00680926    0.139795
     4.80833  0.00540648  0.00402546    0.105465
     4.99689  0.00353056  0.00262546   0.0691197
     5.18545  0.00122778  0.00120417  0.00180312
     5.37401  0.00410741  0.00246296    0.125582
     5.56257  0.00140648  0.00133426  0.00551543
   0.0942809  0.00101686  0.00101065 0.000392775
    0.282843   0.0025463   0.0033608     0.14438
    0.471405  0.00989907  0.00860525    0.120683
    0.659966   0.0256852   0.0226336    0.303479
    0.848528   0.0287444   0.0248574    0.363286
     1.03709   0.0368574    0.040662    0.249243
     1.22565   0.0440278   0.0527222    0.383644
     1.41421   0.0526963   0.0582491    0.377932
     1.60278   0.0557074   0.0624417    0.387399
     1.79134   0.0772565   0.0692642    0.527769
      1.9799   0.0788509   0.0771701    0.278143
     2.16846   0.0725046   0.0746346   0.0982215
     2.35702   0.0609648    0.066737    0.256596
     2.54558   0.0732907    0.072759    0.451814
     2.73415   0.0700028   0.0665287    0.166142
     2.92271   0.0551407   0.0519142    0.188147
     3.11127   0.0536167   0.0523123    0.182716
     3.29983   0.0433185    0.042138    0.178974
     3.48839   0.0361157    0.032009    0.184295
     3.67696   0.0302667   0.0290799    0.201803
     3.86552   0.0249352   0.0225472    0.127902
     4.05408   0.0217639   0.0211022     0.22609
     4.24264   0.0146824   0.0162062   0.0774521
      4.4312   0.0141537   0.0119272    0.118108
     4.61976  0.00669722  0.00677191   0.0932548
     4.80833      0.0054  0.00448364   0.0810919
     4.99689   0.0022787  0.00250988   0.0471936
     5.18545 0.000918519  0.00110895  0.00848192
     5.37401 0.000501852  0.00180926    0.101647
     5.56257  0.00069537   0.0011213    0.019136
   0.0942809  0.00101924   0.0010128 0.000356604
    0.282843  0.00283981  0.00323056    0.108968
    0.471405  0.00770833  0.00838102     0.09291
    0.659966   0.0179574   0.0214646    0.252511
    0.848528   0.0238472   0.0246049    0.273486
     1.03709   0.0445167   0.0416257    0.207527
     1.22565   0.0527694    0.052734    0.287735
     1.41421   0.0550231   0.0574426    0.293314
     1.60278   0.0668315   0.0635391    0.308147
     1.79134   0.0689278   0.0691801    0.395905
      1.9799   0.0749306   0.0766102    0.215079
     2.16846   0.0598769   0.0709451    0.352851
     2.35702   0.0631648    0.065844    0.209792
     2.54558   0.0822472    0.075131    0.405029
     2.73415   0.0619713   0.0653894    0.163959
     2.92271   0.0611935    0.054234    0.258825
     3.11127   0.0539491   0.0527215    0.142281
     3.29983   0.0399139   0.0415819    0.143953
     3.48839   0.0491991   0.0363065    0.425053
     3.67696   0.0310917   0.0295829    0.158494
     3.86552   0.0218352   0.0223692    0.097361
     4.05408   0.0175426   0.0202123    0.188894
     4.24264   0.0120315   0.0151625    0.113592
