#BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1  -0.0141231  -0.0141231           0
           2    -1.42628   -0.720204    0.499274
           3    -1.51501   -0.985139    0.396967
           4    -1.73017     -1.1714    0.338614
           5    -2.16708    -1.37053    0.324201
           6    -2.54556    -1.56637    0.323961
           7    -3.10309     -1.7859    0.344116
           8    -3.26162    -1.97037    0.347039
           9     -3.6368    -2.15553    0.354449
          10    -3.90218    -2.33019    0.359473
          11    -3.42693    -2.42989    0.340339
          12    -4.02269    -2.56263    0.336868
          13    -3.63303    -2.64497     0.32086
          14    -3.49031    -2.70535     0.30357
          15     -2.9216    -2.71977    0.283674
          16    -2.71152    -2.71925    0.265945
          17      -2.403    -2.70065    0.250951
          18    -2.11337    -2.66802    0.239121
          19    -2.02687    -2.63428    0.228904
          20    -2.04585    -2.60485    0.219341
          21    -2.16597    -2.58395     0.20989
          22    -2.08689    -2.56136    0.201562
          23    -2.16257    -2.54402    0.193543
          24    -2.24739    -2.53166    0.185873
          25    -2.05362    -2.51254    0.179419
          26      -2.015     -2.4934    0.173535
          27    -1.92116    -2.47221    0.168397
          28    -1.93613    -2.45306    0.163468
          29    -2.12028    -2.44159    0.158233
          30    -2.31566    -2.43739    0.153015
          31     -2.6576    -2.44449    0.148243
          32     -2.7635    -2.45446    0.143946
          33    -2.69143    -2.46164    0.139763
          34    -2.63459    -2.46673    0.135744
          35    -2.56072    -2.46942    0.131893
          36    -2.35692    -2.46629    0.128266
          37    -2.31344    -2.46216    0.124866
          38    -2.18356    -2.45483    0.121795
          39    -2.28363    -2.45044    0.118751
          40    -2.24606    -2.44533    0.115892
          41    -2.27221    -2.44111    0.113142
          42    -2.39872     -2.4401    0.110453
          43    -2.46108    -2.44059    0.107885
          44    -2.50622    -2.44208    0.105444
          45    -2.57071    -2.44494    0.103139
          46    -2.59731    -2.44825     0.10095
          47    -2.62903     -2.4521   0.0988757
          48    -2.60908    -2.45537   0.0968699
          49    -2.55407    -2.45738   0.0949139
          50    -2.54759    -2.45918   0.0930328
          51    -2.64002    -2.46273   0.0912762
          52    -2.61031    -2.46557    0.089565
          53    -2.49809    -2.46618   0.0878772
          54    -2.48308     -2.4665   0.0862504
          55    -2.61311    -2.46916   0.0847234
          56    -2.45294    -2.46887   0.0832109
          57    -2.52892    -2.46992   0.0817578
          58    -2.50302     -2.4705   0.0803501
          59     -2.4738    -2.47055   0.0789883
          60    -2.58611    -2.47248   0.0776953
          61    -2.49182    -2.47279   0.0764222
          62    -2.74095    -2.47712   0.0753119
          63    -2.78327    -2.48198   0.0742731
          64    -2.63684     -2.4844    0.073152
          65    -2.84062    -2.48988   0.0722316
          66    -2.82956    -2.49503   0.0713203
          67    -2.80041    -2.49958   0.0704013
          68    -2.83783    -2.50456   0.0695415
          69    -2.77648     -2.5085   0.0686452
          70    -2.82398    -2.51301   0.0678123
          71    -2.77421    -2.51668    0.066957
          72    -2.70402    -2.51929   0.0660775
          73      -2.743    -2.52235   0.0652434
          74    -2.74171    -2.52532    0.064429
          75    -2.73544    -2.52812   0.0636309
          76    -2.66508    -2.52992   0.0628191
          77      -2.763    -2.53295   0.0620762
          78    -2.72195    -2.53537   0.0613276
          79    -2.76512    -2.53828   0.0606202
          80     -2.6597     -2.5398   0.0598815
          81      -2.752    -2.54242   0.0591995
          82    -2.78912    -2.54542   0.0585539
          83    -2.68363    -2.54709   0.0578721
          84    -2.72367    -2.54919   0.0572214
          85     -2.7495    -2.55155   0.0565967
          86    -2.62009    -2.55234   0.0559442
          87    -2.51769    -2.55195   0.0553026
          88    -2.45235    -2.55081   0.0546857
          89    -2.39769    -2.54909   0.0540983
          90    -2.38849    -2.54731   0.0535266
          91    -2.41639    -2.54587   0.0529578
          92    -2.35964    -2.54385   0.0524208
          93    -2.39102     -2.5422   0.0518829
          94    -2.56637    -2.54246   0.0513316
          95    -2.61306     -2.5432   0.0507966
          96    -2.57368    -2.54352   0.0502685
          97    -2.56291    -2.54372   0.0497507
          98    -2.65144    -2.54482   0.0492551
          99    -2.63707    -2.54575   0.0487664
