#VELOCITY:     AVE_POFV:     PROGR_AVE_POFV:        ERROR:
   0.0942809 4.62963e-08 4.62963e-08           0
    0.282843           0           0           0
    0.471405           0           0           0
    0.659966           0           0           0
    0.848528           0           0           0
     1.03709           0           0           0
     1.22565           0           0           0
     1.41421           0           0           0
     1.60278           0           0           0
     1.79134           0           0           0
      1.9799           0           0           0
     2.16846           0           0           0
     2.35702       5e-05       5e-05           0
     2.54558           0           0           0
     2.73415           0           0           0
     2.92271           0           0           0
     3.11127           0           0           0
     3.29983           0           0           0
     3.48839           0           0           0
     3.67696           0           0           0
     3.86552           0           0           0
     4.05408           0           0           0
     4.24264           0           0           0
      4.4312           0           0           0
     4.61976           0           0           0
     4.80833           0           0           0
     4.99689           0           0           0
     5.18545           0           0           0
     5.37401           0           0           0
     5.56257           0           0           0
   0.0942809 0.000352028 0.000176037     0.01344
    0.282843   0.0284829   0.0142414     1.08758
    0.471405   0.0516282   0.0258141     1.97136
    0.659966   0.0835292   0.0417646     3.18946
    0.848528    0.103136   0.0515678     3.93811
     1.03709    0.112863   0.0564315     4.30953
     1.22565    0.127516   0.0637581     4.86905
     1.41421    0.115666   0.0578331     4.41657
     1.60278    0.111052   0.0555259     4.24038
     1.79134   0.0741968   0.0370984     2.83311
      1.9799   0.0492829   0.0246414     1.88181
     2.16846   0.0375824   0.0187912     1.43504
     2.35702   0.0264347   0.0132424     1.00747
     2.54558   0.0161611  0.00808056    0.617092
     2.73415   0.0117505  0.00587523    0.448677
     2.92271   0.0151764  0.00758819    0.579492
     3.11127  0.00517407  0.00258704    0.197566
     3.29983  0.00282222  0.00141111    0.107763
     3.48839  0.00161111 0.000805556   0.0615183
     3.67696  0.00121389 0.000606944   0.0463508
     3.86552  0.00278565  0.00139282    0.106367
     4.05408  0.00339028  0.00169514    0.129454
     4.24264 0.000886111 0.000443056   0.0338351
      4.4312 0.000372222 0.000186111   0.0142128
     4.61976 0.000114352 5.71759e-05  0.00436638
     4.80833 4.30556e-05 2.15278e-05  0.00164402
     4.99689 4.39815e-05 2.19907e-05  0.00167938
     5.18545 4.25926e-05 2.12963e-05  0.00162635
     5.37401 1.99074e-05  9.9537e-06  0.00076014
     5.56257 2.40741e-05  1.2037e-05 0.000919239
   0.0942809 0.000345995  0.00023269   0.0102586
    0.282843   0.0165556   0.0150128    0.728239
    0.471405   0.0464602   0.0326961     1.44759
    0.659966   0.0773537   0.0536276     2.36971
    0.848528    0.102355   0.0684969     3.02015
     1.03709    0.118184   0.0770156     3.39838
     1.22565    0.138633   0.0887165     3.92181
     1.41421    0.117769   0.0778117      3.4312
     1.60278   0.0970431    0.069365     3.07908
     1.79134   0.0964759   0.0568909     2.57168
      1.9799   0.0662574   0.0385134      1.7522
     2.16846   0.0483407    0.028641     1.29216
     2.35702   0.0281806   0.0182218    0.802439
     2.54558    0.016613   0.0109247    0.481816
     2.73415   0.0126519   0.0081341    0.359373
     2.92271  0.00452176  0.00656605    0.396703
     3.11127  0.00548565  0.00355324    0.156866
     3.29983  0.00159213  0.00147145   0.0720388
     3.48839  0.00280556  0.00147222   0.0716798
     3.67696 0.000275463 0.000496451   0.0324003
     3.86552 0.000108796 0.000964815   0.0803298
     4.05408    6.25e-05  0.00115093   0.0987477
     4.24264           0  0.00029537   0.0260462
      4.4312           0 0.000124074   0.0109411
     4.61976           0 3.81173e-05  0.00336124
     4.80833           0 1.43519e-05  0.00126557
     4.99689           0 1.46605e-05  0.00129279
     5.18545           0 1.41975e-05  0.00125196
     5.37401           0  6.6358e-06 0.000585156
     5.56257           0 8.02469e-06  0.00070763
   0.0942809 0.000347661 0.000261433  0.00815008
    0.282843   0.0166083   0.0154117    0.547452
