#BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1-7.06153e-05-7.06153e-05           0
           2    -2.55276    -1.27641    0.902511
           3    -2.53318    -1.69534    0.692104
           4    -2.53879     -1.9062    0.550263
           5    -2.47581    -2.02012     0.45185
           6    -2.46416    -2.09413    0.382554
           7    -2.47201    -2.14811     0.33169
           8    -2.46419    -2.18762    0.292573
           9    -2.49143    -2.22138    0.262005
          10    -2.46078    -2.24532    0.236896
          12    -3.21158    -2.13873    0.281991
          13    -3.33071    -2.23042    0.274802
          14    -3.34838    -2.31027    0.266523
          15    -3.38964    -2.38223    0.258287
          16    -3.41942    -2.44706    0.250146
          17    -3.44563     -2.5058     0.24223
          18    -3.44268    -2.55785    0.234298
          19    -3.39946    -2.60214    0.226115
          20    -3.41077    -2.64257    0.218394
          21    -3.43544    -2.68033    0.211233
