#BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      0.0001      0.0001           0
           2     0.76038     0.38024      0.2688
           3    0.747348     0.50261    0.205172
           4    0.750949    0.564694    0.163002
           5    0.709268    0.593609    0.132941
           6    0.701471    0.611586    0.111993
           7    0.706703    0.625174    0.096815
           8    0.701545    0.634721   0.0851825
           9    0.719528    0.644144   0.0762372
          10    0.699362    0.649665   0.0688131
          12    0.445476    0.578511   0.0780192
          13     0.52449    0.574355   0.0721283
          14    0.536079    0.571621   0.0670281
          15    0.563507     0.57108   0.0625617
          16    0.583141    0.571834   0.0586562
          17    0.600277    0.573507   0.0552297
          18     0.59847    0.574894   0.0521788
          19    0.569922    0.574632   0.0494332
          20    0.577446    0.574773   0.0469617
          21    0.593622    0.575671    0.044734
