x y z
0 0 0
-2.22637 -1.94748 1.35493
-2.36139 -1.52366 2.5646
-1.44088 0.868694 1.80643
-1.44088 0.868694 1.80643
-1.44088 0.868694 1.80643
-1.44088 0.868694 1.80643
-1.44088 0.868694 1.80643
-1.44088 0.868694 1.80643
-0.751706 1.34346 -0.648242
1.7963 2.84236 -0.637281
1.7963 2.84236 -0.637281
2.84874 0.471827 -2.87362
2.84874 0.471827 -2.87362
2.84874 0.471827 -2.87362
2.84874 0.471827 -2.87362
0.688185 -2.16264 -1.61442
0.688185 -2.16264 -1.61442
0.913272 -3.44771 -1.7234
0.913272 -3.44771 -1.7234
0.913272 -3.44771 -1.7234
0.913272 -3.44771 -1.7234
0.913272 -3.44771 -1.7234
0.913272 -3.44771 -1.7234
0.913272 -3.44771 -1.7234
0.913272 -3.44771 -1.7234
-0.385056 -0.872141 0.942102
1.86829 -2.10866 2.60546
3.81663 0.0221249 4.01326
2.40319 2.12667 4.29528
2.40319 2.12667 4.29528
2.40319 2.12667 4.29528
2.40319 2.12667 4.29528
-0.213056 -0.364206 1.85805
-0.213056 -0.364206 1.85805
-0.557963 2.21193 4.31333
-0.557963 2.21193 4.31333
1.35529 3.07411 2.46918
1.35529 3.07411 2.46918
1.35529 3.07411 2.46918
1.35529 3.07411 2.46918
1.93589 1.58995 3.9932
1.91117 3.87613 3.1613
3.64392 2.58905 4.98468
3.64392 2.58905 4.98468
0.694307 3.5125 3.78323
0.694307 3.5125 3.78323
0.694307 3.5125 3.78323
2.96249 1.67968 6.55289
2.96249 1.67968 6.55289
3.65953 -0.387081 6.78124
3.89644 -1.12131 7.7423
2.02495 -4.02073 7.30556
0.306513 -6.77834 6.28108
0.381104 -6.95902 6.40089
-2.25681 -6.55354 8.78307
-3.48073 -5.99776 7.17034
-3.48073 -5.99776 7.17034
-5.66857 -5.03862 6.2585
-5.66857 -5.03862 6.2585
-5.66857 -5.03862 6.2585
-5.66857 -5.03862 6.2585
-5.66857 -5.03862 6.2585
-5.03938 -3.29212 5.01228
-6.12042 -3.33567 6.41187
-6.12042 -3.33567 6.41187
-5.74755 -5.15805 7.39861
-5.74755 -5.15805 7.39861
-6.13246 -4.20286 7.44102
-6.79161 -6.51153 4.58043
-6.79161 -6.51153 4.58043
-6.79161 -6.51153 4.58043
-5.17136 -5.56766 2.31009
-4.5771 -6.22359 2.71022
-3.13705 -5.5477 4.46795
-3.13705 -5.5477 4.46795
-3.13705 -5.5477 4.46795
-3.13705 -5.5477 4.46795
-3.70368 -6.20673 2.51842
-3.70368 -6.20673 2.51842
-1.44575 -4.8705 3.54609
0.637261 -2.40449 4.34332
0.637261 -2.40449 4.34332
0.637261 -2.40449 4.34332
2.70279 -1.56515 6.17508
2.70279 -1.56515 6.17508
0.349659 -2.87391 4.12401
2.0836 -0.370942 1.58216
2.0836 -0.370942 1.58216
2.0836 -0.370942 1.58216
2.0836 -0.370942 1.58216
0.784956 0.0912441 4.31607
0.845764 -0.548191 3.33184
0.845764 -0.548191 3.33184
3.34922 -0.160532 3.5809
3.34922 -0.160532 3.5809
3.34922 -0.160532 3.5809
1.01058 1.44746 3.27061
2.30652 0.953147 3.33024
0.658515 3.41637 1.77013
-0.25966 2.67954 4.62645
-0.25966 2.67954 4.62645
-0.25966 2.67954 4.62645
1.7393 3.05697 1.75821
2.8387 2.73211 2.77839
2.53841 0.217361 5.62314
2.53841 0.217361 5.62314
5.47402 0.107502 4.26214
5.47402 0.107502 4.26214
5.47402 0.107502 4.26214
2.97439 2.38344 3.45311
1.61155 1.00177 4.43282
2.42584 -0.498977 1.85265
2.42584 -0.498977 1.85265
2.42584 -0.498977 1.85265
3.22564 -1.1388 1.92441
3.22564 -1.1388 1.92441
3.22564 -1.1388 1.92441
1.14827 -1.69388 4.27501
1.11824 0.61243 5.38694
1.01389 -0.760233 6.14083
1.78226 -0.734341 3.579
1.78226 -0.734341 3.579
1.28307 -0.405873 1.23011
1.28307 -0.405873 1.23011
1.28307 -0.405873 1.23011
0.167544 -1.14289 2.92569
0.167544 -1.14289 2.92569
-0.349491 -1.21558 2.28945
-0.349491 -1.21558 2.28945
1.31893 -2.16534 4.88137
2.2825 -1.31598 5.50142
3.42485 0.39126 3.00052
3.89568 1.24571 1.74056
1.78947 -1.35922 -0.52052
3.64786 1.04918 -1.41417
6.20349 -0.613746 -3.07115
3.25656 -0.667926 -5.86155
6.04126 1.02821 -5.4456
3.47149 3.67459 -3.4293
0.909388 3.8224 -4.99714
0.909388 3.8224 -4.99714
1.68175 1.31917 -4.32532
1.68175 1.31917 -4.32532
1.68175 1.31917 -4.32532
4.23525 -0.928952 -1.70358
4.89231 -2.62659 -2.13983
4.89231 -2.62659 -2.13983
5.32653 -2.48592 -2.77727
5.32653 -2.48592 -2.77727
4.17635 -1.21083 -3.49637
2.56896 1.69057 -5.13303
0.660998 1.99941 -4.09621
-1.68601 1.91765 -4.51403
-1.68601 1.91765 -4.51403
-1.68601 1.91765 -4.51403
-1.68601 1.91765 -4.51403
-1.68601 1.91765 -4.51403
-0.0774968 3.46281 -4.07888
1.1557 0.5268 -4.48415
1.23677 0.479332 -2.04105
1.23677 0.479332 -2.04105
1.23677 0.479332 -2.04105
1.23677 0.479332 -2.04105
1.23677 0.479332 -2.04105
1.23677 0.479332 -2.04105
1.23677 0.479332 -2.04105
1.23677 0.479332 -2.04105
1.23677 0.479332 -2.04105
3.92749 2.7234 -1.47032
5.14748 1.9481 -3.43628
5.14748 1.9481 -3.43628
6.83477 3.4207 -5.95682
5.63651 3.73352 -4.87609
5.63651 3.73352 -4.87609
5.21639 0.906466 -5.14536
5.8867 -1.95686 -3.30242
5.8867 -1.95686 -3.30242
4.82455 -4.27414 -5.27918
4.82455 -4.27414 -5.27918
4.82455 -4.27414 -5.27918
4.82455 -4.27414 -5.27918
4.82455 -4.27414 -5.27918
2.32022 -3.01823 -4.09721
2.32022 -3.01823 -4.09721
2.32022 -3.01823 -4.09721
2.79933 -1.99738 -5.14462
0.124205 -2.33671 -2.27526
0.124205 -2.33671 -2.27526
1.44158 -0.851131 -0.893271
1.44158 -0.851131 -0.893271
1.36058 1.74656 0.591061
-0.63811 -0.82276 -2.13103
-0.63811 -0.82276 -2.13103
-0.63811 -0.82276 -2.13103
-0.63811 -0.82276 -2.13103
-0.63811 -0.82276 -2.13103
-0.63811 -0.82276 -2.13103
-0.63811 -0.82276 -2.13103
-0.63811 -0.82276 -2.13103
-0.63811 -0.82276 -2.13103
-0.63811 -0.82276 -2.13103
-0.63811 -0.82276 -2.13103
0.934719 1.74432 -1.36556
0.934719 1.74432 -1.36556
0.934719 1.74432 -1.36556
0.934719 1.74432 -1.36556
-0.0973049 0.19923 1.50759
-0.0973049 0.19923 1.50759
-0.0973049 0.19923 1.50759
-0.0973049 0.19923 1.50759
-1.10264 0.109328 3.91784
-1.10264 0.109328 3.91784
1.53563 1.3199 2.47525
1.53563 1.3199 2.47525
1.53563 1.3199 2.47525
1.53563 1.3199 2.47525
2.3449 0.913062 3.2112
2.3449 0.913062 3.2112
2.3449 0.913062 3.2112
2.3449 0.913062 3.2112
2.3449 0.913062 3.2112
0.161391 1.58104 2.26048
0.161391 1.58104 2.26048
0.161391 1.58104 2.26048
-1.80058 -0.546136 4.7241
-1.78693 1.73673 3.4381
-1.78693 1.73673 3.4381
-1.78693 1.73673 3.4381
-1.62588 2.40087 2.8624
-1.62588 2.40087 2.8624
-1.62588 2.40087 2.8624
-1.62588 2.40087 2.8624
-1.62588 2.40087 2.8624
-1.12403 0.636707 4.52007
-0.803011 2.79509 3.07706
1.26733 1.924 3.52155
0.734967 2.06873 1.6078
0.734967 2.06873 1.6078
0.734967 2.06873 1.6078
0.734967 2.06873 1.6078
0.734967 2.06873 1.6078
0.734967 2.06873 1.6078
0.734967 2.06873 1.6078
0.734967 2.06873 1.6078
0.734967 2.06873 1.6078
0.734967 2.06873 1.6078
0.734967 2.06873 1.6078
