x y z
0 0 0
0.468689 -1.50017 -1.94698
0.0200378 -4.35343 -1.35776
-1.0161 -5.82761 -1.66535
-0.679658 -7.0718 -4.8295
-0.580782 -8.92013 -7.13189
-0.580782 -8.92013 -7.13189
0.040818 -6.58611 -7.54193
0.040818 -6.58611 -7.54193
3.99887 -3.12734 -6.5805
3.99887 -3.12734 -6.5805
6.17513 -1.8146 -7.47328
6.17513 -1.8146 -7.47328
6.17513 -1.8146 -7.47328
6.17513 -1.8146 -7.47328
6.17513 -1.8146 -7.47328
6.48872 -1.67721 -7.74323
6.48872 -1.67721 -7.74323
3.9959 1.435 -7.14232
3.9959 1.435 -7.14232
3.47677 -1.83862 -3.28452
3.38302 -3.65617 -5.43623
3.38302 -3.65617 -5.43623
3.69506 1.10555 -5.80308
3.77 -0.969348 -8.31539
3.77 -0.969348 -8.31539
3.77 -0.969348 -8.31539
4.11465 0.860365 -6.29478
4.11465 0.860365 -6.29478
4.11465 0.860365 -6.29478
4.58193 0.637525 -6.16216
5.04334 -1.59847 -7.99708
7.07054 -1.73137 -7.62412
7.6268 -2.03598 -8.14591
8.80095 -2.41754 -8.12635
8.80095 -2.41754 -8.12635
8.80095 -2.41754 -8.12635
7.14434 -2.93143 -9.85674
5.02917 -3.54629 -8.73688
2.89476 -4.61327 -9.21898
2.89476 -4.61327 -9.21898
2.89476 -4.61327 -9.21898
2.89476 -4.61327 -9.21898
-0.354745 -4.7555 -9.46089
2.09038 -1.93233 -9.31657
0.61432 -1.33209 -10.735
2.83866 -2.73503 -9.47001
4.04846 -0.884983 -11.4225
4.53548 2.01875 -10.4122
4.52025 -1.42612 -10.5667
4.52025 -1.42612 -10.5667
5.86646 -0.0254445 -9.87217
7.03773 -0.538225 -7.44104
5.27367 -1.15302 -6.22737
5.27367 -1.15302 -6.22737
5.27367 -1.15302 -6.22737
2.18082 -1.31568 -8.19469
2.18082 -1.31568 -8.19469
2.51579 1.45782 -7.76064
-0.590287 -1.88296 -7.95155
-1.55025 -3.55196 -7.21238
-1.55025 -3.55196 -7.21238
-0.959325 -3.0456 -9.21807
-1.52818 -2.47528 -9.14177
-1.52818 -2.47528 -9.14177
-3.7445 -1.86478 -7.6803
-3.7445 -1.86478 -7.6803
-5.60833 -1.002 -8.10452
-4.05113 -5.23606 -9.6127
-4.05113 -5.23606 -9.6127
-4.05113 -5.23606 -9.6127
-4.05113 -5.23606 -9.6127
-3.68415 -5.74105 -9.18388
-3.68415 -5.74105 -9.18388
-2.40697 -4.23515 -8.65766
-2.40697 -4.23515 -8.65766
-2.40697 -4.23515 -8.65766
-1.42183 -5.15392 -5.73198
-0.622736 -4.8972 -4.54692
-1.01008 -3.71179 -2.14876
1.51261 -3.13306 -1.91991
1.51261 -3.13306 -1.91991
-0.473806 -2.3385 -2.19925
-0.191389 0.899709 2.36489
-1.36477 0.0267005 2.64308
-1.36477 0.0267005 2.64308
-1.36477 0.0267005 2.64308
-2.0126 -1.09432 2.23769
-2.0126 -1.09432 2.23769
-2.0126 -1.09432 2.23769
-2.0126 -1.09432 2.23769
-2.0126 -1.09432 2.23769
-0.115858 -0.166937 2.99629
-0.115858 -0.166937 2.99629
-0.115858 -0.166937 2.99629
-0.115858 -0.166937 2.99629
-0.115858 -0.166937 2.99629
-0.115858 -0.166937 2.99629
-0.115858 -0.166937 2.99629
-0.115858 -0.166937 2.99629
-0.115858 -0.166937 2.99629
-0.115858 -0.166937 2.99629
-0.878913 0.29396 4.38242
-0.756698 3.35808 4.22476
-0.0380721 2.06536 4.47719
-0.0380721 2.06536 4.47719
-0.0380721 2.06536 4.47719
0.0254015 1.51636 1.8121
1.24052 0.86852 1.49843
-0.561945 -1.05642 3.53882
0.141975 -0.382815 1.14465
-0.296545 1.56319 -1.77762
-0.296545 1.56319 -1.77762
0.226259 0.514974 -2.61349
-0.406183 -0.15377 -3.84801
0.338118 -2.95574 -2.43557
-2.56387 -2.45598 -5.48274
0.34165 -4.53723 -3.59972
-0.187368 -5.51533 -5.06728
-0.187368 -5.51533 -5.06728
0.323575 -3.002 -4.30637
-1.36782 0.786337 -4.07204
1.96858 0.683848 -3.51817
1.96858 0.683848 -3.51817
0.069031 -1.75256 -4.94736
0.069031 -1.75256 -4.94736
-0.760984 -0.77474 -3.52747
-3.86981 -1.53402 -4.98113
-3.86981 -1.53402 -4.98113
-3.13357 -4.93197 -3.27961
-2.86497 -3.85809 -2.22833
-2.86497 -3.85809 -2.22833
-2.86497 -3.85809 -2.22833
-0.817231 -4.65543 -6.98562
-0.817231 -4.65543 -6.98562
-0.817231 -4.65543 -6.98562
0.226344 -3.84616 -4.29587
0.226344 -3.84616 -4.29587
0.226344 -3.84616 -4.29587
0.226344 -3.84616 -4.29587
0.226344 -3.84616 -4.29587
0.226344 -3.84616 -4.29587
-1.34824 -3.96421 1.79739
-0.18194 -3.96546 3.87286
-0.18194 -3.96546 3.87286
1.08693 -2.39857 4.56852
1.08693 -2.39857 4.56852
1.08693 -2.39857 4.56852
1.87242 -0.605894 4.47013
1.07355 2.81418 4.99456
1.07355 2.81418 4.99456
1.07355 2.81418 4.99456
1.07355 2.81418 4.99456
1.81652 3.41625 4.97851
2.43318 3.91389 2.52138
0.424205 1.85296 3.21667
0.424205 1.85296 3.21667
0.424205 1.85296 3.21667
-0.290209 2.14682 4.73772
-1.3225 2.81481 1.64548
-1.3225 2.81481 1.64548
-1.3225 2.81481 1.64548
0.309193 1.36803 1.55355
0.309193 1.36803 1.55355
0.309193 1.36803 1.55355
0.309193 1.36803 1.55355
0.309193 1.36803 1.55355
0.309193 1.36803 1.55355
0.309193 1.36803 1.55355
3.33651 1.12853 4.80626
