x y z
100 100 100
100.469 98.4998 98.053
100.02 95.6466 98.6422
98.9839 94.1724 98.3346
99.3203 92.9282 95.1705
99.4192 91.0799 92.8681
100.437 87.8978 92.7032
100.437 87.8978 92.7032
100.437 87.8978 92.7032
100.437 87.8978 92.7032
101.359 87.6246 91.2988
101.359 87.6246 91.2988
101.359 87.6246 91.2988
101.359 87.6246 91.2988
99.7516 87.8842 89.2357
99.7516 87.8842 89.2357
100.065 88.0216 88.9657
100.065 88.0216 88.9657
97.5723 91.1338 89.5666
97.5723 91.1338 89.5666
97.0532 87.8601 93.4244
96.9594 86.0426 91.2727
96.9594 86.0426 91.2727
96.9594 86.0426 91.2727
97.0344 83.9677 88.7604
96.3633 80.7949 86.3988
99.1032 79.9971 84.4195
99.1032 79.9971 84.4195
99.1032 79.9971 84.4195
100.657 79.4236 82.739
101.124 79.2007 82.8716
101.586 76.9648 81.0367
103.613 76.8318 81.4097
104.169 76.5272 80.8879
105.343 76.1457 80.9074
105.343 76.1457 80.9074
106.259 72.7552 80.0901
104.602 72.2413 78.3598
102.487 71.6264 79.4796
100.353 70.5595 78.9975
101.26 70.8136 77.6304
102.881 68.431 75.8726
101.858 66.7141 75.8363
98.608 66.5719 75.5944
98.608 66.5719 75.5944
97.132 67.1721 74.176
97.132 67.1721 74.176
98.3418 69.0222 72.2235
98.3418 69.0222 72.2235
98.3265 65.5773 72.069
98.3265 65.5773 72.069
98.3265 65.5773 72.069
98.3265 65.5773 72.069
96.5625 64.9625 73.2827
98.5804 62.5944 72.617
98.5804 62.5944 72.617
95.4876 62.4317 70.6496
95.4876 62.4317 70.6496
95.8225 65.2052 71.0837
92.7165 61.8645 70.8928
91.7565 60.1955 71.632
94.2791 55.2122 65.0865
94.87 55.7186 63.0809
94.3011 56.2889 63.1572
93.5493 53.6805 64.4745
91.333 54.291 65.936
89.9242 52.4026 67.5442
88.0604 53.2653 67.12
89.6176 49.0313 65.6118
89.3805 46.9005 62.9327
89.8794 44.873 60.2789
88.9987 44.1721 58.6869
89.3657 43.6671 59.1157
90.1815 40.8235 57.1624
90.1815 40.8235 57.1624
90.4874 39.0907 54.6487
93.4646 36.1605 54.0281
93.4646 36.1605 54.0281
93.4646 36.1605 54.0281
93.0773 37.3459 56.4262
93.0773 37.3459 56.4262
91.5718 36.3017 58.8109
89.5854 37.0963 58.5315
89.5854 37.0963 58.5315
88.412 36.2232 58.8097
85.9591 35.8423 56.5455
84.8085 33.6689 56.9335
84.1607 32.5478 56.5281
82.1817 33.8611 59.5227
83.0072 31.3592 59.4466
82.1875 31.1076 60.1094
80.4643 34.0928 58.4233
80.4643 34.0928 58.4233
78.0726 35.5022 59.6982
75.3352 33.7502 57.5186
75.3352 33.7502 57.5186
75.3352 33.7502 57.5186
75.3352 33.7502 57.5186
75.3352 33.7502 57.5186
76.0016 32.2431 57.4255
76.7969 29.8375 57.0515
76.7969 29.8375 57.0515
76.0338 30.2984 58.4377
76.156 33.3625 58.28
76.8747 32.0698 58.5324
76.8747 32.0698 58.5324
72.4426 33.5859 55.5101
72.5061 33.0369 52.845
73.7212 32.3891 52.5313
71.9187 30.4641 54.5717
72.6226 31.1377 52.1775
72.1841 33.0837 49.2552
66.2857 36.0484 47.1458
66.8085 35.0002 46.3099
66.1761 34.3315 45.0754
66.9204 31.5295 46.4878
64.0184 32.0293 43.4407
64.0184 32.0293 43.4407
63.4893 31.0512 41.9731
63.4893 31.0512 41.9731
63.4893 31.0512 41.9731
63.4893 31.0512 41.9731
63.4893 31.0512 41.9731
61.8052 26.7597 41.4998
59.9057 24.3233 40.0706
59.9057 24.3233 40.0706
59.0757 25.3011 41.4905
55.9668 24.5418 40.0369
55.9668 24.5418 40.0369
56.7031 21.1439 41.7384
56.7031 21.1439 41.7384
55.8327 19.3759 42.1467
55.8327 19.3759 42.1467
57.8804 18.5785 37.3895
54.5674 18.8246 33.9685
54.9329 16.6016 32.2639
54.9329 16.6016 32.2639
54.96 13.5985 35.2525
56.5936 12.7839 31.979
56.5936 12.7839 31.979
58.0072 10.8648 28.192
57.8049 9.46385 26.6694
56.2304 9.3458 32.7627
56.2304 9.3458 32.7627
53.3166 7.40048 33.246
54.5854 8.96736 33.9416
55.2713 8.0026 34.157
55.2713 8.0026 34.157
56.0568 9.79528 34.0587
55.2579 13.2154 34.5831
55.2579 13.2154 34.5831
54.3277 9.83685 36.3633
54.3277 9.83685 36.3633
55.0707 10.4389 36.3472
55.6873 10.9366 33.8901
53.6784 8.87563 34.5854
51.844 7.18634 38.3544
51.844 7.18634 38.3544
51.1296 7.4802 39.8754
50.0973 8.14819 36.7832
50.0973 8.14819 36.7832
50.2907 6.998 35.6333
50.2907 6.998 35.6333
50.2907 6.998 35.6333
48.6591 4.90167 33.9269
46.3768 7.98906 29.803
45.4725 12.6253 27.8346
43.4689 15.4329 27.3155
43.4689 15.4329 27.3155
43.4689 15.4329 27.3155
43.4689 15.4329 27.3155
45.412 12.1606 24.3415
45.412 12.1606 24.3415
41.3604 9.45453 23.8804
40.2 9.43167 23.2012
40.0093 7.93915 22.7318
40.3102 11.3258 19.4487
40.3161 14.9728 16.5336
40.3161 14.9728 16.5336
40.3161 14.9728 16.5336
38.0498 16.6504 14.2571
39.9177 14.7322 17.5647
39.9177 14.7322 17.5647
37.2366 11.2066 16.1171
37.2366 11.2066 16.1171
37.6995 10.8066 17.3956
37.6995 10.8066 17.3956
38.9042 10.4997 19.5303
38.6139 10.9657 20.1779
36.4223 10.8045 21.6888
33.173 6.3785 23.0077
33.173 6.3785 23.0077
29.9505 7.64116 21.0227
27.1732 9.14517 21.7083
24.8221 7.94511 20.1459
23.8999 6.84046 24.2942
23.8999 6.84046 24.2942
24.357 3.9017 26.5563
21.545 2.71935 27.4784
19.6645 4.96127 26.4676
19.6645 4.96127 26.4676
16.672 3.46267 28.3239
17.5779 0.908958 28.5787
14.3322 1.79994 28.2713
14.3322 1.79994 28.2713
15.5413 2.01834 25.3349
16.808 0.197557 23.4416
15.3333 -2.13981 22.9925
15.3333 -2.13981 22.9925
15.5405 -4.61547 22.9765
16.3039 -1.96769 23.9863
14.7583 -1.944 22.1927
14.7583 -1.944 22.1927
14.7583 -1.944 22.1927
13.1538 0.443933 19.4015
11.6253 0.00904721 18.2875
11.6253 0.00904721 18.2875
11.6253 0.00904721 18.2875
12.0909 -3.41304 17.0783
10.6596 -2.57566 18.0715
7.14464 -4.74176 19.2106
8.40904 -2.93874 16.8756
5.58541 -4.03681 18.6641
5.58541 -4.03681 18.6641
6.24834 -0.755969 17.0541
6.24834 -0.755969 17.0541
5.76213 -2.10138 17.268
5.76213 -2.10138 17.268
5.76213 -2.10138 17.268
5.44654 0.574007 17.912
3.47634 -0.580654 15.5084
0.786909 -0.973638 14.32
2.60754 -0.900184 15.2075
2.14298 -2.11369 14.9728
2.14298 -2.11369 14.9728
-0.755722 0.548146 12.6989
-3.43127 -1.61705 12.6425
-3.58272 -1.04101 12.4461
-4.47014 -0.744616 12.6786
-5.1102 2.97979 8.51482
-5.15587 3.81546 4.05659
-3.32426 3.19005 0.996045
-4.17205 2.79143 0.771435
-1.73396 3.27371 1.53048
-1.73396 3.27371 1.53048
-1.90262 2.6029 2.60353
0.0798713 1.52318 3.46056
-0.952946 0.965603 3.5798
-0.952946 0.965603 3.5798
-0.952946 0.965603 3.5798
-1.4276 -1.53381 5.85576
-1.4276 -1.53381 5.85576
0.562046 -2.26897 5.19176
0.43318 -6.58622 5.32914
1.67317 -7.8289 7.66732
0.886453 -6.01134 5.53216
-1.90189 -4.65149 5.04657
-0.903261 -3.97849 5.18357
0.243094 -5.6098 5.07994
0.243094 -5.6098 5.07994
0.243094 -5.6098 5.07994
0.243094 -5.6098 5.07994
0.243094 -5.6098 5.07994
0.243094 -5.6098 5.07994
1.36278 -4.05398 3.87067
1.36278 -4.05398 3.87067
1.36278 -4.05398 3.87067
2.91122 -1.51286 5.64282
2.91122 -1.51286 5.64282
-0.920955 -3.79889 3.95097
-0.920955 -3.79889 3.95097
-2.44869 -4.63563 1.99488
-2.44869 -4.63563 1.99488
-2.07561 -1.72218 3.01704
-2.07561 -1.72218 3.01704
-2.07561 -1.72218 3.01704
-2.07561 -1.72218 3.01704
-0.17276 -1.68671 1.64101
-0.17276 -1.68671 1.64101
0.603788 -3.73234 -4.40463
0.603788 -3.73234 -4.40463
0.603788 -3.73234 -4.40463
1.0643 -1.69131 -4.1264
1.0643 -1.69131 -4.1264
-1.46047 -1.56234 -4.80329
-1.46047 -1.56234 -4.80329
-0.842396 -0.943026 -5.59458
-0.842396 -0.943026 -5.59458
-1.01085 0.144264 -4.08869
-1.01085 0.144264 -4.08869
-1.01085 0.144264 -4.08869
-1.01085 0.144264 -4.08869
-1.15844 0.954727 -4.3289
-1.15844 0.954727 -4.3289
-1.15844 0.954727 -4.3289
0.694499 0.942319 -1.43363
0.694499 0.942319 -1.43363
1.08795 1.94688 -3.85143
1.08795 1.94688 -3.85143
-0.15528 3.05193 -4.30088
-0.15528 3.05193 -4.30088
-0.15528 3.05193 -4.30088
0.141612 2.72514 -4.87222
2.07349 0.634754 -4.3622
2.111 -1.56763 -3.42705
-0.643267 -2.23907 -2.9616
2.0438 -1.19861 0.520749
3.35275 0.235894 2.22423
1.98032 2.72687 -1.61079
1.98032 2.72687 -1.61079
1.98032 2.72687 -1.61079
0.352345 2.25394 -2.00282
0.352345 2.25394 -2.00282
0.352345 2.25394 -2.00282
-2.36326 2.89075 -4.11634
-2.36326 2.89075 -4.11634
-3.26659 1.46434 -4.68351
-3.42266 0.267296 -2.38033
-3.42266 0.267296 -2.38033
-3.42266 0.267296 -2.38033
-3.42266 0.267296 -2.38033
-3.44722 0.190451 -5.98745
-3.51643 -0.428057 -7.59115
-3.51643 -0.428057 -7.59115
-3.51643 -0.428057 -7.59115
-2.66134 -1.53486 -6.44367
-2.93452 -0.368832 -5.48871
-1.8174 -1.82792 -5.08071
-0.044874 -0.644756 -6.52301
-0.044874 -0.644756 -6.52301
-0.376544 -1.98385 -4.79607
-0.376544 -1.98385 -4.79607
-1.94913 -0.329097 -2.15913
-1.94913 -0.329097 -2.15913
-1.94913 -0.329097 -2.15913
-2.87748 1.16746 -1.47723
0.0668636 3.45088 -2.12405
0.0668636 3.45088 -2.12405
0.0668636 3.45088 -2.12405
-2.2237 1.09362 -3.22451
-2.2237 1.09362 -3.22451
-2.2237 1.09362 -3.22451
-2.2237 1.09362 -3.22451
1.92959 0.815248 -5.31573
1.92959 0.815248 -5.31573
1.92959 0.815248 -5.31573
0.645204 1.19515 -4.05937
0.645204 1.19515 -4.05937
0.645204 1.19515 -4.05937
0.645204 1.19515 -4.05937
0.645204 1.19515 -4.05937
0.645204 1.19515 -4.05937
0.645204 1.19515 -4.05937
0.645204 1.19515 -4.05937
0.645204 1.19515 -4.05937
0.645204 1.19515 -4.05937
-1.2011 5.14952 -4.27688
-1.2011 5.14952 -4.27688
-1.2011 5.14952 -4.27688
-4.02885 3.72316 -5.48438
-2.98369 1.09244 -7.00588
-4.01192 0.59563 -5.8768
-1.40288 -1.21952 -7.20935
0.64962 -1.15873 -6.22265
0.3383 -0.194763 -4.96102
0.771033 -1.69162 -3.63833
0.771033 -1.69162 -3.63833
-0.218104 -3.33227 -1.56029
-0.218104 -3.33227 -1.56029
-2.77983 -3.59319 -5.99465
-2.77983 -3.59319 -5.99465
-2.07211 -2.53468 -8.44595
-5.83746 -2.66996 -8.24656
-6.47029 -2.28065 -7.41662
-6.47029 -2.28065 -7.41662
-5.05127 1.04894 -6.51908
-5.05127 1.04894 -6.51908
-4.04015 0.597731 -6.7187
-0.112112 0.577124 -5.12519
-2.58513 -0.897082 -5.25902
-2.58513 -0.897082 -5.25902
-2.58513 -0.897082 -5.25902
-2.58513 -0.897082 -5.25902
-3.24337 2.43015 -7.12411
-3.24337 2.43015 -7.12411
-3.80776 1.98333 -4.95021
-3.21629 -1.37085 -5.95659
-3.21629 -1.37085 -5.95659
-3.21629 -1.37085 -5.95659
-4.36574 -0.721409 -6.59182
-0.460058 -0.689178 -8.28725
-0.460058 -0.689178 -8.28725
-0.797903 -0.903778 -8.4131
-0.729064 -0.330732 -6.93965
-0.653199 1.61231 -4.20543
0.715083 1.23665 -1.77578
0.715083 1.23665 -1.77578
0.715083 1.23665 -1.77578
0.715083 1.23665 -1.77578
-1.7134 -0.172113 -1.16679
-1.29612 -2.91681 -3.22063
1.1203 -5.93681 -5.55891
1.52481 -5.3387 -2.61332
4.53953 -3.18837 -2.69421
3.31613 -3.55093 -1.65881
3.31613 -3.55093 -1.65881
1.03235 -1.50239 -1.29105
1.03235 -1.50239 -1.29105
1.90272 -1.42813 -2.08867
0.636041 0.457202 -2.98634
0.885056 -0.316407 -3.46036
0.885056 -0.316407 -3.46036
0.885056 -0.316407 -3.46036
-1.13688 -0.845381 -4.36372
1.0274 -0.296341 -5.88503
-1.18096 0.960665 -5.78032
-1.18096 0.960665 -5.78032
-1.30276 0.88209 -5.38909
-2.53374 -1.50715 -4.81529
-2.53374 -1.50715 -4.81529
-2.33881 -0.530119 -3.42875
-2.33881 -0.530119 -3.42875
-2.37849 -1.40858 -4.54725
-2.37849 -1.40858 -4.54725
-2.37849 -1.40858 -4.54725
-3.92084 -3.32018 -2.72135
-3.92084 -3.32018 -2.72135
-2.70534 1.14387 -7.4019
-2.9185 3.5788 -7.21582
0.596237 3.24566 -4.22373
0.596237 3.24566 -4.22373
2.20448 3.70223 -3.2411
2.20448 3.70223 -3.2411
2.20448 3.70223 -3.2411
4.04901 4.06206 -5.96303
4.04901 4.06206 -5.96303
2.13502 5.04748 -8.59255
0.972951 5.53089 -7.99463
4.70071 2.34895 -8.32304
4.70071 2.34895 -8.32304
2.15094 1.50277 -12.0599
2.73189 3.33324 -10.8735
0.984148 3.60103 -10.1506
2.08108 4.31215 -7.78625
0.610695 4.87658 -6.26497
3.3096 2.75864 -5.47899
3.3096 2.75864 -5.47899
3.3096 2.75864 -5.47899
3.3096 2.75864 -5.47899
3.3096 2.75864 -5.47899
5.47095 2.06824 -6.0169
5.47095 2.06824 -6.0169
5.01813 1.02417 -6.32482
6.14462 4.46896 -7.92989
3.10623 2.00747 -8.55836
3.10623 2.00747 -8.55836
4.64848 -1.08092 -10.6519
4.8916 -3.51881 -7.06749
4.8916 -3.51881 -7.06749
4.5574 -4.62405 -7.64391
4.5574 -4.62405 -7.64391
4.5574 -4.62405 -7.64391
0.764616 -4.55005 -7.66161
2.58489 -3.25535 -5.64415
2.58489 -3.25535 -5.64415
-0.761022 0.554988 -7.0538
-0.761022 0.554988 -7.0538
-0.761022 0.554988 -7.0538
1.90664 1.52256 -7.296
2.14679 0.98578 -8.57382
2.14679 0.98578 -8.57382
2.14679 0.98578 -8.57382
3.96141 3.02786 -10.2466
3.96141 3.02786 -10.2466
2.92395 1.52962 -10.7846
5.21643 4.29264 -9.43547
5.21643 4.29264 -9.43547
7.03135 5.4759 -8.72568
8.71579 3.75257 -5.07392
8.71579 3.75257 -5.07392
9.26503 3.60004 -3.67924
6.43665 6.18573 -7.41206
6.43665 6.18573 -7.41206
5.34462 7.57399 -5.34319
5.3943 5.92078 -3.74208
5.3943 5.92078 -3.74208
5.3943 5.92078 -3.74208
5.3943 5.92078 -3.74208
5.3943 5.92078 -3.74208
5.24039 5.98596 -3.74632
5.54124 5.68948 -4.18529
5.50055 3.52288 -5.90858
4.54636 4.24386 -5.30246
1.56573 5.976 -3.14939
0.951528 3.43728 -2.35221
0.951528 3.43728 -2.35221
0.951528 3.43728 -2.35221
-0.281711 1.94116 1.46458
-0.0716495 1.35407 -0.717546
-0.424848 -0.670185 -0.65467
-0.424848 -0.670185 -0.65467
-0.424848 -0.670185 -0.65467
0.872075 1.0332 -3.10573
0.872075 1.0332 -3.10573
-1.64757 -0.0363504 -3.24624
-0.578278 2.61541 -3.69231
-0.286494 -0.984104 -3.06263
0.194839 0.508371 -1.72655
0.249315 -0.313244 -2.44715
0.249315 -0.313244 -2.44715
-0.318058 3.33127 -4.39569
-1.68239 0.415857 -6.35705
-1.68239 0.415857 -6.35705
-2.55501 0.831206 -3.76925
-1.05618 -1.60681 -2.75494
-0.308642 1.60651 -3.14458
-0.308642 1.60651 -3.14458
-0.133576 0.19633 -3.73616
0.961411 -0.930143 -1.32401
0.961411 -0.930143 -1.32401
0.961411 -0.930143 -1.32401
0.961411 -0.930143 -1.32401
-0.700639 -0.117873 -3.118
-0.700639 -0.117873 -3.118
-0.700639 -0.117873 -3.118
-0.219425 0.219698 -2.14959
-2.14279 2.62903 -4.03371
-2.14279 2.62903 -4.03371
-2.44134 1.4018 -2.38858
0.0287263 2.08292 -1.39522
0.0287263 2.08292 -1.39522
0.0287263 2.08292 -1.39522
2.09809 1.60862 -3.07527
1.87442 2.46102 -5.02123
1.87442 2.46102 -5.02123
1.87442 2.46102 -5.02123
1.87442 2.46102 -5.02123
0.574577 -0.19535 -3.24275
0.574577 -0.19535 -3.24275
0.574577 -0.19535 -3.24275
-0.332198 0.0751569 -2.33789
-0.332198 0.0751569 -2.33789
-0.332198 0.0751569 -2.33789
-0.191403 -1.02365 -3.13773
-1.37217 0.347794 -3.88199
-1.37217 0.347794 -3.88199
3.41976 2.69598 -0.341864
3.41976 2.69598 -0.341864
1.48008 0.140831 -0.498295
-0.379971 -0.129837 2.54227
-0.379971 -0.129837 2.54227
-0.379971 -0.129837 2.54227
-0.379971 -0.129837 2.54227
-0.253829 0.202731 4.64898
-0.253829 0.202731 4.64898
