x y z
100 100 100
97.7736 98.0525 101.355
97.6386 98.4763 102.565
97.6386 98.4763 102.565
99.2673 95.6511 100.608
97.9648 95.9216 97.7598
95.3962 97.4241 96.1854
95.3962 97.4241 96.1854
93.9677 95.8858 96.019
94.6569 96.3605 93.5644
97.2049 97.8594 93.5753
98.3023 97.0886 94.4718
99.3548 94.7181 92.2355
99.8107 96.7241 89.5968
99.8107 96.7241 89.5968
102.282 99.3193 91.4452
100.121 96.6849 92.7044
102.986 96.0891 91.3636
103.211 94.804 91.2546
101.528 91.9594 88.9787
100.106 89.8382 91.3521
100.106 89.8382 91.3521
98.343 87.8269 92.3842
97.7525 86.8054 95.2543
97.3802 84.0247 97.2943
97.3802 84.0247 97.2943
97.3802 84.0247 97.2943
99.6335 82.7881 98.9577
99.6335 82.7881 98.9577
98.2201 84.8927 99.2397
98.2201 84.8927 99.2397
97.2857 86.427 96.5222
97.2857 86.427 96.5222
94.6695 83.9361 94.085
96.3985 81.6285 93.1784
96.0536 84.2047 95.6337
93.5633 82.845 98.0077
95.4766 83.7072 96.1635
92.8811 81.535 93.29
92.8811 81.535 93.29
92.8811 81.535 93.29
93.4617 80.0509 94.814
93.437 82.337 93.9821
93.437 82.337 93.9821
93.437 82.337 93.9821
90.4874 83.2605 92.7807
91.2207 84.0335 90.4821
91.2207 84.0335 90.4821
91.2207 84.0335 90.4821
91.2207 84.0335 90.4821
91.9177 81.9667 90.7105
92.1546 81.2325 91.6715
90.2831 78.3331 91.2348
88.5647 75.5755 90.2103
88.6393 75.3948 90.3301
86.0014 75.8003 92.7123
84.7775 76.356 91.0996
82.2739 74.1016 88.2487
80.0861 75.0607 87.3369
77.5097 72.2437 87.6628
78.9932 69.3098 87.0161
78.7826 67.5576 88.9048
78.7826 67.5576 88.9048
78.7826 67.5576 88.9048
77.7016 67.5141 90.3044
76.7552 67.4944 91.8512
77.1281 65.672 92.8379
74.9365 66.834 92.7792
74.5516 67.7892 92.8216
73.8924 65.4805 89.961
72.2836 65.1591 89.166
71.7392 62.7586 91.7449
73.3595 63.7025 89.4746
73.9537 63.0465 89.8747
73.9537 63.0465 89.8747
71.0622 62.0966 90.0791
71.0622 62.0966 90.0791
71.0622 62.0966 90.0791
70.4955 61.4376 88.1296
72.7084 60.3144 86.0246
72.7084 60.3144 86.0246
72.7084 60.3144 86.0246
72.1664 57.6605 88.2426
70.0392 54.9154 85.5448
70.0392 54.9154 85.5448
68.6582 53.4499 87.9474
66.3051 52.1412 85.8963
66.3051 52.1412 85.8963
66.3051 52.1412 85.8963
65.8953 54.3373 83.843
65.8953 54.3373 83.843
65.8953 54.3373 83.843
65.9561 53.6979 82.8587
65.9561 53.6979 82.8587
68.4595 54.0855 83.1078
68.4595 54.0855 83.1078
68.4595 54.0855 83.1078
66.1209 55.6935 82.7975
67.4168 55.1992 82.8571
65.7688 57.6625 81.297
65.7688 57.6625 81.297
64.2371 59.3368 83.6983
62.4175 56.9541 86.4323
64.4164 57.3315 83.564
64.4164 57.3315 83.564
64.1161 54.8168 86.4088
64.1161 54.8168 86.4088
67.0518 54.7069 85.0478
69.1655 52.2373 82.9125
69.5068 50.0976 80.4519
67.0072 52.3735 79.6429
65.6443 50.9919 80.6226
66.4586 49.4911 78.0424
66.4207 49.483 76.1257
68.8269 47.67 74.8426
69.6267 47.0301 74.9143
69.6267 47.0301 74.9143
68.4101 45.0146 72.6563
66.3328 44.4595 75.0069
66.3027 46.7658 76.1188
66.1984 45.3931 76.8727
66.9668 45.419 74.3109
66.9668 45.419 74.3109
66.4676 45.7475 71.962
64.4851 46.5989 70.8646
65.6425 49.1187 69.3103
64.527 48.3817 71.0059
63.012 46.3313 72.2023
62.495 46.2586 71.566
62.495 46.2586 71.566
62.495 46.2586 71.566
62.495 46.2586 71.566
63.6373 47.9659 69.0651
64.1082 48.8203 67.8051
62.002 46.2154 65.5441
63.8604 48.6238 64.6504
66.416 46.9609 62.9934
63.4691 46.9067 60.203
66.2538 48.6028 60.619
63.684 51.2492 62.6353
61.1219 51.397 61.0675
59.9537 51.739 60.2355
60.7261 49.2358 60.9073
60.935 46.7922 58.1083
62.2834 47.5734 55.7703
64.8369 45.3253 58.392
65.4939 43.6276 57.9558
65.4907 41.4184 59.6999
65.9249 41.5591 59.0624
65.9249 41.5591 59.0624
64.7747 42.8342 58.3433
63.1674 45.7356 56.7067
61.2594 46.0444 57.7435
58.9124 45.9627 57.3256
61.3928 47.385 54.6462
61.3928 47.385 54.6462
58.5494 46.1085 53.5006
59.5501 44.0614 52.2432
59.5501 44.0614 52.2432
60.7833 41.1254 51.838
60.8644 41.078 54.2811
58.2521 40.3229 56.1568
