#Block r_avg r_err
1 1.5649 0
2 1.74729 0.182392
3 1.68167 0.124078
4 1.6524 0.092488
5 1.65433 0.0716667
6 1.62265 0.0665403
7 1.62516 0.0562927
8 1.62151 0.0488875
9 1.60457 0.0463207
10 1.59488 0.0425486
11 1.58531 0.0396601
12 1.58282 0.0362901
13 1.5743 0.0344517
14 1.56018 0.0348802
15 1.54839 0.0345459
16 1.53578 0.0346883
17 1.54437 0.033698
18 1.54188 0.0318685
19 1.54557 0.0303695
20 1.53376 0.0311371
21 1.53616 0.0297146
22 1.55017 0.0316039
23 1.5553 0.0306321
24 1.54699 0.0304841
25 1.54753 0.0292444
26 1.5437 0.0283569
27 1.5439 0.0272872
28 1.54311 0.0263065
29 1.53711 0.0260823
30 1.53814 0.0252186
31 1.53588 0.0244961
32 1.53535 0.0237242
33 1.5332 0.0230936
34 1.52814 0.0229688
35 1.52558 0.0224498
36 1.52373 0.0218954
37 1.52099 0.0214712
38 1.52183 0.0209153
39 1.52051 0.0204144
40 1.51475 0.0207146
41 1.51684 0.0203103
42 1.51798 0.019854
43 1.51249 0.0201492
44 1.52044 0.0212295
45 1.52383 0.0210275
46 1.52901 0.0212076
47 1.52805 0.0207739
48 1.53231 0.0207778
49 1.52797 0.0208067
50 1.52912 0.0204187
51 1.52801 0.020045
52 1.52543 0.0198247
53 1.52407 0.0194943
54 1.52436 0.0191321
55 1.52372 0.0187921
56 1.5241 0.0184574
57 1.52679 0.0183293
58 1.5262 0.0180201
59 1.52876 0.0178961
60 1.5305 0.0176806
61 1.52799 0.0175687
62 1.5285 0.0172905
63 1.52635 0.0171485
64 1.52541 0.0169044
65 1.52333 0.0167727
66 1.52334 0.0165166
67 1.52407 0.0162847
68 1.52316 0.0160692
69 1.52179 0.0158943
70 1.51915 0.0158862
71 1.5189 0.0156627
72 1.51778 0.0154848
73 1.51498 0.0155256
74 1.51662 0.0154025
75 1.52243 0.0162671
76 1.52211 0.0160548
77 1.52169 0.0158503
78 1.52518 0.0160293
79 1.52282 0.0159994
80 1.52387 0.0158331
81 1.52111 0.0158781
82 1.51983 0.0157357
83 1.5213 0.015614
84 1.5203 0.0154592
85 1.52036 0.0152764
86 1.51932 0.0151335
87 1.52012 0.0149796
88 1.51955 0.0148195
89 1.51848 0.0146909
90 1.51906 0.0145385
91 1.51678 0.0145585
92 1.51783 0.0144375
93 1.51714 0.0142981
94 1.5179 0.0141659
95 1.51593 0.0141546
96 1.51666 0.0140256
97 1.51488 0.0139939
98 1.51261 0.0140361
99 1.51188 0.0139127
100 1.51349 0.013867
