#Block r_avg r_err
1 1.72389 0
2 1.57116 0.152734
3 1.55331 0.0899696
4 1.53943 0.0651154
5 1.51872 0.0545232
6 1.52916 0.0457261
7 1.4952 0.05145
8 1.48271 0.0462736
9 1.48987 0.0414325
10 1.48854 0.0370823
11 1.48353 0.0339143
12 1.47543 0.0319995
13 1.46725 0.0305527
14 1.47147 0.0285997
15 1.47485 0.0268384
16 1.48751 0.0281196
17 1.48313 0.0267754
18 1.487 0.02554
19 1.48035 0.0250588
20 1.47914 0.0238035
21 1.48912 0.0247426
22 1.49192 0.0237571
23 1.4925 0.022708
24 1.49187 0.0217503
25 1.48629 0.0215951
26 1.48571 0.0207562
27 1.48707 0.0200194
28 1.48624 0.019309
29 1.4868 0.0186397
30 1.49151 0.018614
31 1.49009 0.0180595
32 1.49028 0.017487
33 1.49076 0.0169556
34 1.49077 0.0164493
35 1.49164 0.015996
36 1.48917 0.0157414
37 1.48643 0.0155533
38 1.48253 0.015631
39 1.48578 0.0155666
40 1.48701 0.0152227
41 1.48851 0.0149224
42 1.49613 0.0164331
43 1.49487 0.0160957
44 1.49258 0.015891
45 1.49676 0.0160862
46 1.49689 0.0157332
47 1.49671 0.0153958
48 1.49852 0.0151796
49 1.50447 0.0160139
50 1.50447 0.0156904
51 1.50233 0.015528
52 1.50371 0.0152884
53 1.50264 0.0150347
54 1.50527 0.0149861
55 1.50369 0.0147964
56 1.5019 0.0146392
57 1.50042 0.0144557
58 1.49792 0.0144225
59 1.49871 0.0141978
60 1.49915 0.013966
61 1.49717 0.0138765
62 1.49927 0.0138115
63 1.49936 0.0135907
64 1.49602 0.0137869
65 1.4946 0.0136471
66 1.49471 0.0134392
67 1.49257 0.0134082
68 1.49198 0.0132226
69 1.49271 0.0130496
70 1.49116 0.0129541
71 1.49302 0.0129045
72 1.49294 0.0127243
73 1.49494 0.0127073
74 1.49593 0.0125737
75 1.49295 0.0127576
76 1.4925 0.0125966
77 1.49051 0.0125906
78 1.48998 0.0124394
79 1.48971 0.012284
80 1.49033 0.0121457
81 1.49153 0.012054
82 1.48938 0.012098
83 1.49129 0.0121026
84 1.49196 0.0119765
85 1.49104 0.0118705
86 1.48935 0.0118532
87 1.48834 0.0117598
88 1.48888 0.0116383
89 1.49107 0.0117128
90 1.48908 0.0117525
91 1.49049 0.0117084
92 1.49004 0.0115891
93 1.48842 0.0115776
94 1.48909 0.0114731
95 1.48898 0.0113522
96 1.49091 0.0113981
97 1.49024 0.0113
98 1.4889 0.0112645
99 1.48755 0.0112313
100 1.48532 0.011339
