#Block r_avg r_err
1 2.35416 0
2 1.92571 0.428456
3 1.78259 0.285787
4 1.71327 0.213642
5 1.67213 0.170523
6 1.64368 0.142108
7 1.62172 0.122094
8 1.60575 0.106935
9 1.59238 0.0952518
10 1.58443 0.0855658
11 1.57717 0.0777368
12 1.57214 0.0711421
13 1.56725 0.0656234
14 1.56197 0.0609846
15 1.55589 0.0570976
16 1.5519 0.0535589
17 1.54959 0.0503629
18 1.54585 0.0476297
19 1.54382 0.0450988
20 1.54262 0.0428015
21 1.54138 0.0407312
22 1.5406 0.0388435
23 1.53964 0.0371286
24 1.53807 0.0355826
25 1.53619 0.0341815
26 1.53491 0.0328653
27 1.53346 0.0316579
28 1.53256 0.0305195
29 1.53129 0.0294758
30 1.53042 0.0284898
31 1.52973 0.0275638
32 1.52862 0.0267119
33 1.52815 0.025894
34 1.52657 0.0251708
35 1.52608 0.0244458
36 1.52496 0.0237833
37 1.52402 0.0231508
38 1.52284 0.0225645
39 1.52279 0.0219783
40 1.52171 0.0214488
41 1.52129 0.0209233
42 1.52138 0.0204192
43 1.52168 0.019941
44 1.52106 0.0194923
45 1.52029 0.01907
46 1.51983 0.0186565
47 1.5182 0.0183278
48 1.51841 0.0179432
49 1.51789 0.0175809
50 1.51747 0.0172309
51 1.517 0.0168961
52 1.51666 0.0165717
53 1.51635 0.0162589
54 1.51623 0.0159554
55 1.51587 0.0156667
56 1.51515 0.0154014
57 1.51448 0.0151434
58 1.51391 0.0148912
59 1.51412 0.0146381
60 1.51363 0.0144004
61 1.51329 0.0141664
62 1.51308 0.0139377
63 1.51288 0.0137161
64 1.5128 0.0135003
65 1.51247 0.0132951
66 1.51263 0.0130931
67 1.51208 0.0129082
68 1.51158 0.0127269
69 1.51146 0.0125416
70 1.51147 0.0123611
71 1.51159 0.0121864
72 1.5116 0.0120159
73 1.51161 0.0118502
74 1.51139 0.0116911
75 1.51139 0.0115341
76 1.5111 0.0113851
77 1.51086 0.011239
78 1.51051 0.0110994
79 1.51045 0.0109582
80 1.51021 0.010823
81 1.50991 0.0106926
82 1.50978 0.0105623
83 1.50953 0.0104373
84 1.5092 0.0103174
85 1.50907 0.0101961
86 1.50908 0.0100768
87 1.50885 0.00996299
88 1.50887 0.00984914
89 1.50873 0.00973876
90 1.50857 0.00963127
91 1.50825 0.0095304
92 1.50821 0.00942631
93 1.50829 0.0093247
94 1.50797 0.00923036
95 1.50811 0.00913376
96 1.50815 0.00903822
97 1.50837 0.00894728
98 1.50841 0.00885558
99 1.50857 0.00876723
100 1.50841 0.00868062
101 1.50851 0.00859484
102 1.50847 0.0085103
103 1.50828 0.00842922
104 1.50845 0.00834935
105 1.50824 0.00827202
106 1.50803 0.00819628
107 1.50811 0.00811972
108 1.50833 0.00804729
109 1.50808 0.00797724
110 1.50803 0.00790451
111 1.50802 0.00783299
112 1.50786 0.00776436
113 1.50756 0.00770136
114 1.50746 0.00763414
115 1.5071 0.00757573
116 1.50726 0.0075118
117 1.50708 0.00744948
118 1.50695 0.00738723
119 1.50705 0.00732554
120 1.50702 0.0072643
121 1.50694 0.00720441
122 1.50703 0.00714573
123 1.50699 0.00708752
124 1.50695 0.00703025
125 1.50699 0.0069739
126 1.50694 0.00691856
127 1.50665 0.00686972
128 1.50669 0.00681591
129 1.50657 0.00676382
130 1.50642 0.00671331
131 1.5063 0.00666295
132 1.50626 0.0066124
133 1.50617 0.00656305
134 1.50624 0.00651426
135 1.506 0.00647051
136 1.50592 0.00642321
137 1.50577 0.00637789
138 1.50569 0.00633203
139 1.50561 0.00628679
140 1.50549 0.00624287
141 1.50539 0.00619935
142 1.50539 0.00615554
143 1.50532 0.00611271
144 1.50546 0.00607175
145 1.50555 0.00603045
146 1.50543 0.00599018
147 1.50549 0.00594952
148 1.5053 0.0059121
149 1.5053 0.00587228
150 1.5051 0.00583643
