#Block r_avg r_err
1 2.74202 0
2 2.12487 0.617142
3 1.90617 0.418075
4 1.8077 0.311593
5 1.74895 0.248405
6 1.70431 0.207677
7 1.67687 0.17765
8 1.65607 0.155249
9 1.64114 0.137729
10 1.62552 0.124175
11 1.61261 0.11306
12 1.60187 0.103766
13 1.59414 0.0957634
14 1.58764 0.0888982
15 1.58111 0.0830167
16 1.57829 0.0777062
17 1.57339 0.0731563
18 1.56824 0.069165
19 1.56615 0.0654569
20 1.56179 0.0622506
21 1.55922 0.0592678
22 1.55589 0.0566075
23 1.55341 0.0541471
24 1.55134 0.0518832
25 1.54908 0.0498161
26 1.54792 0.0478758
27 1.54622 0.0460998
28 1.54442 0.0444594
29 1.54254 0.0429401
30 1.53992 0.0415668
31 1.53867 0.040223
32 1.53765 0.0389592
33 1.53658 0.0377752
34 1.53522 0.0366726
35 1.53402 0.0356295
36 1.53337 0.0346319
37 1.53264 0.0336908
38 1.53105 0.0328306
39 1.53054 0.0319818
40 1.52984 0.0311798
41 1.52851 0.0304391
42 1.52851 0.0297056
43 1.52826 0.0290076
44 1.52757 0.0283492
45 1.52747 0.0277122
46 1.52684 0.0271102
47 1.52608 0.0265383
48 1.52514 0.0259963
49 1.5244 0.0254709
50 1.52437 0.0249563
51 1.52372 0.0244707
52 1.52348 0.0239967
53 1.52261 0.0235555
54 1.52221 0.0231186
55 1.52183 0.0226977
56 1.52181 0.0222887
57 1.52128 0.0219006
58 1.52107 0.0215207
59 1.52038 0.0211639
60 1.5197 0.0208192
61 1.51916 0.0204822
62 1.51845 0.0201619
63 1.51839 0.0198393
64 1.51817 0.0195282
65 1.51788 0.0192275
66 1.5177 0.0189348
67 1.51744 0.0186519
68 1.51734 0.0183758
69 1.51704 0.0181099
70 1.51699 0.0178494
71 1.51671 0.0175984
72 1.51685 0.0173528
73 1.51641 0.0171192
74 1.51613 0.0168885
75 1.51572 0.016667
76 1.51535 0.0164504
77 1.51486 0.0162427
78 1.51479 0.0160332
79 1.51433 0.0158356
80 1.51433 0.0156364
81 1.51443 0.0154425
82 1.5142 0.0152547
83 1.5141 0.0150701
84 1.51384 0.014892
85 1.51352 0.0147191
86 1.5135 0.0145469
87 1.51352 0.0143787
88 1.51354 0.0142144
89 1.51354 0.0140538
90 1.51341 0.0138974
91 1.51324 0.0137448
92 1.51341 0.0135957
93 1.51325 0.0134497
94 1.51296 0.013309
95 1.51293 0.0131682
96 1.51254 0.0130362
97 1.51268 0.012902
98 1.51258 0.01277
99 1.5123 0.0126436
100 1.51215 0.0125174
101 1.51198 0.012394
102 1.5117 0.0122751
103 1.51174 0.0121554
104 1.51164 0.0120384
105 1.5115 0.011924
106 1.51143 0.0118112
107 1.51148 0.0117004
108 1.51128 0.0115933
109 1.51117 0.011487
110 1.51133 0.0113833
111 1.51123 0.0112807
112 1.51115 0.0111798
113 1.51105 0.0110809
114 1.51092 0.010984
115 1.51074 0.0108896
116 1.51089 0.0107964
117 1.51071 0.0107052
118 1.51047 0.010617
119 1.51027 0.0105292
120 1.51015 0.0104418
121 1.51013 0.0103551
122 1.50993 0.0102719
123 1.50976 0.0101894
124 1.50981 0.0101071
125 1.50967 0.010027
126 1.50955 0.00994777
127 1.50959 0.0098692
128 1.50956 0.00979183
129 1.50949 0.00971591
130 1.50922 0.00964441
131 1.50907 0.00957171
132 1.50896 0.00949961
133 1.5087 0.00943153
134 1.5087 0.00936088
135 1.50838 0.00929653
136 1.50839 0.00922793
137 1.50827 0.00916115
138 1.5082 0.00909478
139 1.50814 0.00902933
140 1.50795 0.00896658
141 1.50784 0.0089034
142 1.50775 0.00884094
143 1.50751 0.00878229
144 1.50751 0.00872109
145 1.50749 0.00866076
146 1.50743 0.00860143
147 1.50741 0.00854275
148 1.50723 0.0084866
149 1.50728 0.00842956
150 1.50728 0.00837318
