#Block r_avg r_err
1 5.16792 0
2 5.38572 0.217799
3 5.34833 0.131186
4 5.38684 0.100438
5 5.2152 0.188446
6 5.21376 0.153872
7 5.2946 0.153124
8 5.28956 0.132705
9 5.24851 0.124027
10 5.25743 0.111292
11 5.21628 0.108755
12 5.19972 0.100651
13 5.17707 0.0953152
14 5.15363 0.0913033
15 5.13634 0.08674
16 5.12312 0.0822079
17 5.10669 0.0789506
18 5.09267 0.075744
19 5.07741 0.073254
20 5.05086 0.0743928
21 5.07136 0.0736716
22 5.0972 0.0748469
23 5.10041 0.0715905
24 5.08453 0.0703579
25 5.09065 0.0677619
26 5.07873 0.0661864
27 5.09599 0.0659848
28 5.10576 0.0643307
29 5.08529 0.0653588
30 5.08805 0.0632025
31 5.08807 0.0611298
32 5.08389 0.0593363
33 5.07042 0.0590645
34 5.05882 0.0584646
35 5.0454 0.0583343
36 5.0511 0.0569764
37 5.04599 0.0556498
38 5.04439 0.0541891
39 5.03929 0.0530271
40 5.0372 0.0517265
41 5.04043 0.0505521
42 5.04463 0.0495122
43 5.0406 0.0485145
44 5.05791 0.0504616
45 5.04962 0.0500197
46 5.05746 0.0495456
47 5.07314 0.0509523
48 5.07695 0.0500245
49 5.06512 0.0504019
50 5.05309 0.0508275
51 5.06062 0.0503868
52 5.0574 0.0495127
53 5.05273 0.0487936
54 5.05951 0.048359
55 5.05628 0.0475815
56 5.04371 0.0483867
57 5.04822 0.0477437
58 5.04726 0.0469231
59 5.05112 0.0462822
60 5.05261 0.0455286
61 5.04406 0.0455837
62 5.04571 0.0448727
63 5.04487 0.0441627
64 5.04015 0.0437222
65 5.04361 0.0431832
66 5.03888 0.042787
67 5.04026 0.0421662
68 5.03466 0.0419167
69 5.0269 0.0420286
70 5.02181 0.0417348
71 5.01891 0.041245
72 5.01976 0.0406771
73 5.01802 0.040154
74 5.02011 0.0396627
75 5.02989 0.0403341
76 5.02782 0.0398533
77 5.02655 0.039353
78 5.03091 0.0390898
79 5.02305 0.0393849
80 5.0338 0.0403472
81 5.03329 0.0398492
82 5.03103 0.039425
83 5.03506 0.0391542
84 5.02691 0.0395331
85 5.02824 0.0390878
86 5.02756 0.0386365
87 5.0292 0.038225
88 5.02367 0.0381911
89 5.02059 0.0378854
90 5.01746 0.0375919
91 5.02011 0.0372706
92 5.0287 0.037851
93 5.0239 0.0377481
94 5.02475 0.037354
95 5.02436 0.0369607
96 5.02832 0.0367875
97 5.02469 0.0365863
98 5.01868 0.0367063
99 5.01894 0.0363346
100 5.02305 0.036203
