#Block r_avg r_err
1 6.16866 0
2 5.77044 0.398218
3 5.46941 0.378783
4 5.36535 0.287347
5 5.27811 0.239062
6 5.26745 0.195484
7 5.1841 0.185049
8 5.18611 0.160269
9 5.16472 0.142954
10 5.14569 0.12927
11 5.07848 0.134869
12 5.04286 0.128165
13 5.01438 0.121286
14 5.03229 0.113708
15 5.02006 0.106561
16 5.01485 0.0998152
17 4.99503 0.0958311
18 5.01538 0.0926128
19 5.01689 0.0876161
20 5.01341 0.0831931
21 5.01777 0.0792526
22 5.02021 0.0756039
23 5.03191 0.0731831
24 5.00918 0.0736632
25 4.99431 0.0722033
26 5.00338 0.0699612
27 5.00668 0.0674011
28 5.01608 0.0656253
29 5.01079 0.0635418
30 5.02197 0.0623963
31 5.02078 0.0603617
32 5.02699 0.0587744
33 5.03757 0.0579392
34 5.04556 0.0567737
35 5.05414 0.0557916
36 5.04845 0.0545171
37 5.0408 0.053572
38 5.03961 0.0521568
39 5.03941 0.0508023
40 5.03198 0.0500704
41 5.02777 0.0490156
42 5.03977 0.0493178
43 5.03601 0.0483036
44 5.03072 0.0474885
45 5.02861 0.0464693
46 5.03137 0.0455316
47 5.04316 0.0460859
48 5.0466 0.0452464
49 5.05134 0.0445664
50 5.06062 0.0446412
51 5.05252 0.0445014
52 5.04617 0.0440955
53 5.04279 0.0433875
54 5.0525 0.0436689
55 5.04986 0.0429487
56 5.04644 0.0423137
57 5.04019 0.0420309
58 5.03274 0.041967
59 5.03978 0.0418464
60 5.03516 0.0414023
61 5.02434 0.0421311
62 5.02346 0.0414554
63 5.02094 0.0408696
64 5.02458 0.0403902
65 5.02359 0.0397762
66 5.02289 0.0391752
67 5.02013 0.0386845
68 5.02232 0.0381744
69 5.01841 0.0378202
70 5.01176 0.0378633
71 5.02133 0.0385316
72 5.02092 0.0379948
73 5.0281 0.0381521
74 5.02609 0.0376862
75 5.01868 0.0379128
76 5.01791 0.0374184
77 5.01232 0.0373506
78 5.01815 0.0373267
79 5.01749 0.0368571
80 5.01394 0.0365655
81 5.01248 0.0361408
82 5.00941 0.0358289
83 5.00582 0.0355766
84 5.0065 0.0351571
85 5.00348 0.0348727
86 5.00026 0.034615
87 4.99975 0.0342185
88 5.0013 0.0338626
89 5.00554 0.0337476
90 5.00253 0.033506
91 5.00846 0.0336632
92 5.00853 0.0332953
93 5.00667 0.0329881
94 5.00937 0.0327471
95 5.00959 0.0324013
96 5.00876 0.0320729
97 5.00849 0.0317416
98 5.00546 0.0315616
99 5.00261 0.0313713
100 4.99901 0.0312643
