#Block r_avg r_err
1 5.38086 0
2 5.14606 0.234796
3 5.10218 0.142486
4 5.08666 0.101941
5 5.08427 0.0789994
6 5.07607 0.0650225
7 5.06604 0.0558613
8 5.06547 0.0483807
9 5.06266 0.0427603
10 5.04904 0.0405988
11 5.043 0.0372162
12 5.04071 0.0340506
13 5.03751 0.0314844
14 5.03386 0.0293767
15 5.03079 0.0275207
16 5.03001 0.0257548
17 5.02951 0.0241977
18 5.02411 0.0234438
19 5.02165 0.0223114
20 5.02024 0.0212133
21 5.01995 0.02018
22 5.01955 0.0192451
23 5.02061 0.01842
24 5.01956 0.0176672
25 5.01692 0.0171492
26 5.01772 0.0164958
27 5.0181 0.0158775
28 5.01798 0.0153005
29 5.01756 0.0147693
30 5.01539 0.014432
31 5.01628 0.0139869
32 5.01656 0.0135456
33 5.01624 0.0131327
34 5.01383 0.0129657
35 5.01349 0.0125943
36 5.01245 0.0122834
37 5.01247 0.0119469
38 5.01125 0.0116917
39 5.0105 0.0114124
40 5.00936 0.0111816
41 5.00856 0.0109353
42 5.00946 0.0107096
43 5.01026 0.0104882
44 5.01078 0.0102604
45 5.01185 0.0100864
46 5.01068 0.00993343
47 5.01111 0.00972907
48 5.0105 0.00954361
49 5.00972 0.00937888
50 5.01103 0.00928231
51 5.01055 0.00911145
52 5.01064 0.00893494
53 5.00986 0.00879918
54 5.00912 0.00866594
55 5.00977 0.00853165
56 5.00881 0.00843322
57 5.00733 0.00841403
58 5.0078 0.00828065
59 5.00757 0.00814226
60 5.00713 0.00801767
61 5.0073 0.00788715
62 5.00724 0.00775918
63 5.00763 0.00764502
64 5.00695 0.0075555
65 5.00731 0.00744732
66 5.00674 0.00735564
67 5.00682 0.00724548
68 5.00651 0.00714511
69 5.00631 0.00704373
70 5.00603 0.00694801
71 5.00469 0.0069781
72 5.00439 0.00688714
73 5.00494 0.00681476
74 5.0045 0.0067369
75 5.00505 0.00666935
76 5.00542 0.00659125
77 5.0057 0.00651124
78 5.00636 0.00646077
79 5.00652 0.00638058
80 5.00688 0.00631042
81 5.00703 0.00623393
82 5.00695 0.00615796
83 5.00724 0.00608996
84 5.00728 0.00601719
85 5.00668 0.00597619
86 5.0063 0.00591833
87 5.00642 0.00585114
88 5.00694 0.00580764
89 5.00766 0.00578678
90 5.00661 0.00581752
91 5.00676 0.0057552
92 5.00588 0.00576083
93 5.00577 0.00569965
94 5.00528 0.00565926
95 5.00532 0.00559952
96 5.00552 0.00554421
97 5.00592 0.00550194
98 5.00556 0.00545749
99 5.00553 0.00540222
100 5.00507 0.0053675
101 5.00507 0.0053141
102 5.00519 0.00526332
103 5.00486 0.00522276
104 5.00481 0.00517255
105 5.00481 0.00512305
106 5.00499 0.00507755
107 5.00513 0.00503197
108 5.0049 0.00499064
109 5.00491 0.00494464
110 5.00477 0.00490124
111 5.00514 0.00487091
112 5.0048 0.00483924
113 5.00397 0.00486863
114 5.00401 0.00482592
115 5.00366 0.00479644
116 5.00374 0.00475563
117 5.00451 0.0047762
118 5.00439 0.00473694
119 5.00469 0.00470621
120 5.00476 0.00466735
121 5.00476 0.00462862
122 5.00546 0.0046437
123 5.00575 0.00461529
124 5.0058 0.00457816
125 5.00619 0.00455811
126 5.0059 0.00453087
127 5.00648 0.00453177
128 5.00691 0.00451654
129 5.00694 0.00448152
130 5.00698 0.00444704
131 5.00709 0.00441449
132 5.00699 0.00438213
133 5.00692 0.00434967
134 5.00676 0.00432004
135 5.00714 0.00430515
136 5.00708 0.00427379
137 5.00728 0.00424721
138 5.0078 0.00424857
139 5.00757 0.00422441
140 5.00729 0.0042033
141 5.00692 0.00419011
142 5.00706 0.00416304
143 5.00703 0.00413393
144 5.00661 0.0041274
145 5.00684 0.00410572
146 5.00703 0.00408165
147 5.00692 0.00405521
148 5.00694 0.00402779
149 5.00705 0.00400204
150 5.00722 0.00397886
