#Block r_avg r_err
1 5.36972 0
2 5.21144 0.158287
3 5.14607 0.112359
4 5.11142 0.0866777
5 5.08797 0.0711174
6 5.07589 0.05931
7 5.05758 0.0533646
8 5.05113 0.0466633
9 5.03983 0.0426748
10 5.02765 0.0400685
11 5.03173 0.0364732
12 5.02722 0.0336001
13 5.02441 0.0310347
14 5.02572 0.0287623
15 5.01971 0.0274422
16 5.01948 0.0256709
17 5.0187 0.0241263
18 5.01912 0.0227505
19 5.01884 0.0215216
20 5.01742 0.0204666
21 5.01448 0.0196877
22 5.0149 0.0187761
23 5.01572 0.0179599
24 5.01384 0.0172981
25 5.01591 0.0167206
26 5.01335 0.0162672
27 5.01186 0.0157235
28 5.00965 0.015312
29 5.00941 0.0147766
30 5.00895 0.0142829
31 5.00691 0.0139652
32 5.00529 0.0136178
33 5.00547 0.0131999
34 5.00293 0.013055
35 5.00103 0.012819
36 5.00071 0.0124619
37 5.00038 0.0121248
38 5.00154 0.011858
39 5.00329 0.0116815
40 5.00452 0.0114522
41 5.00371 0.0111987
42 5.00318 0.0109418
43 5.00188 0.0107631
44 5.00239 0.0105281
45 5.00159 0.0103221
46 4.99989 0.010238
47 5.00036 0.010029
48 5.00048 0.00981854
49 5.00053 0.00961623
50 5.00057 0.00942201
51 5.00235 0.00940574
52 5.00148 0.00926479
53 5.00157 0.00908879
54 5.00045 0.00898841
55 4.99972 0.00885386
56 4.99901 0.00872331
57 4.99892 0.00856942
58 4.99902 0.00842096
59 4.99935 0.00828358
60 4.99864 0.00817522
61 4.99844 0.00804244
62 4.99834 0.00791227
63 4.99834 0.00778567
64 4.9992 0.00771154
65 4.99927 0.0075923
66 4.99958 0.00748292
67 5.00007 0.00738659
68 5.00014 0.00727749
69 5.00156 0.0073093
70 5.00193 0.00721374
71 5.00183 0.00711209
72 5.00199 0.00701452
73 5.00224 0.00692207
74 5.0034 0.00692537
75 5.00326 0.00683369
76 5.00318 0.00674366
77 5.00313 0.00665569
78 5.00293 0.00657284
79 5.0032 0.00649452
80 5.00302 0.00641541
81 5.00325 0.00634014
82 5.00381 0.00628685
83 5.00421 0.00622394
84 5.00363 0.00617699
85 5.00382 0.00610694
86 5.00366 0.00603775
87 5.00325 0.00598209
88 5.00269 0.00594034
89 5.00242 0.00587925
90 5.00276 0.00582369
91 5.0023 0.00577836
92 5.00199 0.00572328
93 5.00228 0.00566873
94 5.00194 0.00561837
95 5.00221 0.00556526
96 5.00213 0.00550753
97 5.0027 0.00548052
98 5.00315 0.00544276
99 5.0026 0.00541576
100 5.00244 0.00536374
101 5.00201 0.00532714
102 5.00161 0.00528968
103 5.0014 0.0052425
104 5.00179 0.00520639
105 5.00199 0.00516036
106 5.00232 0.00512231
107 5.00229 0.0050743
108 5.00183 0.00504779
109 5.00179 0.00500145
110 5.0019 0.00495697
111 5.0019 0.00491211
112 5.0019 0.00486805
113 5.00198 0.00482543
114 5.00205 0.00478342
115 5.00203 0.00474168
116 5.0021 0.00470122
117 5.00179 0.00467137
118 5.00215 0.00464572
119 5.00206 0.00460741
120 5.00225 0.00457286
121 5.0023 0.00453517
122 5.00178 0.00452769
123 5.00158 0.00449528
124 5.00117 0.00447798
125 5.00161 0.00446458
126 5.00156 0.00442938
127 5.0007 0.00447635
128 5.00097 0.00444943
129 5.00137 0.00443272
130 5.00071 0.00444807
131 4.99992 0.0044834
132 4.99957 0.0044634
133 4.99937 0.00443418
134 4.99905 0.00441227
135 4.99882 0.0043857
136 4.99921 0.00437056
137 4.99938 0.00434176
138 4.99958 0.0043152
139 4.9999 0.00429556
140 4.99956 0.00427808
141 4.99984 0.00425691
142 4.99977 0.00422744
143 4.99982 0.00419804
144 4.9997 0.00417045
145 4.99949 0.00414672
146 4.99962 0.00412021
147 5.00009 0.00411917
148 5.00024 0.00409411
149 5.00031 0.00406715
150 5.0002 0.00404167
