#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.889324    0.889324           0
           2    0.887052    0.888188 0.000803273
           3     0.93148    0.902619   0.0117948
           4    0.924536    0.908098   0.0100384
           5    0.945184    0.915515   0.0104166
           6    0.953008    0.921764    0.010387
           7    0.905588    0.919453  0.00915661
           8    0.974452    0.926328   0.0102737
           9     0.88942    0.922227   0.0099169
          10     0.89898    0.919902  0.00919365
          11    0.936348    0.921397  0.00847856
          12    0.795812    0.910932   0.0126808
          13    0.969476    0.915435   0.0124794
          14    0.932308    0.916641   0.0116461
          15    0.914608    0.916505   0.0108705
          16    0.553156    0.893796   0.0242351
          17    0.927668    0.895788   0.0228912
          18    0.924144    0.897364   0.0216736
          19      0.9297    0.899065   0.0205996
          20    0.924724    0.900348   0.0196096
          21    0.864228    0.898628   0.0187511
          22    0.933876    0.900231   0.0179671
          23       0.941    0.902003   0.0172731
          24     0.95828    0.904348   0.0167118
          25    0.952608    0.906278   0.0161544
          26    0.934512    0.907364   0.0155696
          27    0.918412    0.907773   0.0149983
          28      0.9615    0.909692   0.0145848
          29    0.934544    0.910549   0.0141071
          30    0.796688    0.906754   0.0141382
          31    0.952092    0.908216   0.0137575
          32    0.941572    0.909259   0.0133671
          33    0.945264     0.91035   0.0130064
          34    0.857084    0.908783   0.0127179
          35    0.936596    0.909578   0.0123793
          36    0.647284    0.902292   0.0140165
          37    0.924688    0.902897   0.0136508
          38    0.856344    0.901672   0.0133464
          39    0.896884    0.901549   0.0130047
          40    0.910932    0.901784   0.0126817
          41    0.910724    0.902002   0.0123743
          42     0.95596    0.903287   0.0121462
          43    0.977188    0.905005   0.0119847
          44    0.852648    0.903815   0.0117712
          45    0.873756    0.903147   0.0115286
          46    0.979716    0.904812   0.0113975
          47      0.9461     0.90569   0.0111888
          48    0.749348    0.902433   0.0114199
          49    0.935904    0.903116   0.0112073
          50    0.963632    0.904327   0.0110483
          51     0.94992    0.905221   0.0108678
          52    0.850896    0.904176   0.0107089
          53    0.973412    0.905482   0.0105862
          54    0.458368    0.897202   0.0132379
          55     0.96952    0.898517   0.0130624
          56    0.951176    0.899458   0.0128629
          57    0.961248    0.900542   0.0126828
          58    0.930072    0.901051   0.0124744
          59    0.885052     0.90078   0.0122659
          60    0.939088    0.901418   0.0120781
          61    0.808852    0.899901    0.011975
          62     0.81618     0.89855   0.0118578
          63    0.901276    0.898594   0.0116696
          64     0.93314    0.899133   0.0114998
          65    0.907752    0.899266   0.0113236
          66    0.937412    0.899844   0.0111668
          67    0.416532     0.89263   0.0131249
          68    0.940876     0.89334    0.012951
          69    0.953652    0.894214   0.0127928
          70    0.968768    0.895279   0.0126543
          71    0.643888    0.891738    0.012962
          72    0.919208     0.89212   0.0127875
          73     0.58458    0.887907   0.0132882
          74    0.768796    0.886297   0.0132058
          75    0.990368    0.887685   0.0131024
          76    0.898432    0.887826   0.0129308
          77    0.912848    0.888151   0.0127669
          78    0.975732    0.889274   0.0126525
          79    0.955244    0.890109   0.0125199
          80    0.970488    0.891114   0.0124036
          81    0.871352     0.89087   0.0122529
          82    0.920916    0.891236    0.012109
          83    0.950552    0.891951   0.0119841
          84      0.9736    0.892923   0.0118808
          85    0.692556    0.890566   0.0119726
          86    0.923516    0.890949   0.0118395
          87    0.959912    0.891742   0.0117299
          88    0.879488    0.891602   0.0115975
          89    0.843064    0.891057     0.01148
          90    0.909032    0.891257   0.0113542
          91    0.915788    0.891526   0.0112326
          92    0.961228    0.892284    0.011136
          93    0.906756    0.892439   0.0110174
          94    0.932744    0.892868   0.0109085
          95    0.972336    0.893705   0.0108257
          96    0.897052     0.89374    0.010713
          97     0.87136    0.893509    0.010605
          98    0.696676      0.8915   0.0106853
          99    0.982692    0.892421    0.010617
         100    0.920088    0.892698   0.0105144
