#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.412004    0.412004           0
           2    0.354564    0.383284   0.0203082
           3    0.416391     0.39432   0.0162631
           4    0.356542    0.384875   0.0146857
           5    0.370925    0.382085   0.0120107
           6    0.382977    0.382234   0.0100098
           7     0.30394    0.371049   0.0134478
           8    0.365726    0.370384   0.0117833
           9    0.393085    0.372906   0.0107406
          10    0.369953    0.372611  0.00967063
          11    0.404912    0.375547  0.00922654
          12     0.28509    0.368009   0.0111184
          13    0.311972    0.363699   0.0110673
          14    0.414041    0.367294   0.0108452
          15    0.340015    0.365476   0.0102735
          16    0.221731    0.356492   0.0129782
          17    0.274423    0.351664   0.0130819
          18    0.386719    0.353612   0.0124992
          19    0.265113    0.348954   0.0126796
          20    0.334129    0.348213   0.0120672
          21    0.367315    0.349122   0.0115268
          22    0.317982    0.347707   0.0110894
          23    0.355798    0.348059   0.0106129
          24     0.32276    0.347005   0.0102229
          25    0.318064    0.345847   0.0098793
          26    0.360376    0.346406  0.00951512
          27    0.358975    0.346871  0.00917409
          28     0.29335     0.34496  0.00904338
          29     0.31306     0.34386  0.00879819
          30    0.343438    0.343846  0.00850493
          31    0.380862     0.34504  0.00831397
          32     0.25097      0.3421   0.0085581
          33    0.332765    0.341817  0.00830344
          34    0.260084    0.339413  0.00839999
          35    0.435904     0.34217  0.00860051
          36    0.302732    0.341075  0.00843108
          37     0.41646    0.343112  0.00844581
          38    0.287954    0.341661  0.00834735
          39    0.329792    0.341356  0.00813886
          40    0.278186    0.339777  0.00808716
          41    0.328672    0.339506  0.00789444
          42    0.322939    0.339112  0.00771633
          43    0.216146    0.336252  0.00804935
          44    0.324435    0.335983  0.00787089
          45    0.341092    0.336097   0.0076968
          46    0.340978    0.336203  0.00753021
          47    0.287553    0.335168   0.0074408
          48    0.398686    0.336491  0.00740251
          49    0.267929    0.335092   0.0073825
          50    0.314214    0.334674  0.00724665
          51    0.323576    0.334457  0.00710782
          52    0.307558     0.33394  0.00698993
          53    0.334089    0.333942  0.00685805
          54    0.413165    0.335409  0.00688618
          55    0.281786    0.334434  0.00682965
          56    0.333536    0.334418  0.00670771
          57     0.32238    0.334207  0.00659335
          58     0.41653    0.335627  0.00663069
          59    0.384844    0.336461  0.00657057
          60      0.3094     0.33601  0.00647652
          61    0.392358    0.336934  0.00643589
          62    0.394293    0.337859  0.00639823
          63    0.313894    0.337478  0.00630797
          64    0.301574    0.336917   0.0062343
          65    0.244622    0.335497  0.00629802
          66    0.384487     0.33624  0.00624618
          67    0.287371     0.33551  0.00619539
          68    0.327731    0.335396  0.00610534
          69    0.318758    0.335155  0.00602162
          70    0.297931    0.334623  0.00595903
          71     0.22421    0.333068  0.00607463
          72    0.316057    0.332832  0.00599485
          73    0.319408    0.332648  0.00591555
          74    0.249762    0.331528   0.0059407
          75     0.26318    0.330616  0.00593098
          76    0.339353    0.330731  0.00585405
          77    0.316056    0.330541  0.00578113
          78    0.391491    0.331322  0.00575958
          79    0.288894    0.330785  0.00571166
          80    0.277504    0.330119  0.00567896
          81    0.391224    0.330873  0.00565873
          82    0.389998    0.331594  0.00563547
          83    0.239198    0.330481  0.00567646
          84    0.241098    0.329417  0.00570775
          85    0.326968    0.329388  0.00564067
          86    0.289645    0.328926  0.00559398
          87    0.335776    0.329005  0.00553024
          88    0.365662    0.329422  0.00548306
          89    0.441782    0.330684  0.00556489
          90     0.33305     0.33071  0.00550312
          91    0.388355    0.331344  0.00547899
          92    0.382443    0.331899  0.00544751
          93    0.265537    0.331186  0.00543547
          94      0.3671    0.331568  0.00539106
          95    0.235807     0.33056  0.00542773
          96    0.339855    0.330656  0.00537206
          97    0.354867    0.330906  0.00532247
          98    0.308074    0.330673  0.00527325
          99    0.272456    0.330085  0.00525267
         100    0.401746    0.330802   0.0052488
