#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      2.8418      2.8418           0
           2     2.84586     2.84383  0.00143644
           3     2.96953     2.88573   0.0342231
           4     2.86244     2.87991   0.0261579
           5     2.90654     2.88523   0.0214617
           6     3.10066     2.92114   0.0373378
           7     2.98307     2.92998   0.0330354
           8      3.1059     2.95197   0.0354773
           9     3.02198     2.95975   0.0323769
          10     2.87336     2.95111   0.0302699
          11     3.06387     2.96136   0.0292023
          12     2.93095     2.95883   0.0268785
          13     3.03051     2.96434   0.0253703
          14     3.08346     2.97285    0.024944
          15      3.3521     2.99814   0.0337435
          16     2.97361      2.9966   0.0316693
          17     3.03473     2.99885   0.0298857
          18     2.96242     2.99682   0.0282938
          19     2.91997     2.99278   0.0270922
          20      3.0839     2.99733   0.0261179
          21     2.89594      2.9925   0.0253165
          22     2.92099     2.98925   0.0243736
          23     3.22775     2.99962   0.0254241
          24     3.06358     3.00229    0.024504
          25      2.9883     3.00173   0.0235302
          26     2.96465      3.0003   0.0226684
          27     2.94171     2.99813   0.0219324
          28     2.91718     2.99524   0.0213388
          29     2.85214     2.99031   0.0211658
          30     3.10231     2.99404    0.020787
          31     2.95205     2.99269   0.0201605
          32     3.07055     2.99512   0.0196768
          33      2.8906     2.99195   0.0193338
          34      2.9879     2.99183   0.0187655
          35     2.79843     2.98631   0.0190255
          36     2.85531     2.98267   0.0188418
          37     2.97702     2.98252   0.0183332
          38      2.9469     2.98158   0.0178747
          39     2.91632      2.9799   0.0174945
          40     2.83881     2.97638   0.0174091
          41     2.73046     2.97038   0.0179881
          42     3.06644     2.97267   0.0177046
          43     3.09569     2.97553   0.0175225
          44     2.99838     2.97605    0.017132
          45     2.85837     2.97343   0.0169497
          46     3.13334     2.97691   0.0169339
          47     2.91921     2.97568   0.0166181
          48     3.08807     2.97802    0.016436
          49     2.86506     2.97572   0.0162614
          50     3.09318     2.97807    0.016105
          51      3.0784     2.98003   0.0159089
          52     3.00793     2.98057    0.015612
          53     3.01762     2.98127   0.0153331
          54     3.00626     2.98173   0.0150562
          55     3.13685     2.98455   0.0150442
          56     3.07813     2.98622   0.0148681
          57     2.81682     2.98325   0.0149013
          58     3.09427     2.98516   0.0147669
          59     2.88745     2.98351   0.0146092
          60      2.9946     2.98369   0.0143668
          61     2.89167     2.98218   0.0142103
          62     3.17597     2.98531   0.0143207
          63     3.09438     2.98704   0.0141977
          64     2.87735     2.98533   0.0140789
          65     3.07921     2.98677   0.0139362
          66     3.04195     2.98761   0.0137501
          67     2.73446     2.98383   0.0140544
          68     3.10557     2.98562   0.0139613
          69     2.93818     2.98493   0.0137758
          70      2.9103     2.98387   0.0136202
          71     2.95722     2.98349   0.0134336
          72      2.7352     2.98004   0.0136825
          73     2.92594      2.9793   0.0135151
          74     2.85418     2.97761   0.0134378
          75     2.96451     2.97744   0.0132598
          76     2.86598     2.97597   0.0131661
          77     2.99424     2.97621   0.0129973
          78     3.02398     2.97682   0.0128451
          79     2.99238     2.97702    0.012684
          80     3.10445     2.97861   0.0126251
          81     2.99219     2.97878   0.0124703
          82     3.03562     2.97947   0.0123375
          83     3.17967     2.98188   0.0124224
          84     3.14833     2.98386   0.0124315
          85     2.80311     2.98174   0.0124658
          86     3.03763     2.98239   0.0123378
          87     2.89241     2.98135   0.0122393
          88     3.07804     2.98245   0.0121494
          89     3.07039     2.98344    0.012053
          90     3.01643     2.98381   0.0119247
          91     2.92999     2.98321   0.0118083
          92     2.71383     2.98029   0.0120375
          93     3.11945     2.98178   0.0120007
          94     2.94741     2.98142   0.0118786
          95      2.8965     2.98052   0.0117871
          96     3.06523     2.98141   0.0116973
          97     2.98174     2.98141   0.0115767
          98     2.92748     2.98086   0.0114717
          99     2.83774     2.97941   0.0114465
         100     3.11335     2.98075   0.0114102
