#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.799584   -0.799584           0
           2   -0.805624   -0.802604  0.00213546
           3   -0.806944   -0.804051  0.00184986
           4   -0.797632   -0.802446  0.00196369
           5   -0.803584   -0.802674  0.00158409
           6   -0.804016   -0.802897  0.00133578
           7   -0.802856   -0.802891  0.00114497
           8   -0.799848   -0.802511  0.00106317
           9   -0.807336   -0.803047  0.00107172
          10   -0.798776    -0.80262   0.0010462
          11   -0.805712   -0.802901  0.00098813
          12   -0.802992   -0.802909 0.000905815
          13   -0.809176   -0.803391  0.00095586
          14   -0.804248   -0.803452 0.000889544
          15   -0.808624   -0.803797 0.000894573
          16   -0.805568   -0.803908 0.000845484
          17   -0.801024   -0.803738 0.000812585
          18   -0.800504   -0.803558 0.000787052
          19   -0.798008   -0.803266 0.000797999
          20     -0.8022   -0.803213 0.000759878
          21   -0.800984   -0.803107 0.000731067
          22      -0.805   -0.803193 0.000702884
          23   -0.799808   -0.803046 0.000687557
          24   -0.800528   -0.802941 0.000666863
          25    -0.80492    -0.80302 0.000644871
          26   -0.810552    -0.80331 0.000682043
          27   -0.805712   -0.803399 0.000662561
          28   -0.808088   -0.803566 0.000659726
          29   -0.808936   -0.803751 0.000662455
          30   -0.801832   -0.803687 0.000643454
          31   -0.802248   -0.803641  0.00062437
          32   -0.806856   -0.803741  0.00061289
          33   -0.803608   -0.803737 0.000594331
          34    -0.80416    -0.80375  0.00057698
          35    -0.80248   -0.803713 0.000561635
          36   -0.799232   -0.803589 0.000559659
          37   -0.806216    -0.80366 0.000549019
          38   -0.808376   -0.803784 0.000548419
          39   -0.806968   -0.803866   0.0005404
          40    -0.80528   -0.803901 0.000528045
          41   -0.806912   -0.803974 0.000520248
          42   -0.807152    -0.80405 0.000513332
          43   -0.805512   -0.804084 0.000502519
          44    -0.80864   -0.804188 0.000501652
          45   -0.806296   -0.804234 0.000492687
          46   -0.799584   -0.804133  0.00049224
          47   -0.800264   -0.804051 0.000488603
          48    -0.80616   -0.804095 0.000480395
          49   -0.798936    -0.80399 0.000481991
          50   -0.806848   -0.804047 0.000475729
          51   -0.801872   -0.804004 0.000468308
          52   -0.806424   -0.804051 0.000461608
          53   -0.803232   -0.804035 0.000453157
          54   -0.806616   -0.804083 0.000447278
          55   -0.807472   -0.804145  0.00044337
          56     -0.8046   -0.804153 0.000435527
          57   -0.803552   -0.804142 0.000428014
          58   -0.801824   -0.804102 0.000422496
          59   -0.804008   -0.804101 0.000415338
          60   -0.802344   -0.804071 0.000409447
          61     -0.7996   -0.803998 0.000409244
          62   -0.804392   -0.804005 0.000402692
          63    -0.80796   -0.804067 0.000401165
          64    -0.80576   -0.804094 0.000395768
          65   -0.805408   -0.804114 0.000390195
          66    -0.80576   -0.804139 0.000385079
          67   -0.800728   -0.804088 0.000382682
          68   -0.805704   -0.804112 0.000377792
          69   -0.803216   -0.804099 0.000372539
          70   -0.801008   -0.804055 0.000369825
          71   -0.808384   -0.804116 0.000369609
          72   -0.805792   -0.804139 0.000365208
          73   -0.799984   -0.804082 0.000364613
          74   -0.802464    -0.80406 0.000360341
          75   -0.800248   -0.804009 0.000359103
          76   -0.802336   -0.803987 0.000355053
          77   -0.801416   -0.803954 0.000352008
          78   -0.803408   -0.803947 0.000347565
          79   -0.804552   -0.803955  0.00034325
          80   -0.807488   -0.803999 0.000341789
          81   -0.805504   -0.804017 0.000338074
          82   -0.806056   -0.804042 0.000334864
          83   -0.807256   -0.804081 0.000333061
          84    -0.80848   -0.804133 0.000333188
          85   -0.805032   -0.804144 0.000329436
          86   -0.804624   -0.804149 0.000325653
          87   -0.805304   -0.804163  0.00032218
          88   -0.803712   -0.804158 0.000318559
          89   -0.804432   -0.804161 0.000314995
          90     -0.8014    -0.80413 0.000312985
          91   -0.805248   -0.804142 0.000309787
          92    -0.80188   -0.804118 0.000307394
          93   -0.803496   -0.804111 0.000304161
          94   -0.803824   -0.804108 0.000300941
          95   -0.803312     -0.8041 0.000297889
          96   -0.802024   -0.804078  0.00029557
          97   -0.808872   -0.804127 0.000296626
          98   -0.802112   -0.804107 0.000294311
          99   -0.800312   -0.804068 0.000293824
         100   -0.807432   -0.804102 0.000292805
