#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.532564    0.532564           0
           2    0.456152    0.494358   0.0270157
           3    0.482336    0.490351   0.0183053
           4    0.367228     0.45957   0.0299845
           5    0.463312    0.460318    0.023997
           6    0.437568    0.456527   0.0202948
           7     0.39076    0.447131   0.0194491
           8    0.457824    0.448468   0.0170638
           9      0.4157    0.444827   0.0155514
          10    0.341208    0.434465   0.0171034
          11    0.443496    0.435286   0.0155683
          12    0.432064    0.435018   0.0142732
          13    0.477564     0.43829   0.0135453
          14    0.424244    0.437287   0.0126149
          15    0.469324    0.439423   0.0119533
          16      0.4735    0.441553   0.0113944
          17    0.402848    0.439276   0.0109493
          18    0.471928     0.44109   0.0104901
          19    0.510644    0.444751   0.0105575
          20    0.467136     0.44587   0.0100888
          21    0.408632    0.444097  0.00976293
          22    0.377144    0.441053    0.009782
          23    0.544296    0.445542   0.0103354
          24    0.502324    0.447908    0.010172
          25    0.524848    0.450986   0.0102201
          26     0.39136    0.448692    0.010081
          27    0.520324    0.451345   0.0100507
          28    0.505428    0.453277  0.00987557
          29    0.506704    0.455119  0.00970536
          30    0.386968    0.452848  0.00964405
          31    0.422932    0.451883  0.00938111
          32    0.402792    0.450348  0.00921253
          33     0.38288    0.448304  0.00915741
          34     0.41972    0.447463  0.00892658
          35    0.510492    0.449264  0.00885132
          36    0.402216    0.447957   0.0087014
          37    0.498856    0.449333  0.00857428
          38      0.3862    0.447671  0.00850807
          39    0.488688    0.448723  0.00835467
          40    0.442712    0.448573  0.00814715
          41    0.471744    0.449138  0.00796802
          42     0.48476    0.449986  0.00782331
          43    0.311236    0.446759  0.00828012
          44    0.472028    0.447334  0.00811183
          45    0.464176    0.447708  0.00794019
          46    0.517852    0.449233  0.00791265
          47    0.419492      0.4486  0.00776955
          48    0.404116    0.447673  0.00766276
          49    0.447216    0.447664  0.00750638
          50    0.506084    0.448832  0.00744663
          51    0.500844    0.449852  0.00737013
          52    0.431928    0.449508  0.00723645
          53     0.57118    0.451803  0.00745517
          54     0.44024    0.451589  0.00732019
          55    0.518328    0.452803  0.00728697
          56      0.4135    0.452101  0.00719056
          57    0.415384    0.451457  0.00709321
          58    0.414704    0.450823  0.00699916
          59    0.462712    0.451024  0.00688343
          60    0.403824    0.450238  0.00681351
          61    0.462784    0.450443  0.00670492
          62    0.352056    0.448857  0.00678196
          63    0.419564    0.448392  0.00669023
          64    0.367436    0.447127  0.00670421
          65     0.40874    0.446536  0.00662703
          66    0.386528    0.445627   0.0065887
          67    0.382052    0.444678  0.00655833
          68      0.4861    0.445287  0.00649011
          69    0.613404    0.447724  0.00683812
          70    0.353424    0.446376  0.00687184
          71    0.385416    0.445518  0.00682849
          72    0.521216    0.446569   0.0068141
          73    0.453884    0.446669   0.0067215
          74      0.5088    0.447509   0.0066829
          75      0.5043    0.448266  0.00663655
          76     0.44954    0.448283  0.00654925
          77    0.542372    0.449505   0.0065772
          78    0.490756    0.450034   0.0065141
          79    0.362004    0.448919  0.00652626
          80    0.390732    0.448192  0.00648508
          81    0.372112    0.447253  0.00647268
          82     0.49472    0.447832  0.00641958
          83    0.546588    0.449022  0.00645156
          84    0.438104    0.448892  0.00637606
          85    0.426368    0.448627  0.00630655
          86    0.485956    0.449061  0.00624814
          87    0.357668     0.44801  0.00626401
          88    0.474844    0.448315  0.00620024
          89    0.477956    0.448648  0.00613952
          90    0.457652    0.448748  0.00607212
          91     0.34196    0.447575  0.00611773
          92    0.453264    0.447637  0.00605155
          93     0.50392    0.448242  0.00601666
          94    0.563688     0.44947  0.00607671
          95    0.338308      0.4483  0.00612437
          96    0.370932    0.447494  0.00611337
          97    0.437016    0.447386   0.0060513
          98    0.483128    0.447751  0.00600053
          99     0.39214    0.447189  0.00596616
         100    0.442256     0.44714   0.0059067
