#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.215887    0.215887           0
           2    0.215038    0.215463 0.000300152
           3    0.215496    0.215474 0.000200304
           4    0.212853    0.214819 0.000586981
           5    0.209833    0.213822  0.00100784
           6    0.212442    0.213592 0.000865708
           7    0.211073    0.213232 0.000813358
           8    0.210604    0.212903 0.000775186
           9    0.215316    0.213171 0.000733939
          10    0.214708    0.213325 0.000676445
          11    0.217542    0.213708 0.000715399
          12    0.212409      0.2136 0.000663929
          13    0.207606    0.213139 0.000756212
          14    0.216279    0.213363 0.000734697
          15    0.214118    0.213414  0.00068744
          16    0.218626    0.213739 0.000717518
          17    0.204202    0.213178 0.000867348
          18    0.210497    0.213029 0.000831855
          19    0.213093    0.213033  0.00078808
          20    0.211085    0.212935 0.000754667
          21    0.211889    0.212886 0.000720373
          22    0.210521    0.212778   0.0006956
          23    0.213555    0.212812 0.000666175
          24    0.212754    0.212809 0.000638422
          25    0.209079     0.21266 0.000630085
          26    0.215145    0.212756 0.000613058
          27    0.206409    0.212521 0.000633822
          28    0.210848    0.212461 0.000613993
          29     0.21481    0.212542  0.00059814
          30    0.216363    0.212669 0.000591604
          31    0.213186    0.212686 0.000572755
          32    0.214264    0.212735 0.000556976
          33    0.212478    0.212728 0.000540152
          34    0.218397    0.212894 0.000549399
          35    0.220617    0.213115 0.000576314
          36    0.214254    0.213147 0.000561173
          37    0.209398    0.213045 0.000555075
          38    0.213385    0.213054 0.000540539
          39    0.206601    0.212889 0.000551424
          40    0.215654    0.212958 0.000541955
          41    0.213228    0.212964 0.000528777
          42    0.215437    0.213023 0.000519454
          43    0.219579    0.213176 0.000529276
          44    0.204455    0.212978 0.000553113
          45    0.213283    0.212984 0.000540863
          46    0.214417    0.213016 0.000530001
          47    0.208196    0.212913 0.000528553
          48    0.218293    0.213025 0.000529293
          49    0.205381    0.212869 0.000540993
          50    0.212938     0.21287 0.000530175
          51    0.211061    0.212835 0.000520965
          52    0.210203    0.212784   0.0005134
          53    0.209709    0.212726 0.000506982
          54    0.214017     0.21275 0.000498156
          55    0.217169    0.212831 0.000495536
          56    0.216377    0.212894 0.000490717
          57     0.21436     0.21292 0.000482781
          58    0.213325    0.212927 0.000474508
          59    0.209861    0.212875 0.000469302
          60    0.213376    0.212883 0.000461555
          61    0.214994    0.212918 0.000455283
          62    0.217307    0.212988 0.000453412
          63    0.206016    0.212878 0.000459522
          64    0.213815    0.212892 0.000452576
          65    0.211288    0.212868 0.000446286
          66    0.210845    0.212837 0.000440575
          67    0.217069      0.2129 0.000438503
          68    0.207596    0.212822 0.000438939
          69    0.215008    0.212854 0.000433719
          70    0.215198    0.212887 0.000428813
          71    0.211509    0.212868 0.000423212
          72    0.212942    0.212869 0.000417336
          73    0.205952    0.212774 0.000422237
          74    0.218892    0.212857 0.000424548
          75    0.210225    0.212822 0.000420335
          76    0.212504    0.212818 0.000414825
          77    0.215118    0.212848 0.000410512
          78    0.211134    0.212826 0.000405837
          79    0.211215    0.212805 0.000401211
          80    0.209845    0.212768 0.000397899
          81    0.212797    0.212769 0.000392987
          82    0.217671    0.212828 0.000392715
          83      0.2114    0.212811  0.00038836
          84    0.213201    0.212816 0.000383765
          85     0.21517    0.212843 0.000380248
          86    0.214705    0.212865 0.000376442
          87    0.210155    0.212834 0.000373402
          88    0.215355    0.212863 0.000370257
          89    0.212359    0.212857  0.00036614
          90    0.213033    0.212859 0.000362077
          91    0.208523    0.212811  0.00036122
          92    0.210991    0.212791 0.000357835
          93    0.214758    0.212813 0.000354612
          94    0.211562    0.212799 0.000351089
          95    0.210867    0.212779 0.000347982
          96    0.210874    0.212759 0.000344922
          97    0.216365    0.212796 0.000343364
          98    0.211458    0.212783 0.000340132
          99    0.212432    0.212779 0.000336715
         100    0.214902      0.2128 0.000334016
