#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     3.52189     3.52189           0
           2     3.66415     3.59302    0.050296
           3     3.48332     3.55645   0.0448959
           4     3.55447     3.55596   0.0336747
           5     3.78802     3.60237   0.0494875
           6     3.81249     3.63739   0.0521797
           7     3.74915     3.65336   0.0471047
           8     3.64185     3.65192   0.0412386
           9     3.40796     3.62481   0.0446856
          10     3.65373      3.6277   0.0403105
          11     3.46647     3.61305   0.0392203
          12      3.5385     3.60683   0.0364406
          13     3.39684     3.59068   0.0370452
          14     3.39588     3.57677     0.03692
          15     3.67684     3.58344   0.0350562
          16     3.48138     3.57706   0.0334405
          17     3.61801     3.57947     0.03156
          18     3.38239     3.56852   0.0316489
          19     3.65714     3.57318   0.0303249
          20     3.47393     3.56822   0.0292119
          21     3.57896     3.56873   0.0278253
          22     3.36845     3.55963   0.0280102
          23     3.59594     3.56121   0.0268369
          24      3.5061     3.55891   0.0258167
          25     3.50414     3.55672   0.0248768
          26     3.49762     3.55445   0.0240236
          27     3.38817     3.54829   0.0239102
          28     3.50532     3.54675   0.0231055
          29     3.79518     3.55532   0.0238439
          30     3.49204     3.55321   0.0231422
          31     3.62607     3.55556   0.0225148
          32     3.83844      3.5644   0.0234826
          33     3.73659     3.56962   0.0233435
          34     3.73164     3.57439   0.0231382
          35     3.46437     3.57124   0.0226896
          36     3.54602     3.57054   0.0220702
          37     3.63207      3.5722   0.0215363
          38     3.45818      3.5692   0.0211775
          39     3.44556     3.56603   0.0208704
          40     3.38786     3.56158   0.0208186
          41     3.37768     3.55709   0.0207884
          42      3.4588     3.55475   0.0204247
          43     3.42282     3.55169   0.0201789
          44     3.56769     3.55205   0.0197235
          45     3.61226     3.55339   0.0193306
          46     3.40632     3.55019   0.0191729
          47     3.56907     3.55059   0.0187692
          48      3.3475     3.54636    0.018849
          49     3.42507     3.54389   0.0186262
          50     3.47135     3.54243     0.01831
          51     3.58704     3.54331   0.0179719
          52     3.45846     3.54168   0.0177002
          53     3.54805      3.5418   0.0173666
          54     3.41118     3.53938   0.0172127
          55     3.52684     3.53915   0.0169012
          56     3.70334     3.54208   0.0168518
          57     3.76958     3.54607   0.0170223
          58     3.52349     3.54568   0.0167332
          59     3.55146     3.54578   0.0164499
          60     3.53706     3.54564   0.0161764
          61     3.66004     3.54751   0.0160195
          62     3.57126      3.5479   0.0157657
          63     3.81055     3.55206   0.0160573
          64     3.57065     3.55236    0.015809
          65     3.39515     3.54994   0.0157497
          66       3.452     3.54845   0.0155808
          67     3.43423     3.54675   0.0154412
          68     3.38117     3.54431   0.0154049
          69       3.703     3.54661   0.0153524
          70     3.45091     3.54525   0.0151938
          71     3.51551     3.54483   0.0149856
          72     3.68827     3.54682   0.0149093
          73     3.47599     3.54585   0.0147366
          74     3.50089     3.54524     0.01455
          75     3.54131     3.54519   0.0143561
          76     3.50938     3.54472   0.0141749
          77      3.4934     3.54405   0.0140065
          78     3.50162     3.54351   0.0138375
          79     3.49082     3.54284   0.0136784
          80     3.68238     3.54458   0.0136181
          81     3.58407     3.54507   0.0134587
          82     3.81259     3.54833   0.0136843
          83     3.58367     3.54876   0.0135261
          84     3.49277     3.54809   0.0133814
          85     3.45482       3.547   0.0132689
          86     3.57998     3.54738   0.0131202
          87     3.62807     3.54831   0.0130021
          88     3.68866      3.5499   0.0129518
          89     3.61969     3.55069     0.01283
          90     3.69601      3.5523   0.0127887
          91     3.54012     3.55217   0.0126488
          92     3.48913     3.55148   0.0125299
          93     3.41294     3.54999   0.0124834
          94      3.6816     3.55139   0.0124289
          95      3.7672     3.55366   0.0125039
          96     3.51148     3.55322   0.0123814
          97     3.42204     3.55187   0.0123274
          98     3.57138     3.55207   0.0122032
          99     3.62147     3.55277      0.0121
         100      3.7023     3.55427   0.0120711
