#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.935608   -0.935608           0
           2    -0.93136   -0.933484  0.00150189
           3   -0.937792    -0.93492  0.00154184
           4   -0.943056   -0.936954  0.00210715
           5     -0.9372   -0.937003  0.00168629
           6    -0.93976   -0.937463   0.0014665
           7   -0.937592   -0.937481  0.00125712
           8   -0.938648   -0.937627  0.00110841
           9   -0.941992   -0.938112  0.00108619
          10   -0.935856   -0.937886  0.00100073
          11   -0.937032   -0.937809 0.000912761
          12   -0.936368   -0.937689 0.000844557
          13   -0.942144   -0.938031 0.000846276
          14   -0.934848   -0.937804 0.000815803
          15   -0.933832   -0.937539 0.000803243
          16   -0.938208   -0.937581 0.000754127
          17   -0.932984   -0.937311 0.000756697
          18   -0.948632    -0.93794 0.000940403
          19   -0.935424   -0.937807  0.00090018
          20     -0.9266   -0.937247   0.0010147
          21    -0.93944   -0.937351 0.000971742
          22   -0.932424   -0.937127 0.000953032
          23   -0.935112    -0.93704 0.000915615
          24   -0.946216   -0.937422 0.000953961
          25   -0.936928   -0.937402 0.000916007
          26   -0.933192    -0.93724 0.000894975
          27   -0.946504   -0.937583 0.000925259
          28    -0.92816   -0.937247 0.000951455
          29   -0.939992   -0.937342 0.000923343
          30   -0.935952   -0.937295 0.000893726
          31   -0.930896   -0.937089 0.000888416
          32   -0.937152   -0.937091 0.000860655
          33   -0.938648   -0.937138 0.000835867
          34   -0.932832   -0.937011 0.000820821
          35   -0.931632   -0.936858 0.000811631
          36   -0.937448   -0.936874 0.000789251
          37   -0.933136   -0.936773 0.000774359
          38   -0.938048   -0.936807 0.000754708
          39   -0.941792   -0.936934 0.000746104
          40   -0.933968    -0.93686 0.000731127
          41    -0.93692   -0.936862 0.000713297
          42   -0.939872   -0.936933 0.000699905
          43   -0.939384    -0.93699 0.000685945
          44   -0.940608   -0.937073 0.000675265
          45   -0.929272   -0.936899 0.000682146
          46   -0.935336   -0.936865 0.000668162
          47   -0.945336   -0.937045 0.000677818
          48   -0.935792   -0.937019 0.000664199
          49   -0.924864   -0.936771 0.000695428
          50   -0.938712    -0.93681 0.000682602
          51   -0.940296   -0.936878 0.000672631
          52   -0.931064   -0.936767 0.000668925
          53    -0.94116    -0.93685  0.00066142
          54   -0.931496    -0.93675 0.000656559
          55   -0.937152   -0.936758 0.000644662
          56    -0.94172   -0.936846 0.000639212
          57    -0.94384   -0.936969 0.000639665
          58   -0.935496   -0.936944  0.00062914
          59   -0.933512   -0.936885 0.000621159
          60   -0.939232   -0.936925 0.000612037
          61    -0.93864   -0.936953 0.000602649
          62   -0.932984   -0.936889 0.000596319
          63   -0.929168   -0.936766 0.000599314
          64   -0.940168   -0.936819 0.000592302
          65   -0.944136   -0.936932  0.00059379
          66    -0.93092   -0.936841 0.000591738
          67   -0.938264   -0.936862 0.000583287
          68     -0.9404   -0.936914 0.000577026
          69   -0.935416   -0.936892 0.000569071
          70   -0.935552   -0.936873 0.000561264
          71    -0.92888   -0.936761 0.000564536
          72   -0.938024   -0.936778 0.000556968
          73   -0.933984    -0.93674 0.000550652
          74   -0.939872   -0.936782 0.000544835
          75    -0.93316   -0.936734 0.000539707
          76   -0.938816   -0.936761   0.0005333
          77   -0.936456   -0.936757 0.000526389
          78   -0.938504    -0.93678 0.000520117
          79   -0.932584   -0.936727 0.000516237
          80    -0.93628   -0.936721 0.000509815
          81   -0.930024   -0.936638 0.000510181
          82    -0.93228   -0.936585  0.00050672
          83   -0.940192   -0.936629 0.000502475
          84   -0.939808   -0.936666 0.000497917
          85   -0.932504   -0.936618 0.000494461
          86   -0.931952   -0.936563 0.000491679
          87    -0.93564   -0.936553 0.000486142
          88   -0.939296   -0.936584 0.000481616
          89      -0.936   -0.936577 0.000476249
          90   -0.930584   -0.936511  0.00047559
          91    -0.94656   -0.936621 0.000483015
          92    -0.94032   -0.936661 0.000479435
          93   -0.929208   -0.936581 0.000480932
          94   -0.925544   -0.936464 0.000489939
          95   -0.929928   -0.936395 0.000489588
          96   -0.945352   -0.936488 0.000493299
          97   -0.928768   -0.936409 0.000494592
          98   -0.939352   -0.936439 0.000490456
          99   -0.933352   -0.936408 0.000486492
         100   -0.941888   -0.936462 0.000484705
