#DISTANCE:     AVE_GOFR:        ERROR:
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913   0.0010271 0.000136481
    0.910562   0.0230214 0.000636877
    0.936212    0.162994  0.00151681
    0.961861    0.588749  0.00292313
    0.987511     1.23168  0.00443043
     1.01316     1.86996  0.00541684
     1.03881     2.31668  0.00612148
     1.06446     2.54682  0.00642493
     1.09011     2.50735  0.00580529
     1.11576     2.34718  0.00560861
     1.14141     2.21447  0.00533196
     1.16706     2.00655  0.00563791
     1.19271     1.76384  0.00920008
     1.21836     1.59071   0.0141784
     1.24401     1.36815  0.00562884
     1.26966     1.23596  0.00417899
     1.29531     1.09975  0.00338028
     1.32096     1.01856  0.00309781
     1.34661    0.944379  0.00296972
     1.37226    0.885067  0.00288945
     1.39791    0.822869  0.00273259
     1.42355    0.766077    0.002649
      1.4492    0.739043  0.00249985
     1.47485    0.700936  0.00222876
      1.5005    0.695307  0.00230265
     1.52615    0.669765  0.00241226
      1.5518    0.663577  0.00216205
     1.57745    0.659888  0.00207638
      1.6031    0.679684  0.00202868
     1.62875     0.71595  0.00203503
      1.6544    0.728882  0.00200303
     1.68005    0.737471  0.00215595
      1.7057    0.749537  0.00411431
     1.73135      0.7762  0.00215654
       1.757    0.808404  0.00186313
     1.78265    0.851989  0.00199865
      1.8083    0.898041   0.0022157
     1.83395    0.940327  0.00246518
      1.8596    0.955503  0.00237024
     1.88525    0.994772  0.00228642
      1.9109      1.0509  0.00241687
     1.93655     1.07903  0.00241421
      1.9622     1.13202  0.00232833
     1.98785     1.15849  0.00216314
      2.0135     1.16359  0.00216182
     2.03915     1.19032  0.00238299
      2.0648     1.24099  0.00363041
     2.09045     1.27846   0.0106939
      2.1161     1.24577  0.00438107
     2.14174     1.19535  0.00254705
     2.16739      1.1674  0.00214275
     2.19304     1.12403  0.00201648
     2.21869     1.10712  0.00211972
     2.24434     1.08621  0.00213774
     2.26999     1.05722  0.00215764
     2.29564     1.04598  0.00206195
     2.32129     0.99949  0.00188524
     2.34694    0.981757  0.00192325
     2.37259    0.959877  0.00171964
     2.39824    0.946937  0.00190302
     2.42389    0.942203  0.00361627
     2.44954     0.91818  0.00156731
     2.47519    0.899061  0.00151184
     2.50084    0.889797  0.00168461
     2.52649    0.893236   0.0017521
     2.55214    0.886875  0.00172709
