#BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.79296    -6.79296           0
           2    -6.79255    -6.79276 0.000142963
           3    -6.79188    -6.79246 0.000256681
           4    -6.79094    -6.79208 0.000382672
           5    -6.78972    -6.79161 0.000521781
           6    -6.78823    -6.79105 0.000673704
           7    -6.78645    -6.79039 0.000838081
           8    -6.78439    -6.78964  0.00101466
           9    -6.78204     -6.7888  0.00120329
          10    -6.77938    -6.78785  0.00140396
          11    -6.77625     -6.7868  0.00162477
          12    -6.77281    -6.78563  0.00186119
          13    -6.76918    -6.78437  0.00210479
          14     -6.7646    -6.78296  0.00238144
          15    -6.75996    -6.78142  0.00267096
          16    -6.75479    -6.77976  0.00297778
          17    -6.74938    -6.77797  0.00329552
          18     -6.7434    -6.77605   0.0036293
          19    -6.73683    -6.77399  0.00398236
          20     -6.7301    -6.77179  0.00434587
          21    -6.72229    -6.76943  0.00473521
          22    -6.71428    -6.76693  0.00514102
          23    -6.70573    -6.76427  0.00556355
          24    -6.69632    -6.76144  0.00600896
          25    -6.68633    -6.75843  0.00647624
          26    -6.67587    -6.75526  0.00696228
          27    -6.66431    -6.75189  0.00747498
          28    -6.65252    -6.74834  0.00800624
          29    -6.63987     -6.7446  0.00855944
          30    -6.62661    -6.74067   0.0091331
          31    -6.61302    -6.73655  0.00972251
          32     -6.5986    -6.73224   0.0103302
          33    -6.58273    -6.72771   0.0109658
          34    -6.56641    -6.72296   0.0116242
          35    -6.54811    -6.71797   0.0123189
          36    -6.52946    -6.71273   0.0130422
          37    -6.50996    -6.70725   0.0137932
          38    -6.48988    -6.70153   0.0145681
          39    -6.46845    -6.69555   0.0153717
          40    -6.44609    -6.68932   0.0162032
          41    -6.42308    -6.68282   0.0170596
          42    -6.39971    -6.67608   0.0179359
          43     -6.3743    -6.66906   0.0188418
          44    -6.34777    -6.66176   0.0197781
          45    -6.31995    -6.65417   0.0207459
          46    -6.29148    -6.64628   0.0217416
          47    -6.26115    -6.63809   0.0227709
          48    -6.23051     -6.6296   0.0238272
          49    -6.19868     -6.6208    0.024911
          50    -6.16648    -6.61172   0.0260172
          51    -6.13245    -6.60232   0.0271513
          52    -6.09785    -6.59262   0.0283093
          53    -6.06293    -6.58262   0.0294865
          54     -6.0264    -6.57232   0.0306869
          55     -5.9897    -6.56173    0.031905
          56    -5.95263    -6.55085   0.0331375
          57    -5.91574    -6.53971   0.0343784
          58    -5.87807     -6.5283   0.0356281
          59    -5.83958    -6.51663    0.036887
          60    -5.80127    -6.50471   0.0381504
          61    -5.76324    -6.49255   0.0394139
          62    -5.72484    -6.48017   0.0406767
          63    -5.68676    -6.46757   0.0419354
          64    -5.64941    -6.45479   0.0431847
          65    -5.61181    -6.44182    0.044425
          66    -5.57497    -6.42869   0.0456522
          67    -5.53866     -6.4154   0.0468637
          68    -5.50372      -6.402   0.0480541
          69    -5.46844    -6.38847   0.0492255
          70    -5.43455    -6.37484   0.0503732
          71    -5.40169    -6.36113   0.0514947
          72    -5.36949    -6.34736   0.0525891
          73    -5.33817    -6.33354    0.053655
          74    -5.30782    -6.31967   0.0546911
          75    -5.27837    -6.30579   0.0556963
          76    -5.25021     -6.2919   0.0566689
          77    -5.22372    -6.27803   0.0576059
          78    -5.19867    -6.26419   0.0585058
          79    -5.17574    -6.25041   0.0593653
          80    -5.15396    -6.23671   0.0601846
          81    -5.13413     -6.2231   0.0609615
          82    -5.11527    -6.20959   0.0616969
          83    -5.09907    -6.19621   0.0623875
          84    -5.08406    -6.18297    0.063034
