#BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    -4.89234    -4.89234           0
           2    -4.88927     -4.8908  0.00108432
           3    -4.88426    -4.88862  0.00192226
           4     -4.8773    -4.88579  0.00284328
           5     -4.8684    -4.88231  0.00385454
           6    -4.85753    -4.87818  0.00495318
           7    -4.84469     -4.8734  0.00613532
           8    -4.82987    -4.86796  0.00739753
           9    -4.81304    -4.86185  0.00873698
          10    -4.79418    -4.85509   0.0101514
          11    -4.77302    -4.84763   0.0116519
          12    -4.74978    -4.83947   0.0132298
          13    -4.72466    -4.83064   0.0148707
          14    -4.69642    -4.82105   0.0166141
          15    -4.66646    -4.81075   0.0184279
          16    -4.63403     -4.7997   0.0203183
          17    -4.59954    -4.78793    0.022275
          18    -4.56246     -4.7754   0.0243056
          19    -4.52274     -4.7621   0.0264149
          20    -4.48104    -4.74805   0.0285891
          21    -4.43585    -4.73318   0.0308519
          22    -4.38855    -4.71752   0.0331892
          23    -4.33859    -4.70104   0.0356013
          24    -4.28541    -4.68373   0.0380979
          25    -4.22941    -4.66555   0.0406779
          26    -4.17077    -4.64652   0.0433368
          27    -4.10842    -4.62659   0.0460871
          28    -4.04374    -4.60578   0.0489167
          29    -3.97567    -4.58405   0.0518313
          30     -3.9046     -4.5614   0.0548289
          31    -3.83092    -4.53784   0.0579028
          32    -3.75383    -4.51334    0.061057
          33    -3.67228    -4.48785   0.0643065
          34    -3.58787    -4.46138   0.0676439
          35    -3.49811    -4.43386     0.07109
          36    -3.40556    -4.40529   0.0746334
          37    -3.30945    -4.37568   0.0782727
          38    -3.21018    -4.34501   0.0820021
          39    -3.10651    -4.31325   0.0858285
          40    -2.99911     -4.2804   0.0897507
          41    -2.88844    -4.24645   0.0937633
          42    -2.77497    -4.21141   0.0978577
          43    -2.65606    -4.17524    0.102048
          44    -2.53321    -4.13792    0.106334
          45     -2.4062    -4.09944    0.110716
          46     -2.2761     -4.0598    0.115186
          47    -2.14107    -4.01898    0.119751
          48    -2.00367    -3.97699    0.124399
          49    -1.86261    -3.93384    0.129127
          50    -1.71929    -3.88955    0.133926
          51    -1.57153     -3.8441    0.138798
          52    -1.42151    -3.79751    0.143735
          53    -1.26973    -3.74982    0.148726
          54    -1.11433    -3.70101    0.153771
          55   -0.957792    -3.65113    0.158858
          56   -0.799969    -3.60022    0.163978
          57   -0.641933    -3.54832    0.169115
          58   -0.482344    -3.49546    0.174265
          59   -0.321319    -3.44166    0.179424
          60   -0.160653    -3.38698    0.184578
          61-0.000701255    -3.33146    0.189717
          62    0.159392    -3.27516    0.194833
          63    0.318328    -3.21812    0.199915
          64    0.475292    -3.16041    0.204952
          65    0.631653    -3.10207    0.209938
          66    0.785652    -3.04317    0.214862
          67    0.937458    -2.98375    0.219716
          68     1.08556    -2.92391    0.224486
          69     1.23256    -2.86367    0.229173
          70      1.3755    -2.80311    0.233763
          71     1.51482     -2.7423    0.238251
          72     1.65096    -2.68128    0.242629
          73     1.78338    -2.62012    0.246893
          74      1.9118    -2.55888    0.251038
          75     2.03618    -2.49761    0.255057
          76     2.15576    -2.43638    0.258946
          77      2.2698    -2.37526    0.262697
          78     2.37852    -2.31432    0.266305
          79     2.48071    -2.25362    0.269763
          80     2.57784    -2.19323    0.273067
          81     2.66849    -2.13321    0.276214
          82     2.75418     -2.0736    0.279202
          83     2.83211     -2.0145    0.282025
          84      2.9046    -1.95594    0.284682
          85     2.97015    -1.89798    0.287171
          86     3.02923    -1.84069    0.289491
          87     3.08238     -1.7841    0.291642
          88     3.12922    -1.72827    0.293623
          89     3.16992    -1.67323    0.295437
          90     3.20494    -1.61903    0.297085
          91      3.2336    -1.56571    0.298568
          92     3.25673    -1.51329    0.299889
          93     3.27493     -1.4618    0.301051
          94     3.28982    -1.41125    0.302063
          95     3.29946    -1.36167    0.302926
          96     3.30621    -1.31304    0.303647
          97     3.30912    -1.26539    0.304233
          98     3.31009     -1.2187     0.30469
          99     3.30909    -1.17297    0.305026
         100     3.30585    -1.12818    0.305246
         101     3.30222    -1.08431    0.305359
         102      3.2964    -1.04137    0.305371
         103     3.29017   -0.999313    0.305288
         104     3.28408   -0.958126    0.305118
         105      3.2779   -0.917783    0.304868
         106     3.27159   -0.878261    0.304543
         107     3.26463   -0.839542    0.304148
         108     3.25929    -0.80159     0.30369
         109     3.25448   -0.764378    0.303175
         110     3.24955   -0.727888    0.302607
         111     3.24596   -0.692087    0.301991
         112     3.24179   -0.656964    0.301331
         113     3.24063   -0.622472    0.300632
         114     3.23835   -0.588605    0.299896
         115     3.23682    -0.55534    0.299127
         116     3.23619   -0.522655    0.298329
         117     3.23641   -0.490526    0.297504
         118     3.23593   -0.458946    0.296654
         119     3.23516   -0.427903    0.295781
         120     3.23496   -0.397379    0.294887
         121     3.23429   -0.367365    0.293974
         122     3.23332   -0.337851    0.293042
         123     3.23367   -0.308815    0.292094
         124     3.23237   -0.280257    0.291131
         125     3.23229   -0.252156    0.290155
         126     3.23169   -0.224507    0.289167
         127     3.23105   -0.197298    0.288167
         128     3.22986   -0.170523    0.287157
         129     3.22812   -0.144177    0.286137
         130     3.22539   -0.118257    0.285108
         131     3.22215  -0.0927578    0.284069
         132      3.2194  -0.0676657    0.283023
         133     3.21766   -0.042964    0.281971
         134     3.21385  -0.0186594    0.280912
         135     3.21113  0.00526494    0.279849
         136     3.20762   0.0288117     0.27878
         137     3.20457   0.0519924    0.277707
         138     3.20154   0.0748152    0.276631
         139      3.1983   0.0972863    0.275552
         140     3.19439    0.119408     0.27447
         141     3.19102    0.141193    0.273387
         142     3.18674     0.16264    0.272301
         143      3.1837    0.183767    0.271215
         144     3.18066    0.204579    0.270129
         145     3.17735     0.22508    0.269043
         146     3.17323    0.245273    0.267957
         147     3.16968    0.265167    0.266872
         148     3.16592    0.284767    0.265787
         149      3.1614    0.304073    0.264704
         150     3.15702    0.323093    0.263622
         151     3.15272    0.341832    0.262541
         152     3.14726    0.360289    0.261462
         153      3.1423    0.378472    0.260384
         154     3.13614    0.396379    0.259308
         155     3.13023    0.414017    0.258235
         156     3.12367    0.431386    0.257163
         157     3.11674     0.44849    0.256093
         158     3.10906    0.465329    0.255025
         159     3.10242    0.481915     0.25396
         160     3.09526    0.498248    0.252897
         161     3.08699    0.514327    0.251837
         162     3.07994    0.530164     0.25078
         163     3.07329    0.545766    0.249727
         164     3.06719    0.561141    0.248677
         165     3.06203    0.576298    0.247631
         166     3.05623    0.591237    0.246589
         167      3.0521    0.605973    0.245553
         168     3.05044    0.620523    0.244522
         169     3.04843     0.63489    0.243497
         170     3.04781    0.649083    0.242478
         171     3.04836    0.663114    0.241465
         172     3.05031    0.676993     0.24046
         173      3.0534     0.69073    0.239462
         174      3.0571     0.70433    0.238472
         175     3.06232    0.717804    0.237489
         176     3.06919    0.731164    0.236515
         177      3.0757     0.74441     0.23555
         178     3.08343     0.75755    0.234593
         179     3.09346      0.7706    0.233645
         180     3.10254    0.783555    0.232706
         181     3.11175    0.796418    0.231775
         182     3.12119    0.809192    0.230854
         183     3.13005    0.821874     0.22994
         184     3.13866    0.834465    0.229035
         185      3.1474    0.846968    0.228138
         186     3.15642    0.859384    0.227249
         187     3.16587    0.871718    0.226368
         188     3.17445    0.883967    0.225495
         189     3.18259    0.896129     0.22463
         190      3.1907    0.908206    0.223772
         191     3.19778    0.920193    0.222921
         192     3.20474    0.932092    0.222078
         193     3.21084    0.943899    0.221241
         194     3.21605    0.955611     0.22041
         195     3.22034    0.967225    0.219585
         196     3.22419     0.97874    0.218767
         197     3.22684    0.990151    0.217954
         198     3.22754     1.00145    0.217146
         199     3.22916     1.01265    0.216343
         200     3.23022     1.02373    0.215545
         201      3.2302     1.03471    0.214752
         202     3.22808     1.04557    0.213963
         203     3.22693     1.05632    0.213179
         204     3.22405     1.06694    0.212399
         205     3.21912     1.07744    0.211622
         206     3.21303     1.08781    0.210848
         207     3.20643     1.09804    0.210078
         208     3.19853     1.10814    0.209311
         209      3.1895      1.1181    0.208546
         210     3.17856     1.12791    0.207783
         211     3.16592     1.13757    0.207023
         212       3.153     1.14708    0.206265
         213     3.13812     1.15642    0.205508
         214     3.12252     1.16561    0.204753
         215     3.10504     1.17463    0.203999
         216     3.08577     1.18348    0.203247
         217     3.06434     1.19215    0.202495
         218     3.04232     1.20063    0.201744
         219     3.01891     1.20894    0.200993
         220     2.99572     1.21706    0.200244
         221     2.97197       1.225    0.199495
         222     2.94809     1.23276    0.198747
         223     2.92333     1.24034       0.198
         224     2.89932     1.24775    0.197255
         225     2.87575     1.25498    0.196511
         226      2.8521     1.26205    0.195769
         227      2.8285     1.26895    0.195028
         228     2.80609     1.27569    0.194289
         229     2.78474     1.28228    0.193552
         230     2.76383     1.28872    0.192818
         231      2.7449     1.29503    0.192086
         232     2.72585      1.3012    0.191357
         233      2.7089     1.30724    0.190631
         234     2.69286     1.31316    0.189908
         235     2.67705     1.31896    0.189189
         236     2.66265     1.32466    0.188473
         237     2.64944     1.33025    0.187761
         238     2.63834     1.33574    0.187052
         239     2.62764     1.34115    0.186348
         240     2.61901     1.34647    0.185647
