#BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1         2.5         2.5           0
           2     2.49991     2.49996 3.18028e-05
           3     2.49964     2.49985 8.81935e-05
           4     2.49919     2.49969 0.000157217
           5     2.49856     2.49946  0.00023707
           6     2.49775     2.49918 0.000326654
           7     2.49676     2.49883 0.000425273
           8     2.49557     2.49842 0.000532478
           9      2.4942     2.49795 0.000647989
          10     2.49263     2.49742 0.000771648
          11     2.49085     2.49682 0.000903394
          12     2.48887     2.49616   0.0010432
          13     2.48668     2.49543  0.00119109
          14     2.48426     2.49463  0.00134722
          15      2.4816     2.49376  0.00151172
          16     2.47871     2.49282  0.00168474
          17     2.47557     2.49181  0.00186655
          18     2.47216     2.49072  0.00205747
          19     2.46847     2.48955  0.00225785
          20      2.4645     2.48829  0.00246805
          21     2.46021     2.48696  0.00268848
          22     2.45561     2.48553  0.00291957
          23     2.45067     2.48402  0.00316175
          24     2.44537     2.48241   0.0034155
          25      2.4397      2.4807  0.00368134
          26     2.43364     2.47889  0.00395975
          27     2.42717     2.47697  0.00425126
          28     2.42026     2.47495  0.00455638
          29     2.41291     2.47281  0.00487568
          30     2.40507     2.47055  0.00520976
          31     2.39674     2.46817  0.00555925
          32     2.38787     2.46566   0.0059248
          33     2.37846     2.46302  0.00630701
          34     2.36848     2.46024  0.00670646
          35      2.3579     2.45731  0.00712372
          36     2.34671     2.45424  0.00755936
          37     2.33488     2.45101  0.00801392
          38     2.32238     2.44763  0.00848795
          39     2.30919     2.44408  0.00898193
          40     2.29531     2.44036  0.00949628
          41      2.2807     2.43647   0.0100314
          42     2.26536     2.43239   0.0105875
          43     2.24927     2.42813    0.011165
          44     2.23243     2.42369   0.0117638
          45     2.21485     2.41904    0.012384
          46      2.1965     2.41421   0.0130256
          47     2.17742     2.40917   0.0136881
          48      2.1576     2.40393   0.0143713
          49     2.13707     2.39848   0.0150746
          50     2.11586     2.39283   0.0157974
          51     2.09399     2.38697   0.0165387
          52      2.0715      2.3809   0.0172976
          53     2.04844     2.37463   0.0180729
          54     2.02486     2.36815   0.0188632
          55     2.00081     2.36147   0.0196671
          56     1.97635      2.3546   0.0204831
          57     1.95154     2.34753   0.0213094
          58     1.92644     2.34027   0.0221442
          59     1.90114     2.33282   0.0229857
          60     1.87568      2.3252   0.0238319
          61     1.85014     2.31742   0.0246809
          62     1.82459     2.30947   0.0255308
          63     1.79909     2.30137   0.0263796
          64     1.77371     2.29312   0.0272253
          65     1.74851     2.28474   0.0280661
          66     1.72355     2.27624   0.0289002
          67     1.69889     2.26762   0.0297258
          68     1.67458      2.2589   0.0305412
          69     1.65069     2.25009   0.0313448
          70     1.62728     2.24119   0.0321349
          71     1.60439     2.23222   0.0329102
          72     1.58208     2.22319   0.0336691
          73     1.56041     2.21411   0.0344103
          74     1.53943     2.20499   0.0351324
          75      1.5192     2.19585   0.0358341
          76     1.49977     2.18669   0.0365143
          77      1.4812     2.17753   0.0371718
          78     1.46355     2.16838   0.0378055
          79     1.44685     2.15924   0.0384144
          80     1.43117     2.15014   0.0389974
          81     1.41655     2.14108   0.0395536
          82     1.40303     2.13208   0.0400822
          83     1.39065     2.12315   0.0405825
          84     1.37945      2.1143   0.0410538
          85     1.36945     2.10553   0.0414955
          86     1.36065     2.09687   0.0419072
          87     1.35306     2.08832   0.0422886
          88     1.34668      2.0799   0.0426396
          89     1.34149      2.0716   0.0429601
          90     1.33744     2.06344   0.0432503
          91      1.3345     2.05543   0.0435105
          92     1.33261     2.04757   0.0437411
          93     1.33171     2.03988   0.0439429
          94      1.3317     2.03234   0.0441165
          95     1.33251     2.02498   0.0442629
          96     1.33405     2.01778   0.0443831
          97     1.33622     2.01075   0.0444782
          98     1.33891      2.0039   0.0445496
          99     1.34203     1.99721   0.0445984
         100     1.34549     1.99069    0.044626
         101     1.34919     1.98434   0.0446339
         102     1.35305     1.97815   0.0446234
         103     1.35698     1.97212   0.0445958
         104     1.36092     1.96625   0.0445526
         105     1.36481     1.96052   0.0444949
         106      1.3686     1.95493   0.0444242
         107     1.37224     1.94949   0.0443415
         108      1.3757     1.94418   0.0442481
         109     1.37896     1.93899    0.044145
         110       1.382     1.93393   0.0440331
         111     1.38481     1.92898   0.0439134
         112     1.38738     1.92414   0.0437868
         113     1.38972     1.91941   0.0436539
         114     1.39185     1.91479   0.0435156
         115     1.39377     1.91026   0.0433724
         116      1.3955     1.90582   0.0432249
         117     1.39706     1.90147   0.0430737
