# DISTANCE:     AVE_GOFR:        ERROR:
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913 0.000244547           0
    0.910562   0.0229521           0
    0.936212    0.159165           0
    0.961861    0.580133           0
    0.987511     1.20667           0
     1.01316     1.87435           0
     1.03881     2.35231           0
     1.06446     2.57682           0
     1.09011     2.59953           0
     1.11576     2.35852           0
     1.14141     2.16037           0
     1.16706     1.87413           0
     1.19271      1.7403           0
     1.21836     1.53457           0
     1.24401     1.35765           0
     1.26966     1.26036           0
     1.29531     1.14865           0
     1.32096     1.06969           0
     1.34661    0.943812           0
     1.37226    0.855735           0
     1.39791    0.806234           0
     1.42355    0.786432           0
      1.4492    0.739065           0
     1.47485    0.724313           0
      1.5005    0.698391           0
     1.52615    0.680036           0
      1.5518    0.672753           0
     1.57745    0.673602           0
      1.6031    0.692162           0
     1.62875    0.683726           0
      1.6544    0.715114           0
     1.68005    0.739099           0
      1.7057    0.756549           0
     1.73135    0.804288           0
       1.757     0.81605           0
     1.78265    0.864111           0
      1.8083    0.895636           0
     1.83395    0.928467           0
      1.8596    0.955344           0
     1.88525    0.983415           0
      1.9109     1.04674           0
     1.93655     1.07761           0
      1.9622     1.11483           0
     1.98785     1.15404           0
      2.0135     1.19554           0
     2.03915     1.22013           0
      2.0648     1.22459           0
     2.09045     1.24083           0
      2.1161     1.22551           0
     2.14174     1.19887           0
     2.16739     1.20617           0
     2.19304     1.14851           0
     2.21869     1.10084           0
     2.24434     1.08773           0
     2.26999     1.05381           0
     2.29564     1.01836           0
     2.32129    0.996215           0
     2.34694    0.976119           0
     2.37259     0.95466           0
     2.39824    0.946544           0
     2.42389    0.924564           0
     2.44954     0.88332           0
     2.47519    0.911762           0
     2.50084    0.903428           0
     2.52649    0.883329           0
     2.55214    0.901427           0
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913 0.000596084 0.000248574
    0.910562   0.0253773  0.00171483
    0.936212    0.161282  0.00149663
    0.961861    0.594363   0.0100624
    0.987511     1.22172     0.01064
     1.01316     1.87124  0.00220136
     1.03881      2.3673   0.0105955
     1.06446     2.58836  0.00815646
     1.09011     2.55958   0.0282456
     1.11576     2.35863  7.4781e-05
     1.14141      2.1823   0.0154999
     1.16706     1.90524   0.0219968
     1.19271     1.74625  0.00421218
     1.21836     1.53937  0.00339242
     1.24401     1.35363  0.00284381
     1.26966     1.25057  0.00692494
     1.29531     1.13589  0.00902422
     1.32096     1.05547   0.0100547
     1.34661    0.947369  0.00251567
     1.37226    0.843277  0.00880911
     1.39791    0.798131  0.00572995
     1.42355    0.771088   0.0108502
      1.4492    0.727126  0.00844252
     1.47485    0.697229    0.019151
      1.5005    0.688226  0.00718724
     1.52615    0.678628 0.000995641
      1.5518    0.679304  0.00463224
     1.57745    0.685305   0.0082752
      1.6031    0.696302  0.00292772
     1.62875    0.694834  0.00785467
      1.6544     0.71985  0.00334886
     1.68005    0.744133  0.00355923
      1.7057    0.761444  0.00346172
     1.73135    0.793922  0.00732969
       1.757     0.81536 0.000488009
     1.78265    0.858107  0.00424529
      1.8083    0.907828  0.00862155
     1.83395    0.936171  0.00544797
      1.8596    0.959912  0.00323063
     1.88525    0.997643    0.010061
      1.9109      1.0523  0.00393332
     1.93655     1.08386  0.00441885
      1.9622     1.11916  0.00306209
     1.98785     1.15815  0.00290862
      2.0135     1.20796  0.00878679
     2.03915     1.22379  0.00258703
      2.0648     1.21917  0.00383337
     2.09045     1.22089   0.0141054
      2.1161     1.21874  0.00478761
     2.14174     1.20441  0.00391344
     2.16739     1.19523  0.00773642
     2.19304     1.14883 0.000225252
     2.21869     1.09542  0.00382723
     2.24434     1.08249  0.00371001
     2.26999     1.04922  0.00324394
     2.29564     1.01458  0.00266596
     2.32129    0.982918  0.00940224
     2.34694    0.969726  0.00452056
     2.37259    0.951745  0.00206132
     2.39824    0.937699    0.006254
     2.42389    0.925902 0.000946442
     2.44954    0.900559   0.0121899
     2.47519    0.910179  0.00111898
     2.50084    0.902257 0.000828199
     2.52649    0.898105   0.0104483
     2.55214    0.902502 0.000760155
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913  0.00113103 0.000467162
    0.910562   0.0237413   0.0017582
    0.936212    0.168114  0.00566696
    0.961861    0.590232  0.00750853
    0.987511     1.22355  0.00724809
     1.01316     1.87194  0.00157597
     1.03881     2.36916  0.00722499
     1.06446     2.59343  0.00683771
     1.09011     2.53097   0.0300052
     1.11576     2.35888 0.000212643
     1.14141     2.15977   0.0210967
     1.16706     1.91969   0.0188199
     1.19271     1.75289  0.00610245
     1.21836     1.54847  0.00776513
     1.24401     1.37526   0.0177622
     1.26966     1.23648   0.0123961
     1.29531      1.1284   0.0085803
     1.32096     1.04235   0.0126381
     1.34661    0.944797  0.00268754
     1.37226    0.854409   0.0108212
     1.39791    0.809545   0.0100727
     1.42355    0.770895  0.00723518
      1.4492    0.734343  0.00814867
     1.47485    0.699236    0.012872
      1.5005     0.68302  0.00640531
     1.52615    0.681814  0.00268478
      1.5518     0.67887  0.00310843
     1.57745    0.679939  0.00704515
      1.6031    0.692947  0.00336348
     1.62875    0.698973  0.00623222
      1.6544     0.71863  0.00244474
     1.68005      0.7388  0.00495904
      1.7057     0.76292  0.00260336
     1.73135    0.794031  0.00488727
       1.757    0.825335  0.00815092
     1.78265    0.860834  0.00360103
      1.8083    0.899835  0.00869647
     1.83395    0.939226  0.00440585
      1.8596     0.96432  0.00419381
     1.88525     1.00261  0.00783634
      1.9109     1.05476  0.00330393
     1.93655      1.0921    0.007342
      1.9622     1.12526  0.00537832
     1.98785     1.15924  0.00213166
      2.0135     1.20417  0.00662643
     2.03915     1.21274  0.00918159
      2.0648     1.21849  0.00261397
     2.09045     1.21306   0.0113672
      2.1161     1.19853   0.0168134
     2.14174     1.18996   0.0120818
     2.16739     1.17659   0.0160677
     2.19304     1.14293  0.00481688
     2.21869     1.10221  0.00610203
     2.24434     1.08533  0.00339057
     2.26999     1.05147   0.0028364
     2.29564     1.02087  0.00543327
     2.32129    0.992472   0.0100075
     2.34694    0.979002  0.00815133
     2.37259    0.959022  0.00609841
     2.39824    0.945219  0.00742153
     2.42389    0.931196  0.00436789
     2.44954    0.904178  0.00864702
     2.47519    0.914819  0.00386076
     2.50084    0.901466 0.000849714
     2.52649    0.900697  0.00727983
     2.55214    0.898761  0.00309613
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913 0.000917052 0.000396359
    0.910562   0.0244029  0.00143776
    0.936212    0.170683  0.00479749
    0.961861    0.585857  0.00678723
    0.987511     1.22286  0.00546817
     1.01316     1.86058  0.00990431
     1.03881      2.3531   0.0149238
     1.06446       2.575   0.0167638
     1.09011     2.54585   0.0259315
     1.11576     2.36972  0.00939048
     1.14141     2.17402   0.0200656
     1.16706     1.92475   0.0147788
     1.19271     1.75103  0.00485106
     1.21836     1.55432  0.00771976
     1.24401     1.37482    0.013327
     1.26966     1.23825  0.00942233
     1.29531     1.12184   0.0085804
     1.32096     1.03516   0.0113386
     1.34661    0.940944   0.0038988
     1.37226    0.855862  0.00821293
     1.39791    0.809597  0.00755467
     1.42355    0.775863  0.00692515
      1.4492     0.74316  0.00978061
     1.47485    0.710045   0.0134471
      1.5005    0.691405  0.00870699
     1.52615    0.686557  0.00457469
      1.5518    0.675161  0.00396877
     1.57745    0.679858  0.00528433
      1.6031     0.69056   0.0032618
     1.62875    0.695802  0.00542122
      1.6544    0.713933  0.00446159
     1.68005    0.738656  0.00372136
      1.7057    0.761529  0.00229432
     1.73135    0.789923  0.00510812
       1.757    0.819235  0.00807926
     1.78265    0.856958  0.00430812
      1.8083    0.898549  0.00661675
     1.83395    0.938472  0.00336826
      1.8596    0.967669  0.00427863
     1.88525     1.00457  0.00611894
      1.9109     1.05269   0.0030609
     1.93655     1.08958  0.00592178
      1.9622      1.1268  0.00424959
     1.98785     1.16072   0.0020522
      2.0135     1.19692   0.0080102
     2.03915     1.20629  0.00886731
      2.0648     1.21234  0.00567711
     2.09045     1.21476  0.00865078
      2.1161     1.20103   0.0127953
     2.14174     1.19071  0.00908485
     2.16739     1.17356   0.0123337
     2.19304     1.14123  0.00390242
     2.21869      1.1019  0.00458458
     2.24434     1.08279  0.00335885
     2.26999     1.05823  0.00623189
     2.29564     1.02859   0.0078285
     2.32129    0.999933  0.00990356
     2.34694    0.984107  0.00754466
     2.37259    0.970911   0.0112668
     2.39824    0.952295  0.00827851
     2.42389    0.930879  0.00328736
     2.44954    0.905646  0.00660873
     2.47519    0.911815  0.00389209
     2.50084    0.899505  0.00181392
     2.52649    0.898215  0.00586767
     2.55214    0.895564  0.00361368
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
