#DISTANCE:     AVE_GOFR:        ERROR:
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263 1.49134e-05  6.4909e-06
    0.884913  0.00137069 7.83479e-05
    0.910562    0.024965 0.000377212
    0.936212    0.170847   0.0008694
    0.961861    0.581235  0.00171163
    0.987511     1.22633  0.00232138
     1.01316     1.88417  0.00342949
     1.03881      2.3457  0.00421732
     1.06446     2.55619  0.00454116
     1.09011     2.54689  0.00397248
     1.11576     2.40086  0.00352246
     1.14141     2.18196  0.00347995
     1.16706     1.95317  0.00325934
     1.19271     1.74118  0.00334633
     1.21836     1.54887  0.00295633
     1.24401     1.38166  0.00262431
     1.26966     1.24068  0.00235395
     1.29531     1.12021  0.00250281
     1.32096     1.02158  0.00256278
     1.34661    0.939942  0.00227708
     1.37226     0.87131  0.00213413
     1.39791    0.813536  0.00194218
     1.42355    0.770711  0.00195282
      1.4492     0.73585  0.00184531
     1.47485    0.710288  0.00188027
      1.5005    0.691057  0.00189842
     1.52615    0.679355  0.00172868
      1.5518    0.671266  0.00157204
     1.57745     0.67238  0.00165061
      1.6031    0.679592  0.00185365
     1.62875    0.689484  0.00177339
      1.6544    0.705966  0.00169156
     1.68005     0.72615  0.00152782
      1.7057    0.754256  0.00157444
     1.73135    0.785178   0.0015301
       1.757     0.82037  0.00174718
     1.78265    0.857799  0.00179216
      1.8083    0.895749  0.00174621
     1.83395    0.938121  0.00186392
      1.8596    0.983972  0.00195436
     1.88525     1.02592  0.00220238
      1.9109     1.06357  0.00178819
     1.93655     1.09806  0.00165203
      1.9622      1.1323  0.00169805
     1.98785     1.16349  0.00180432
      2.0135     1.18953  0.00157177
     2.03915     1.20586  0.00144947
      2.0648     1.21502   0.0015582
     2.09045     1.21422   0.0016787
      2.1161     1.20422   0.0017878
     2.14174     1.18775  0.00157683
     2.16739     1.16931  0.00163263
     2.19304     1.14325  0.00158834
     2.21869     1.11481  0.00157501
     2.24434     1.08624  0.00163144
     2.26999     1.06037  0.00168843
     2.29564     1.03412  0.00170903
     2.32129     1.00714  0.00159219
     2.34694    0.981493   0.0015047
     2.37259    0.961349  0.00153589
     2.39824    0.942618  0.00150387
     2.42389    0.927091  0.00137569
     2.44954    0.911772  0.00148063
     2.47519    0.902578  0.00124625
     2.50084    0.896548  0.00129012
     2.52649    0.893352  0.00130424
     2.55214    0.893692  0.00126141
