#BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.45002    -5.45002           0
           2    -5.43128    -5.44065  0.00662412
           3    -5.43288    -5.43806  0.00489657
           4    -5.45229    -5.44162   0.0047945
           5    -5.46346    -5.44599  0.00547601
           6    -5.43439    -5.44405  0.00489269
           7    -5.42626    -5.44151  0.00480852
           8     -5.4476    -5.44227  0.00426732
           9    -5.44165     -5.4422  0.00379374
          10    -5.44099    -5.44208   0.0034163
          11    -5.43508    -5.44145  0.00316448
          12    -5.44893    -5.44207  0.00296168
          13    -5.44489    -5.44229  0.00274182
          14     -5.4395    -5.44209   0.0025532
          15    -5.45783    -5.44314  0.00258981
          16    -5.45999    -5.44419  0.00263334
          17    -5.45017    -5.44454  0.00250183
          18    -5.46075    -5.44544   0.0025196
          19    -5.44224    -5.44527  0.00239262
          20    -5.44814    -5.44542  0.00227729
          21    -5.45355     -5.4458   0.0022015
          22    -5.42106    -5.44468  0.00237149
          23    -5.45385    -5.44508  0.00230168
          24    -5.45981    -5.44569  0.00228616
          25    -5.43722    -5.44535  0.00221971
          26    -5.45857    -5.44586  0.00219174
          27    -5.44336    -5.44577  0.00211252
          28    -5.45005    -5.44592   0.0020426
          29    -5.43906    -5.44568  0.00198583
          30    -5.44771    -5.44575  0.00192078
          31    -5.45362    -5.44601  0.00187552
          32    -5.44178    -5.44587  0.00182155
          33    -5.43679     -5.4456  0.00178704
          34    -5.44417    -5.44556  0.00173497
          35    -5.44618    -5.44557   0.0016855
          36    -5.44942    -5.44568  0.00164206
          37    -5.44348    -5.44562  0.00159876
          38    -5.43352     -5.4453   0.0015881
          39     -5.4578    -5.44562  0.00157936
          40    -5.46086      -5.446  0.00158515
          41    -5.46012    -5.44635  0.00158343
          42    -5.42981    -5.44596  0.00159395
          43    -5.44874    -5.44602  0.00155819
          44    -5.44658    -5.44603  0.00152283
          45    -5.44843    -5.44609  0.00148992
          46    -5.44794    -5.44613  0.00145807
          47    -5.45019    -5.44621  0.00142961
          48    -5.44439    -5.44617  0.00140034
          49    -5.44707    -5.44619  0.00137188
          50    -5.43782    -5.44603  0.00135462
          51    -5.43332    -5.44578  0.00135079
          52    -5.43846    -5.44564  0.00133212
          53    -5.43908    -5.44551  0.00131271
          54     -5.4249    -5.44513  0.00134274
          55    -5.43688    -5.44498  0.00132669
          56    -5.43772    -5.44485  0.00130933
          57    -5.42848    -5.44456  0.00131746
          58    -5.44885    -5.44464  0.00129682
          59    -5.44591    -5.44466  0.00127502
          60    -5.41934    -5.44424  0.00132178
          61    -5.43818    -5.44414  0.00130383
          62    -5.46439    -5.44446  0.00132307
          63    -5.44508    -5.44447   0.0013021
          64    -5.44174    -5.44443  0.00128246
          65    -5.46437    -5.44474  0.00129891
          66    -5.44298    -5.44471   0.0012795
          67    -5.45894    -5.44492   0.0012779
          68    -5.42511    -5.44463   0.0012919
          69    -5.45786    -5.44482  0.00128733
          70    -5.44573    -5.44484    0.001269
          71     -5.4516    -5.44493   0.0012547
          72    -5.44735    -5.44497  0.00123772
          73    -5.44562    -5.44497   0.0012208
          74    -5.44979    -5.44504  0.00120603
          75    -5.44368    -5.44502  0.00119009
          76    -5.45084     -5.4451  0.00117689
          77    -5.47198    -5.44545  0.00121226
          78    -5.47235    -5.44579  0.00124483
          79    -5.45096    -5.44586  0.00123079
          80    -5.43674    -5.44574  0.00122066
          81    -5.44369    -5.44572  0.00120586
          82     -5.4639    -5.44594  0.00121136
          83    -5.43568    -5.44582  0.00120306
          84    -5.43452    -5.44568  0.00119623
          85    -5.44069    -5.44562   0.0011836
          86    -5.44414    -5.44561  0.00116997
          87    -5.45188    -5.44568  0.00115874
          88    -5.43616    -5.44557   0.0011506
          89    -5.45576    -5.44568  0.00114336
          90    -5.47183    -5.44597  0.00116697
          91    -5.44218    -5.44593  0.00115489
          92    -5.44362    -5.44591  0.00114262
          93    -5.47287     -5.4462  0.00116653
          94    -5.45461    -5.44629  0.00115755
          95    -5.44005    -5.44622  0.00114722
          96    -5.43302    -5.44608  0.00114349
          97    -5.46634    -5.44629  0.00115061
          98    -5.44535    -5.44628  0.00113891
          99    -5.44297    -5.44625   0.0011279
         100    -5.45819    -5.44637  0.00112291
