#BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.43401     1.43401           0
           2      1.5503     1.49216   0.0411125
           3      1.5034     1.49591   0.0275788
           4     1.42061     1.47708   0.0263365
           5     1.40014     1.46169   0.0251665
           6     1.51589     1.47073   0.0225349
           7     1.62124     1.49223   0.0277381
           8     1.46676     1.48904   0.0244529
           9     1.52772     1.49334   0.0221103
          10     1.44221     1.48823   0.0204821
          11     1.53361     1.49235    0.019031
          12     1.47408     1.49083   0.0175059
          13     1.54168     1.49474   0.0165906
          14     1.60458     1.50259   0.0171608
          15     1.43104     1.49782   0.0166665
          16     1.42432     1.49322   0.0162456
          17     1.46281     1.49144   0.0153882
          18     1.45115      1.4892   0.0146952
          19     1.59202     1.49461   0.0148849
          20     1.52715     1.49624   0.0142293
          21     1.41818     1.49252   0.0140287
          22     1.56358     1.49575   0.0137579
          23     1.44193     1.49341   0.0133572
          24     1.47964     1.49284    0.012813
          25     1.55714     1.49541    0.012556
          26      1.4759     1.49466   0.0120954
          27      1.5354     1.49617   0.0117412
          28     1.47472      1.4954   0.0113468
          29     1.55504     1.49746   0.0111404
          30     1.52866      1.4985   0.0108175
          31     1.42739      1.4962    0.010709
          32     1.50644     1.49652   0.0103791
          33     1.54791     1.49808   0.0101807
          34     1.50538     1.49829  0.00988354
          35     1.45852     1.49716  0.00966628
          36     1.47275     1.49648  0.00942152
          37      1.4957     1.49646  0.00916691
          38     1.60319     1.49927   0.0093461
          39     1.46383     1.49836  0.00915053
          40     1.41969     1.49639  0.00913067
          41     1.38911     1.49378  0.00927535
          42     1.48897     1.49366  0.00905521
          43     1.41657     1.49187  0.00902034
          44      1.4998     1.49205  0.00881713
          45     1.44719     1.49105  0.00867736
          46      1.4578     1.49033  0.00851878
          47     1.47402     1.48998   0.0083446
          48     1.49988     1.49019   0.0081733
          49      1.4814     1.49001  0.00800847
          50     1.56963      1.4916  0.00800506
          51      1.5323      1.4924  0.00788776
          52     1.51618     1.49286  0.00774933
          53     1.49689     1.49293  0.00760349
          54     1.57335     1.49442  0.00760712
          55     1.55525     1.49553  0.00754877
          56     1.45881     1.49487  0.00744238
          57     1.60318     1.49677   0.0075505
          58     1.49206     1.49669  0.00742076
          59     1.46939     1.49623  0.00730939
          60     1.62809     1.49843  0.00751071
          61     1.60633     1.50019  0.00759302
          62     1.36175     1.49796  0.00779198
          63      1.4592     1.49735  0.00769255
          64     1.50185     1.49742  0.00757267
          65     1.30284     1.49442  0.00802603
          66     1.50884     1.49464   0.0079074
          67     1.43052     1.49369  0.00784707
          68     1.57724     1.49491  0.00782728
          69      1.4774     1.49466  0.00771796
          70     1.48917     1.49458   0.0076081
          71     1.45275     1.49399  0.00752372
          72     1.50357     1.49413   0.0074204
          73     1.47699     1.49389  0.00732247
          74     1.45972     1.49343  0.00723806
          75     1.45331     1.49289  0.00716129
          76     1.45982     1.49246  0.00708027
          77     1.34157      1.4905  0.00725444
          78     1.42079     1.48961  0.00721628
          79     1.49769     1.48971  0.00712566
          80     1.52942      1.4902  0.00705386
          81     1.51611     1.49052  0.00697402
          82     1.44366     1.48995  0.00691236
          83     1.55986     1.49079   0.0068802
          84     1.59895     1.49208  0.00691771
          85     1.46376     1.49175  0.00684435
          86     1.48957     1.49172  0.00676481
          87     1.49444     1.49175  0.00668712
          88     1.55059     1.49242  0.00664447
          89     1.48247     1.49231  0.00657076
          90     1.31049     1.49029  0.00680124
          91     1.48233      1.4902  0.00672706
          92     1.50643     1.49038  0.00665625
          93     1.40515     1.48946  0.00664746
          94     1.50147     1.48959  0.00657797
          95     1.57197     1.49046  0.00656564
          96     1.59675     1.49157  0.00658994
          97     1.39111     1.49053  0.00660288
          98     1.49487     1.49057  0.00653565
          99     1.52661     1.49094  0.00647976
         100      1.3948     1.48998   0.0064859
