#BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.43558     1.43558           0
           2     1.43659     1.43608 0.000355293
           3     1.43763      1.4366 0.000483109
           4     1.43872     1.43713 0.000585096
           5     1.43986     1.43767 0.000676503
           6     1.44104     1.43824 0.000762037
           7     1.44227     1.43881 0.000843553
           8     1.44353      1.4394 0.000921652
           9     1.44482        1.44 0.000996323
          10      1.4461     1.44061  0.00106722
          11     1.44738     1.44123   0.0011338
          12     1.44863     1.44185  0.00119544
          13     1.44984     1.44246  0.00125153
          14     1.45097     1.44307  0.00130147
          15     1.45203     1.44367   0.0013447
          16     1.45297     1.44425  0.00138071
          17      1.4538     1.44481  0.00140911
          18     1.45448     1.44535  0.00142965
          19     1.45502     1.44586  0.00144224
          20      1.4554     1.44633  0.00144694
          21     1.45562     1.44678  0.00144401
          22     1.45567     1.44718  0.00143386
          23     1.45556     1.44754  0.00141704
          24     1.45529     1.44787  0.00139426
          25     1.45487     1.44815  0.00136635
          26     1.45432     1.44838  0.00133424
          27     1.45364     1.44858  0.00129893
          28     1.45285     1.44873  0.00126148
          29     1.45198     1.44884  0.00122295
          30     1.45105     1.44892  0.00118438
          31     1.45007     1.44895  0.00114675
          32     1.44906     1.44896  0.00111092
          33     1.44806     1.44893  0.00107759
          34     1.44708     1.44888  0.00104727
          35     1.44614      1.4488  0.00102025
          36     1.44526      1.4487 0.000996618
          37     1.44446     1.44859 0.000976248
          38     1.44374     1.44846 0.000958836
          39     1.44313     1.44832 0.000943948
          40     1.44262     1.44818  0.00093106
          41     1.44222     1.44803 0.000919618
          42     1.44194     1.44789 0.000909091
          43     1.44177     1.44775 0.000899003
          44     1.44171     1.44761 0.000888965
          45     1.44175     1.44748 0.000878682
          46     1.44188     1.44736 0.000867958
          47     1.44209     1.44725 0.000856696
          48     1.44236     1.44714 0.000844884
          49     1.44266     1.44705 0.000832578
          50     1.44299     1.44697  0.00081988
          51     1.44332      1.4469 0.000806924
          52     1.44363     1.44684 0.000793856
          53     1.44389     1.44678  0.00078082
          54     1.44409     1.44673  0.00076795
          55      1.4442     1.44668 0.000755363
          56      1.4442     1.44664 0.000743172
          57     1.44408      1.4466  0.00073149
          58     1.44381     1.44655 0.000720457
          59     1.44337     1.44649  0.00071026
          60     1.44274     1.44643 0.000701167
          61     1.44192     1.44636 0.000693558
          62     1.44089     1.44627 0.000687953
          63     1.43964     1.44616  0.00068504
          64     1.43815     1.44604 0.000685683
          65     1.43642     1.44589 0.000690901
          66     1.43446     1.44572  0.00070182
          67     1.43224     1.44552 0.000719586
          68     1.42979     1.44528  0.00074526
          69     1.42709     1.44502 0.000779714
          70     1.42416     1.44472 0.000823549
          71     1.42101     1.44439 0.000877066
          72     1.41764     1.44402 0.000940267
          73     1.41408     1.44361   0.0010129
          74     1.41033     1.44316  0.00109451
          75     1.40642     1.44267  0.00118448
          76     1.40237     1.44214  0.00128212
          77      1.3982     1.44157  0.00138664
          78     1.39395     1.44096  0.00149721
          79     1.38964     1.44031    0.001613
          80     1.38531     1.43962  0.00173317
          81     1.38097      1.4389  0.00185687
          82     1.37666     1.43814  0.00198326
          83     1.37242     1.43734   0.0021115
          84     1.36827     1.43652  0.00224079
          85     1.36423     1.43567  0.00237033
          86     1.36034      1.4348  0.00249937
          87     1.35662      1.4339   0.0026272
          88      1.3531     1.43298  0.00275313
          89     1.34978     1.43204  0.00287653
          90     1.34669      1.4311  0.00299684
          91     1.34384     1.43014  0.00311352
          92     1.34124     1.42917  0.00322614
          93     1.33889      1.4282  0.00333429
          94     1.33681     1.42723  0.00343765
          95     1.33498     1.42626  0.00353595
          96     1.33341     1.42529  0.00362898
          97      1.3321     1.42433  0.00371656
          98     1.33104     1.42338  0.00379859
          99     1.33023     1.42244  0.00387499
         100     1.32966     1.42151  0.00394575
         101     1.32932      1.4206  0.00401086
         102     1.32922      1.4197  0.00407036
         103     1.32933     1.41882  0.00412431
         104     1.32966     1.41797   0.0041728
         105     1.33021     1.41713  0.00421593
         106     1.33095     1.41632  0.00425383
         107     1.33189     1.41553  0.00428661
         108     1.33303     1.41476  0.00431445
         109     1.33435     1.41403  0.00433749
         110     1.33585     1.41332  0.00435589
         111     1.33752     1.41263  0.00436985
         112     1.33936     1.41198  0.00437954
         113     1.34135     1.41135  0.00438515
         114      1.3435     1.41076  0.00438689
         115     1.34579     1.41019  0.00438496
         116     1.34823     1.40966  0.00437958
         117     1.35079     1.40916  0.00437096
         118     1.35347     1.40868  0.00435931
         119     1.35627     1.40824  0.00434487
         120     1.35918     1.40783  0.00432786
         121     1.36218     1.40746  0.00430851
         122     1.36528     1.40711  0.00428704
         123     1.36846      1.4068  0.00426369
         124      1.3717     1.40651  0.00423868
         125     1.37502     1.40626  0.00421226
         126     1.37837     1.40604  0.00418464
         127     1.38176     1.40585  0.00415605
         128     1.38517     1.40569  0.00412672
         129     1.38858     1.40556  0.00409686
         130     1.39198     1.40545  0.00406668
