# DISTANCE:     AVE_GOFR:        ERROR:
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263 9.72615e-05           0
    0.884913  0.00165069           0
    0.910562   0.0250308           0
    0.936212    0.169079           0
    0.961861    0.570663           0
    0.987511     1.20584           0
     1.01316     1.88125           0
     1.03881     2.34109           0
     1.06446     2.55605           0
     1.09011     2.50514           0
     1.11576     2.39369           0
     1.14141     2.18827           0
     1.16706      1.9657           0
     1.19271     1.75263           0
     1.21836     1.55767           0
     1.24401     1.39402           0
     1.26966     1.24505           0
     1.29531     1.12687           0
     1.32096     1.03097           0
     1.34661    0.948564           0
     1.37226    0.876749           0
     1.39791    0.823531           0
     1.42355    0.775659           0
      1.4492     0.74196           0
     1.47485    0.710942           0
      1.5005     0.69316           0
     1.52615    0.679769           0
      1.5518     0.67647           0
     1.57745    0.667013           0
      1.6031    0.675004           0
     1.62875    0.691099           0
      1.6544    0.705695           0
     1.68005    0.721043           0
      1.7057    0.751439           0
     1.73135    0.781687           0
       1.757     0.81926           0
     1.78265    0.848186           0
      1.8083    0.895109           0
     1.83395     0.94389           0
      1.8596    0.982756           0
     1.88525     1.01889           0
      1.9109     1.06035           0
     1.93655      1.0949           0
      1.9622     1.13213           0
     1.98785     1.15509           0
      2.0135     1.17792           0
     2.03915     1.20394           0
      2.0648      1.2059           0
     2.09045     1.21521           0
      2.1161     1.21047           0
     2.14174     1.18882           0
     2.16739     1.17223           0
     2.19304     1.14571           0
     2.21869     1.12177           0
     2.24434     1.09304           0
     2.26999      1.0706           0
     2.29564     1.03405           0
     2.32129      1.0142           0
     2.34694    0.988435           0
     2.37259    0.969842           0
     2.39824    0.949761           0
     2.42389    0.934669           0
     2.44954     0.91947           0
     2.47519    0.915063           0
     2.50084    0.898452           0
     2.52649    0.886157           0
     2.55214    0.888898           0
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263 4.86307e-05 3.43871e-05
    0.884913  0.00175768 7.56529e-05
    0.910562   0.0252907 0.000183731
    0.936212    0.169448 0.000260704
    0.961861    0.576472  0.00410728
    0.987511     1.20872  0.00203947
     1.01316     1.87597  0.00373488
     1.03881     2.34106  2.3528e-05
     1.06446     2.55929   0.0022856
     1.09011     2.52925   0.0170499
     1.11576     2.40921   0.0109724
     1.14141     2.19038  0.00149412
     1.16706      1.9686  0.00205055
     1.19271     1.76243  0.00693106
     1.21836      1.5504   0.0051371
     1.24401     1.39075  0.00230786
     1.26966     1.23671  0.00590116
     1.29531     1.11925  0.00538729
     1.32096     1.01835   0.0089294
     1.34661    0.938584  0.00705694
     1.37226    0.869147  0.00537536
     1.39791    0.819758  0.00266791
     1.42355    0.769877  0.00408866
      1.4492    0.735435  0.00461417
     1.47485    0.709819 0.000793743
      1.5005    0.689444  0.00262755
     1.52615    0.681028 0.000890263
      1.5518    0.673275  0.00225989
     1.57745    0.670601  0.00253732
      1.6031    0.677407  0.00169933
     1.62875    0.694266  0.00223963
      1.6544    0.708345  0.00187388
     1.68005    0.724898  0.00272564
      1.7057    0.754508  0.00217012
     1.73135    0.786263  0.00323568
       1.757    0.818818 0.000312545
     1.78265     0.85254  0.00307877
      1.8083    0.894029 0.000763542
     1.83395    0.943143 0.000528441
      1.8596    0.979105  0.00258206
     1.88525     1.02245  0.00251704
      1.9109     1.05783  0.00178008
     1.93655     1.09403 0.000611597
      1.9622     1.13204 6.15496e-05
     1.98785     1.15641 0.000935984
      2.0135     1.18472  0.00480779
     2.03915      1.2015  0.00172197
      2.0648     1.21176  0.00414505
     2.09045     1.21685  0.00115431
      2.1161     1.20784  0.00185796
     2.14174     1.19072  0.00134507
     2.16739     1.17261 0.000270252
     2.19304     1.14636 0.000461063
     2.21869     1.12006  0.00121041
     2.24434     1.09415 0.000779639
     2.26999      1.0647  0.00417359
     2.29564     1.03263  0.00100214
     2.32129     1.01105  0.00223197
     2.34694    0.986386  0.00144898
     2.37259    0.963816  0.00426097
     2.39824    0.947201  0.00180998
     2.42389    0.928844  0.00411854
     2.44954    0.918085 0.000978915
     2.47519    0.910504  0.00322432
     2.50084     0.89774 0.000503415
     2.52649    0.887972   0.0012835
     2.55214    0.890388  0.00105382
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263 3.24205e-05 2.64712e-05
    0.884913  0.00141634 0.000283235
    0.910562   0.0251078 0.000193111
    0.936212    0.167449  0.00164077
    0.961861    0.569706   0.0061657
    0.987511     1.20358  0.00441353
     1.01316     1.87079  0.00490856
     1.03881     2.33554  0.00450083
     1.06446     2.55912  0.00152997
     1.09011     2.53779   0.0133354
     1.11576       2.407  0.00753322
     1.14141     2.18922  0.00137313
     1.16706     1.97295  0.00380789
     1.19271     1.75901  0.00539842
     1.21836     1.55293  0.00399915
     1.24401     1.38963  0.00179367
     1.26966     1.23849  0.00419313
     1.29531      1.1237  0.00510972
     1.32096     1.02142  0.00646083
     1.34661    0.938214   0.0047143
     1.37226    0.867981  0.00370773
     1.39791     0.82024   0.0018216
     1.42355      0.7746  0.00472243
      1.4492    0.738587   0.0040105
     1.47485    0.711257  0.00128786
      1.5005     0.69014  0.00184168
     1.52615    0.682236  0.00115087
      1.5518    0.674502  0.00180959
     1.57745    0.672737  0.00242942
      1.6031    0.676802  0.00123605
     1.62875    0.691787  0.00251489
      1.6544    0.707176  0.00157218
     1.68005    0.725281  0.00184382
      1.7057    0.753943  0.00151851
     1.73135    0.785004  0.00238958
       1.757    0.818521 0.000319878
     1.78265    0.853625  0.00223545
      1.8083     0.89485 0.000841801
     1.83395    0.942666 0.000525083
      1.8596     0.97939  0.00173703
     1.88525     1.02046  0.00233339
      1.9109      1.0569  0.00141023
     1.93655     1.09288   0.0010269
      1.9622     1.12871  0.00272133
     1.98785       1.157 0.000787629
      2.0135      1.1801  0.00494907
     2.03915     1.19924  0.00217365
      2.0648      1.2096  0.00327814
     2.09045     1.21466  0.00194347
      2.1161     1.20725  0.00132977
     2.14174     1.19005  0.00105141
     2.16739     1.17171 0.000760875
     2.19304     1.14585 0.000519329
     2.21869     1.12147  0.00140608
     2.24434     1.09178  0.00199986
     2.26999     1.06638  0.00310194
     2.29564     1.03334    0.000883
     2.32129      1.0116  0.00155501
     2.34694    0.987235   0.0011886
     2.37259     0.96842  0.00471183
     2.39824    0.948488   0.0015996
     2.42389    0.930564  0.00308405
     2.44954    0.920237  0.00187417
     2.47519    0.911532  0.00230789
     2.50084    0.899801  0.00171557
     2.52649    0.890042  0.00189452
     2.55214    0.890601 0.000723667
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263 2.43154e-05 2.10577e-05
    0.884913  0.00142907 0.000212713
    0.910562   0.0246122  0.00045299
    0.936212    0.166696  0.00139281
    0.961861    0.567895  0.00488304
    0.987511     1.19826  0.00567345
     1.01316     1.85874   0.0110631
     1.03881     2.33223  0.00442894
     1.06446     2.55398  0.00459161
     1.09011     2.53746   0.0100057
     1.11576     2.40954  0.00606345
     1.14141     2.19311   0.0035233
     1.16706     1.97749  0.00485971
     1.19271     1.76521  0.00672447
     1.21836     1.55782  0.00519158
     1.24401     1.39364  0.00372746
     1.26966     1.24371  0.00551021
     1.29531      1.1249  0.00397035
     1.32096     1.02699  0.00683369
     1.34661     0.94398  0.00611823
     1.37226    0.872592  0.00486559
     1.39791    0.818796  0.00185181
     1.42355     0.77457  0.00354192
      1.4492    0.737028  0.00329689
     1.47485    0.707838  0.00311444
      1.5005    0.687405  0.00274199
     1.52615     0.67804  0.00373485
      1.5518    0.669298  0.00470672
     1.57745    0.670825  0.00246206
      1.6031    0.674531  0.00217386
     1.62875    0.687216  0.00438519
      1.6544     0.70341  0.00346799
     1.68005    0.722663  0.00265557
      1.7057    0.751554  0.00236156
     1.73135    0.782776  0.00263389
       1.757    0.818948 0.000440902
     1.78265    0.852939  0.00177859
      1.8083    0.894863 0.000631458
     1.83395      0.9417 0.000924786
      1.8596    0.979645  0.00132135
     1.88525     1.01836  0.00252656
      1.9109     1.05871  0.00189445
     1.93655     1.09263 0.000799286
      1.9622     1.13027   0.0024479
     1.98785     1.15955  0.00228426
      2.0135     1.18289   0.0044259
     2.03915     1.20047  0.00194881
      2.0648      1.2093  0.00247238
     2.09045     1.21613  0.00193731
      2.1161     1.20938  0.00209659
     2.14174     1.19328   0.0029124
     2.16739     1.17432  0.00233015
     2.19304     1.14862  0.00243238
     2.21869     1.12494  0.00318457
     2.24434     1.09502  0.00318044
     2.26999     1.06807  0.00274955
     2.29564     1.03502  0.00160299
     2.32129     1.01315   0.0017807
     2.34694    0.987082  0.00090122
     2.37259    0.966611  0.00386561
     2.39824    0.947198  0.00163885
     2.42389    0.928621  0.00286044
     2.44954    0.919304  0.00162127
     2.47519    0.908136  0.00341317
     2.50084    0.896364  0.00324237
     2.52649    0.887319  0.00275296
     2.55214    0.887926  0.00237935
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
