#DISTANCE:     AVE_GOFR:        ERROR:
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263 1.19956e-05 3.02936e-06
    0.884913  0.00128204 3.16049e-05
    0.910562   0.0240356 0.000146255
    0.936212    0.165173 0.000500716
    0.961861    0.562493  0.00101497
    0.987511     1.20007  0.00143875
     1.01316     1.86168  0.00156897
     1.03881     2.33506  0.00141252
     1.06446     2.55376  0.00116736
     1.09011     2.55221  0.00129916
     1.11576     2.40857  0.00136067
     1.14141     2.20007  0.00134531
     1.16706     1.97388  0.00123283
     1.19271     1.75655  0.00131844
     1.21836     1.55916  0.00118926
     1.24401     1.38967 0.000971876
     1.26966     1.24338 0.000978439
     1.29531     1.12451 0.000831607
     1.32096     1.02403 0.000917411
     1.34661    0.941708 0.000784253
     1.37226    0.872328 0.000746999
     1.39791    0.817732 0.000612395
     1.42355    0.772899 0.000680388
      1.4492    0.738141 0.000652272
     1.47485    0.710536 0.000610627
      1.5005    0.691023 0.000618943
     1.52615    0.677829 0.000616362
      1.5518    0.671416 0.000669236
     1.57745    0.670547 0.000627171
      1.6031    0.675548 0.000664075
     1.62875    0.685846 0.000673442
      1.6544    0.700954 0.000609007
     1.68005    0.722723 0.000590443
      1.7057    0.749114 0.000617452
     1.73135    0.779735  0.00057781
       1.757    0.815136 0.000606921
     1.78265    0.852679 0.000658011
      1.8083     0.89377 0.000592271
     1.83395    0.935926 0.000599867
      1.8596    0.977684 0.000635931
     1.88525     1.01867 0.000682875
      1.9109     1.05787 0.000541633
     1.93655     1.09554 0.000588702
      1.9622     1.13007 0.000523082
     1.98785     1.16121 0.000576406
      2.0135     1.18633 0.000589182
     2.03915     1.20471 0.000521609
      2.0648     1.21486 0.000522421
     2.09045     1.21638 0.000565306
      2.1161     1.20898 0.000560851
     2.14174     1.19546 0.000568496
     2.16739      1.1762 0.000573729
     2.19304     1.15074 0.000588562
     2.21869     1.12449 0.000601724
     2.24434       1.096 0.000523854
     2.26999     1.06721 0.000483169
     2.29564     1.03907 0.000555841
     2.32129     1.01268  0.00051611
     2.34694    0.987986 0.000505496
     2.37259    0.965857 0.000532661
     2.39824    0.947003 0.000501947
     2.42389    0.930239 0.000489972
     2.44954    0.917899 0.000478847
     2.47519    0.907725 0.000469129
     2.50084    0.894493 0.000455236
     2.52649    0.885201 0.000416787
     2.55214    0.885014 0.000455686
