#BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1      -5.455      -5.455           0
           2    -5.45269    -5.45385 0.000816429
           3    -5.46771    -5.45847  0.00381213
           4    -5.47732    -5.46318  0.00498289
           5    -5.46797    -5.46414  0.00407735
           6    -5.47928    -5.46666  0.00410528
           7     -5.4616    -5.46594  0.00358204
           8    -5.47819    -5.46747  0.00344603
           9    -5.46343    -5.46702  0.00309224
          10    -5.45837    -5.46616  0.00290163
          11    -5.48785    -5.46813  0.00323952
          12    -5.44523    -5.46622  0.00348659
          13    -5.44924    -5.46491  0.00345439
          14    -5.47334    -5.46552  0.00325968
          15     -5.4707    -5.46586  0.00306062
          16    -5.46616    -5.46588  0.00286939
          17    -5.46287     -5.4657  0.00270608
          18    -5.47029    -5.46596  0.00256773
          19    -5.45895    -5.46559  0.00245891
          20    -5.46608    -5.46561  0.00233608
          21    -5.48428     -5.4665  0.00238793
          22    -5.49004    -5.46757  0.00250758
          23    -5.46666    -5.46753  0.00239887
          24    -5.46079    -5.46725  0.00231529
          25    -5.46544    -5.46718  0.00222381
          26    -5.46609    -5.46714  0.00213867
          27    -5.46235    -5.46696  0.00206681
          28     -5.4791    -5.46739  0.00203799
          29    -5.45655    -5.46702  0.00200173
          30     -5.4554    -5.46663  0.00197212
          31    -5.47218    -5.46681  0.00191662
          32    -5.46125    -5.46664  0.00186458
          33    -5.46931    -5.46672  0.00180983
          34    -5.47515    -5.46697  0.00177351
          35    -5.47237    -5.46712  0.00172953
          36    -5.46961    -5.46719  0.00168287
          37     -5.4445    -5.46658  0.00174552
          38    -5.46933    -5.46665  0.00170108
          39    -5.46986    -5.46673  0.00165946
          40    -5.46705    -5.46674  0.00161799
          41    -5.45844    -5.46654  0.00159115
          42    -5.46156    -5.46642  0.00155767
          43    -5.46667    -5.46642  0.00152146
          44    -5.46164    -5.46632  0.00149077
          45    -5.47275    -5.46646  0.00146448
          46     -5.4808    -5.46677  0.00146545
          47    -5.46037    -5.46663  0.00144059
          48    -5.47244    -5.46676  0.00141565
          49    -5.44798    -5.46637   0.0014377
          50    -5.45872    -5.46622  0.00141707
          51     -5.4702     -5.4663  0.00139143
          52    -5.46163    -5.46621  0.00136757
          53    -5.46282    -5.46614  0.00134326
          54    -5.45863      -5.466  0.00132557
          55    -5.46849    -5.46605  0.00130224
          56    -5.44693    -5.46571  0.00132297
          57    -5.46998    -5.46578  0.00130188
          58    -5.46108     -5.4657  0.00128195
          59    -5.47319    -5.46583  0.00126649
          60    -5.45905    -5.46572  0.00125041
          61    -5.47098     -5.4658  0.00123289
          62    -5.46411    -5.46578   0.0012133
          63    -5.46079     -5.4657  0.00119662
          64    -5.49044    -5.46608   0.0012388
          65    -5.44981    -5.46583  0.00124477
          66    -5.44389     -5.4655  0.00126952
          67    -5.45462    -5.46534  0.00126091
          68    -5.46434    -5.46532  0.00124245
          69    -5.46243    -5.46528  0.00122515
          70    -5.44293    -5.46496  0.00124856
          71    -5.47861    -5.46515  0.00124568
          72    -5.45562    -5.46502  0.00123539
          73    -5.47733    -5.46519  0.00122992
          74     -5.4877    -5.46549  0.00125034
          75    -5.46879    -5.46554  0.00123444
          76     -5.4607    -5.46547  0.00121984
          77    -5.46975    -5.46553  0.00120527
          78    -5.47178    -5.46561  0.00119247
          79    -5.48128    -5.46581  0.00119376
          80    -5.46217    -5.46576  0.00117971
          81    -5.46107    -5.46571  0.00116656
          82    -5.46315    -5.46567  0.00115275
          83    -5.46936    -5.46572  0.00113972
          84    -5.46898    -5.46576  0.00112681
          85    -5.46038    -5.46569  0.00111533
          86    -5.47674    -5.46582  0.00110973
          87     -5.4672    -5.46584  0.00109709
          88    -5.44414    -5.46559    0.001112
          89    -5.46714    -5.46561  0.00109964
          90    -5.47195    -5.46568  0.00108967
          91    -5.47325    -5.46576  0.00108087
          92     -5.4801    -5.46592   0.0010803
          93    -5.45318    -5.46578  0.00107733
          94    -5.44616    -5.46557  0.00108591
          95    -5.46492    -5.46557   0.0010745
          96    -5.45191    -5.46542  0.00107269
          97    -5.47144    -5.46549  0.00106342
          98    -5.46857    -5.46552  0.00105303
          99    -5.46199    -5.46548    0.001043
         100    -5.46043    -5.46543  0.00103379
