#BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1       1.431       1.431           0
           2      1.4718      1.4514   0.0144266
           3     1.36543     1.42274   0.0252966
           4      1.3192     1.39686   0.0293676
           5     1.37438     1.39236   0.0238356
           6     1.33966     1.38358   0.0214204
           7     1.40758     1.38701   0.0186328
           8     1.36757     1.38458   0.0164614
           9     1.41678     1.38816   0.0150161
          10     1.39446     1.38879   0.0135277
          11     1.28233     1.37911   0.0153745
          12     1.49619     1.38887   0.0169082
          13      1.4932     1.39689   0.0174084
          14     1.37149     1.39508   0.0162592
          15     1.37143      1.3935   0.0152515
          16     1.37806     1.39254   0.0143287
          17     1.41139     1.39364   0.0135287
          18     1.34983     1.39121   0.0129942
          19     1.42068     1.39276   0.0124025
          20     1.40303     1.39327    0.011793
          21     1.28762     1.38824   0.0122578
          22     1.27787     1.38323   0.0126858
          23     1.38448     1.38328   0.0121344
          24     1.41726      1.3847   0.0117111
          25     1.40287     1.38542   0.0112652
          26     1.38594     1.38544   0.0108319
          27      1.4167      1.3866   0.0104924
          28     1.32292     1.38433   0.0103612
          29     1.44662     1.38647   0.0102242
          30      1.4345     1.38808   0.0100079
          31     1.33902     1.38649  0.00980939
          32     1.38701     1.38651  0.00950286
          33     1.36913     1.38598  0.00922948
          34     1.37078     1.38553  0.00896885
          35      1.3643     1.38493   0.0087331
          36      1.3557     1.38412  0.00852816
          37     1.47204     1.38649  0.00862236
          38     1.37505     1.38619  0.00840071
          39     1.36218     1.38558  0.00820784
          40     1.39467      1.3858  0.00800579
          41     1.42762     1.38682  0.00787523
          42     1.40406     1.38723  0.00769842
          43     1.36258     1.38666   0.0075407
          44     1.40614      1.3871  0.00738231
          45     1.36047     1.38651  0.00724194
          46      1.2968     1.38456   0.0073424
          47     1.41807     1.38527   0.0072207
          48     1.35643     1.38467  0.00709524
          49     1.48087     1.38664  0.00721691
          50     1.44642     1.38783  0.00717094
          51     1.33277     1.38675  0.00711115
          52     1.41889     1.38737   0.0070012
          53     1.40233     1.38765  0.00687479
          54     1.43609     1.38855  0.00680573
          55     1.40507     1.38885  0.00668861
          56     1.49019     1.39066  0.00680958
          57     1.36186     1.39015  0.00670883
          58     1.41713     1.39062  0.00660926
          59     1.35189     1.38996  0.00652975
          60     1.40563     1.39022  0.00642614
          61     1.38875      1.3902  0.00632084
          62     1.39408     1.39026   0.0062192
          63     1.44505     1.39113  0.00618099
          64     1.28596     1.38949  0.00629906
          65     1.45603     1.39051  0.00628478
          66     1.50925     1.39231   0.0064419
          67     1.45663     1.39327  0.00641689
          68     1.38792     1.39319    0.006323
          69     1.41488     1.39351  0.00623917
          70     1.51475     1.39524  0.00638594
          71     1.32228     1.39421  0.00637815
          72     1.44286     1.39489  0.00632526
          73     1.34153     1.39416  0.00628071
          74     1.28381     1.39266  0.00637039
          75     1.36076     1.39224  0.00629963
          76      1.4033     1.39238  0.00621842
          77     1.35226     1.39186  0.00615946
          78     1.36438     1.39151  0.00609056
          79      1.3255     1.39068  0.00607052
          80     1.40313     1.39083  0.00599663
          81      1.3853     1.39076  0.00592299
          82     1.40307     1.39091  0.00585266
          83     1.36185     1.39056  0.00579261
          84     1.36626     1.39027  0.00573087
          85     1.40384     1.39043  0.00566567
          86     1.32785     1.38971  0.00564633
          87     1.38072      1.3896  0.00558238
          88     1.50581     1.39092  0.00567297
          89     1.39051     1.39092  0.00560924
          90     1.34521     1.39041  0.00556985
          91      1.3506     1.38997  0.00552579
          92      1.3099      1.3891  0.00553385
          93     1.43971     1.38965  0.00550104
          94     1.51344     1.39096  0.00559793
          95     1.40407      1.3911   0.0055407
          96     1.46906     1.39191  0.00554218
          97     1.37428     1.39173  0.00548802
          98      1.3639     1.39145  0.00543936
          99     1.41305     1.39167  0.00538879
         100     1.40151     1.39176   0.0053358
