#BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1 8.87275e-16 8.87275e-16           0
           2 7.98525e-15 4.43626e-15 2.50951e-15
           3   2.218e-14 1.03508e-14 5.11081e-15
           4  4.3469e-14 1.86304e-14 8.13056e-15
           5 7.18488e-14 2.92741e-14 1.15299e-14
           6 1.07314e-13 4.22808e-14 1.52741e-14
           7  1.4986e-13 5.76492e-14 1.93352e-14
           8 1.99478e-13 7.53778e-14 2.36906e-14
           9  2.5616e-13 9.54647e-14 2.83214e-14
          10 3.19896e-13 1.17908e-13 3.32119e-14
          11 3.90676e-13 1.42705e-13 3.83483e-14
          12 4.68487e-13 1.69853e-13 4.37187e-14
          13 5.53317e-13 1.99351e-13 4.93127e-14
          14  6.4515e-13 2.31194e-13 5.51207e-14
          15 7.43971e-13 2.65379e-13 6.11344e-14
          16 8.49764e-13 3.01903e-13 6.73459e-14
          17 9.62509e-13 3.40762e-13 7.37481e-14
          18 1.08219e-12 3.81952e-13 8.03346e-14
          19 1.20878e-12  4.2547e-13 8.70993e-14
          20 1.34227e-12 4.71309e-13 9.40364e-14
          21 1.48262e-12 5.19467e-13 1.01141e-13
          22 1.62982e-12 5.69938e-13 1.08407e-13
          23 1.78384e-12 6.22716e-13 1.15831e-13
          24 1.94465e-12 6.77796e-13 1.23408e-13
          25 2.11223e-12 7.35174e-13 1.31133e-13
          26 2.28654e-12 7.94842e-13 1.39004e-13
          27 2.46757e-12 8.56794e-13 1.47014e-13
          28 2.65527e-12 9.21026e-13 1.55162e-13
          29 2.84961e-12 9.87529e-13 1.63443e-13
          30 3.05057e-12  1.0563e-12 1.71854e-13
          31 3.25811e-12 1.12732e-12 1.80392e-13
          32 3.47218e-12  1.2006e-12 1.89052e-13
          33 3.69276e-12 1.27612e-12 1.97833e-13
          34 3.91982e-12 1.35388e-12 2.06731e-13
          35 4.15329e-12 1.43386e-12 2.15743e-13
          36 4.39316e-12 1.51606e-12 2.24866e-13
          37 4.63938e-12 1.60048e-12 2.34097e-13
          38  4.8919e-12 1.68709e-12 2.43434e-13
          39 5.15069e-12  1.7759e-12 2.52874e-13
          40 5.41569e-12  1.8669e-12 2.62414e-13
          41 5.68687e-12 1.96007e-12 2.72051e-13
          42 5.96418e-12  2.0554e-12 2.81784e-13
          43 6.24757e-12  2.1529e-12 2.91608e-13
          44 6.53699e-12 2.25253e-12 3.01523e-13
          45 6.83239e-12 2.35431e-12 3.11526e-13
          46 7.13372e-12 2.45821e-12 3.21614e-13
          47 7.44093e-12 2.56422e-12 3.31784e-13
          48 7.75397e-12 2.67234e-12 3.42035e-13
          49 8.07279e-12 2.78256e-12 3.52365e-13
          50 8.39733e-12 2.89485e-12  3.6277e-13
          51 8.72753e-12 3.00922e-12 3.73249e-13
          52 9.06334e-12 3.12564e-12   3.838e-13
          53  9.4047e-12 3.24412e-12  3.9442e-13
          54 9.75155e-12 3.36463e-12 4.05108e-13
          55 1.01038e-11 3.48716e-12  4.1586e-13
          56 1.04615e-11  3.6117e-12 4.26676e-13
          57 1.08245e-11 3.73824e-12 4.37552e-13
          58 1.11927e-11 3.86676e-12 4.48487e-13
          59 1.15661e-11 3.99726e-12 4.59479e-13
          60 1.19447e-11 4.12972e-12 4.70526e-13
          61 1.23282e-11 4.26412e-12 4.81626e-13
          62 1.27168e-11 4.40045e-12 4.92776e-13
          63 1.31104e-11 4.53871e-12 5.03975e-13
          64 1.35087e-11 4.67886e-12 5.15221e-13
          65 1.39119e-11 4.82091e-12 5.26512e-13
          66 1.43198e-11 4.96483e-12 5.37845e-13
          67 1.47323e-11 5.11062e-12  5.4922e-13
