#DISTANCE:     AVE_GOFR:        ERROR:
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263           0           0
    0.884913  0.00122885 0.000151358
    0.910562   0.0232986 0.000629161
    0.936212    0.165632  0.00166574
    0.961861    0.557933  0.00292426
    0.987511     1.19539  0.00405076
     1.01316     1.83609  0.00484319
     1.03881     2.31712  0.00528009
     1.06446     2.54212  0.00548367
     1.09011     2.53501   0.0053059
     1.11576      2.3973  0.00499008
     1.14141     2.21624  0.00486966
     1.16706     1.98838  0.00442315
     1.19271     1.77545  0.00417821
     1.21836     1.58559  0.00440741
     1.24401     1.40091  0.00361979
     1.26966     1.26757  0.00336407
     1.29531     1.13907  0.00305775
     1.32096      1.0359  0.00288752
     1.34661    0.945987  0.00268253
     1.37226     0.87442   0.0024978
     1.39791    0.816284  0.00237784
     1.42355    0.774497  0.00225354
      1.4492    0.735787  0.00221071
     1.47485    0.708628  0.00211988
      1.5005    0.687097  0.00210884
     1.52615    0.670967  0.00201071
      1.5518    0.666029  0.00197955
     1.57745    0.661747  0.00195415
      1.6031    0.671211  0.00196569
     1.62875    0.683746  0.00188881
      1.6544    0.694967  0.00190193
     1.68005    0.712007  0.00187895
      1.7057     0.74269   0.0019428
     1.73135    0.772893  0.00195242
       1.757    0.814374  0.00191456
     1.78265    0.845381  0.00191606
      1.8083    0.886472  0.00196251
     1.83395    0.935126  0.00201711
      1.8596    0.974912  0.00198385
     1.88525     1.01592  0.00200483
      1.9109     1.05547  0.00207212
     1.93655     1.09566  0.00200029
      1.9622     1.13621  0.00200876
     1.98785     1.16659  0.00203291
      2.0135     1.18425  0.00203469
     2.03915     1.21604  0.00202922
      2.0648      1.2194  0.00204182
     2.09045      1.2211  0.00241638
      2.1161     1.21591   0.0019534
     2.14174     1.20051  0.00194096
     2.16739     1.18699  0.00188637
     2.19304      1.1528  0.00184987
     2.21869     1.13227   0.0017872
     2.24434     1.09749  0.00175125
     2.26999     1.06375  0.00168772
     2.29564     1.03614  0.00166198
     2.32129     1.00862  0.00166525
     2.34694    0.986662  0.00160726
     2.37259    0.960964  0.00156678
     2.39824    0.945064  0.00151734
     2.42389    0.931239  0.00154787
     2.44954    0.912569  0.00143198
     2.47519    0.908533  0.00142056
     2.50084    0.893471   0.0013921
     2.52649    0.888356  0.00139004
     2.55214    0.881661  0.00135887
