#BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    -6.01238    -6.01238           0
           2    -5.15436    -5.58337    0.303356
           3    -4.55889    -5.24188    0.344449
           4    -3.74404    -4.86742    0.414611
           5    -3.41835     -4.5776    0.420965
           6    -3.24983    -4.35631    0.404812
           7    -3.00243     -4.1629    0.390462
           8    -3.01995    -4.02003    0.366862
           9    -2.59844    -3.86208    0.358494
          10    -2.35219    -3.71109    0.353012
          11    -2.14762    -3.56895     0.34836
          12    -2.08935    -3.44565    0.340452
          13    -2.49504    -3.37253    0.322021
          14    -1.99885    -3.27441    0.313612
          15    -1.67966    -3.16809    0.310202
          16    -1.57569    -3.06857    0.306365
          17    -1.46261     -2.9741    0.302558
          18    -1.72806    -2.90488    0.293561
          19    -1.67391    -2.84009     0.28517
          20    -1.66099    -2.78113    0.276939
          21    -1.88401    -2.73841    0.267026
          22    -1.45076    -2.67988    0.261224
          23    -1.50053    -2.62861    0.254849
          24    -1.84528    -2.59597    0.246312
          25    -2.09075    -2.57576    0.237287
          26    -1.68723    -2.54159    0.230608
          27    -1.46588    -2.50174    0.225483
          28    -1.52607     -2.4669    0.220106
          29    -1.28826    -2.42626    0.216236
          30    -1.21107    -2.38575    0.212788
          31   -0.935964    -2.33898       0.211
          32   -0.802597    -2.29097    0.209798
          33    -0.97061    -2.25096    0.207221
          34    -1.26473    -2.22195    0.203146
          35    -1.20172     -2.1928    0.199422
          36    -1.15216     -2.1639    0.195967
          37    -1.21418    -2.13823    0.192344
          38   -0.944969    -2.10683    0.189828
          39    -1.01101    -2.07873    0.187029
          40    -0.95848    -2.05072    0.184438
          41   -0.926333     -2.0233    0.181967
          42   -0.812192    -1.99446    0.179905
          43   -0.570935    -1.96136    0.178741
          44   -0.848588    -1.93607    0.176459
          45   -0.749412     -1.9097    0.174497
          46   -0.794867    -1.88546    0.172378
          47   -0.805534    -1.86248    0.170235
          48   -0.803313    -1.84042    0.168112
          49   -0.734103    -1.81784    0.166191
          50   -0.954525    -1.80057    0.163761
          51    -1.00896    -1.78505    0.161284
          52     -1.0533    -1.77098    0.158795
          53    -1.25269     -1.7612      0.1561
          54     -1.2251    -1.75127    0.153525
          55    -1.20787    -1.74139    0.151051
          56   -0.872125    -1.72587    0.149149
          57   -0.541283    -1.70509    0.147973
          58    -0.16592    -1.67855    0.147782
          59   -0.550436    -1.65943    0.146509
          60   -0.516451    -1.64038    0.145301
          61   -0.593339    -1.62322    0.143929
          62   -0.555646      -1.606    0.142634
          63   -0.586219    -1.58981    0.141285
