layers,neurons,activation,optimizer,loss,val_loss
1,8,relu,adam,mse,0.5742824673652649
1,8,relu,adam,mae,0.5334278345108032
1,8,relu,sgd,mse,0.11546754837036133
1,8,relu,sgd,mae,0.453240305185318
1,8,relu,rmsprop,mse,0.5136111974716187
1,8,relu,rmsprop,mae,0.4660780429840088
1,8,tanh,adam,mse,0.35791099071502686
1,8,tanh,adam,mae,0.4175725281238556
1,8,tanh,sgd,mse,0.22688482701778412
1,8,tanh,sgd,mae,0.3406693637371063
1,8,tanh,rmsprop,mse,0.37212249636650085
1,8,tanh,rmsprop,mae,0.3958515226840973
1,8,sigmoid,adam,mse,0.5962231755256653
1,8,sigmoid,adam,mae,0.607752799987793
1,8,sigmoid,sgd,mse,0.5325313806533813
1,8,sigmoid,sgd,mae,0.6864206790924072
1,8,sigmoid,rmsprop,mse,0.5486704707145691
1,8,sigmoid,rmsprop,mae,0.6889029145240784
1,8,linear,adam,mse,0.5320590138435364
1,8,linear,adam,mae,0.5129738450050354
1,8,linear,sgd,mse,0.5339007377624512
1,8,linear,sgd,mae,0.5133039355278015
1,8,linear,rmsprop,mse,0.5328706502914429
1,8,linear,rmsprop,mae,0.5137103796005249
1,16,relu,adam,mse,0.4450688660144806
1,16,relu,adam,mae,0.3811619281768799
1,16,relu,sgd,mse,0.11088047921657562
1,16,relu,sgd,mae,0.39295533299446106
1,16,relu,rmsprop,mse,0.2868155241012573
1,16,relu,rmsprop,mae,0.4904610514640808
1,16,tanh,adam,mse,0.3702488839626312
1,16,tanh,adam,mae,0.42058998346328735
1,16,tanh,sgd,mse,0.24867914617061615
1,16,tanh,sgd,mae,0.40338635444641113
1,16,tanh,rmsprop,mse,0.2820907533168793
1,16,tanh,rmsprop,mae,0.43426695466041565
1,16,sigmoid,adam,mse,0.5292852520942688
1,16,sigmoid,adam,mae,0.5390310883522034
1,16,sigmoid,sgd,mse,0.528816819190979
1,16,sigmoid,sgd,mae,0.651821494102478
1,16,sigmoid,rmsprop,mse,0.5183651447296143
1,16,sigmoid,rmsprop,mae,0.5436632037162781
1,16,linear,adam,mse,0.5310466885566711
